WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,RelativeHumidity,WindDirection,MeanSeaLevelPressure,WindSpeed,DewPoint,Rainfall24Hr,AirTemperature,MaximumTemperature,Rainfall,LandVisibility,VaporPressure,StationPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,09-12-2019,19:00:00,92,000,1009.19,0.0,25.6,2.50,27.0,31.4,0.20,10.00,32.77,978.31
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,09-12-2019,19:00:00,99,270,1006.95,7.4,18.9,2.20,19.1,23.2,2.20,8.00,21.87,845.85
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,09-12-2019,19:00:00,69,270,1007.44,1.9,23.2,0.20,29.6,31.6,0.00,10.00,28.42,964.36
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,09-12-2019,19:00:00,70,000,1007.94,0.0,22.1,0.00,28.0,31.5,0.00,15.00,26.54,962.73
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,09-12-2019,19:00:00,87,000,1008.97,0.0,25.3,3.20,27.6,32.0,0.00,8.00,32.28,971.50
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,09-12-2019,19:00:00,80,000,1008.22,0.0,23.3,0.00,27.0,33.2,0.00,12.00,28.67,963.29
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,09-12-2019,19:00:00,81,000,1008.69,0.0,25.6,0.00,29.3,33.5,0.00,10.00,32.87,982.20
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,09-12-2019,19:00:00,79,000,1008.58,0.0,25.0,0.10,29.0,34.1,0.00,13.00,31.69,986.97
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,09-12-2019,19:00:00,96,000,1011.37,0.0,24.8,2.30,25.5,32.0,1.60,8.00,31.25,987.10
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,09-12-2019,19:00:00,89,000,1008.90,0.0,24.4,20.80,26.3,33.0,20.80,10.00,30.59,974.36
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,09-12-2019,19:00:00,88,000,1008.73,0.0,24.8,0.00,27.0,33.2,0.00,10.00,31.38,981.23
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,09-12-2019,19:00:00,76,000,1008.38,0.0,23.2,0.10,27.7,33.2,0.10,10.00,28.37,974.95
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,09-12-2019,19:00:00,79,270,1008.34,1.9,25.1,0.10,29.1,32.5,0.00,12.00,31.89,989.97
48331,NAN,น่าน,น่าน,18.77972,100.77778,09-12-2019,19:00:00,72,000,1008.02,0.0,24.7,0.00,30.3,34.2,0.00,10.00,31.19,985.47
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,09-12-2019,19:00:00,70,000,1007.74,0.0,23.6,0.00,29.7,33.5,0.00,12.00,29.16,978.17
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,09-12-2019,19:00:00,78,000,1008.13,0.0,24.7,0.00,29.0,32.0,0.00,8.00,31.13,972.92
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,09-12-2019,19:00:00,82,000,1008.00,0.0,24.0,0.00,27.3,33.7,0.00,14.00,29.77,978.36
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,09-12-2019,19:00:00,74,000,1008.63,0.0,24.2,0.00,29.4,33.5,0.00,10.00,30.24,1001.37
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,09-12-2019,19:00:00,87,260,1008.13,3.7,25.3,2.60,27.6,34.2,2.60,9.00,32.28,988.27
48353,LOEI,เลย,เลย,17.45000,101.73333,09-12-2019,19:00:00,68,000,1008.18,0.0,23.5,0.01,30.0,33.3,0.00,15.00,28.91,979.81
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,09-12-2019,19:00:00,75,190,1007.69,1.9,25.1,19.90,30.1,33.1,0.00,15.00,31.93,987.72
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,09-12-2019,19:00:00,79,000,1008.33,0.0,25.0,0.60,29.0,33.3,0.00,12.00,31.69,986.73
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,09-12-2019,19:00:00,75,000,1007.54,0.0,25.1,0.30,29.9,33.2,0.00,12.00,31.80,988.25
