WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,VaporPressure,StationPressure,Rainfall,LandVisibility,Rainfall24Hr,WindDirection,RelativeHumidity,WindSpeed,AirTemperature,DewPoint
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,1013.14,09-13-2019,01:00:00,29.26,981.94,1.10,8.00,3.60,000,92,0.0,25.0,23.7
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,1009.34,09-13-2019,01:00:00,21.19,847.61,0.00,8.00,2.20,270,99,7.4,18.6,18.4
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,1010.27,09-13-2019,01:00:00,27.53,966.41,0.00,10.00,0.20,000,87,0.0,24.9,22.7
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,1010.15,09-13-2019,01:00:00,29.25,964.35,0.00,12.00,0.00,000,94,0.0,24.7,23.7
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,1010.17,09-13-2019,01:00:00,30.58,972.33,0.00,5.00,0.00,000,97,0.0,25.0,24.4
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,1008.87,09-13-2019,01:00:00,28.22,963.61,0.00,10.00,0.00,000,89,0.0,25.0,23.1
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,1011.08,09-13-2019,01:00:00,29.99,984.19,0.00,8.00,0.00,000,92,0.0,25.4,24.1
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,1010.47,09-13-2019,01:00:00,30.54,988.60,0.00,12.00,0.00,000,93,0.0,25.7,24.4
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,1012.45,09-13-2019,01:00:00,29.22,988.04,1.00,6.00,5.00,000,97,0.0,24.1,23.7
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,1011.04,09-13-2019,01:00:00,28.64,976.26,0.00,10.00,20.80,000,92,0.0,24.8,23.3
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,1012.31,09-13-2019,01:00:00,28.53,984.43,10.30,10.00,19.10,000,96,0.0,24.0,23.3
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,1011.26,09-13-2019,01:00:00,27.70,977.43,0.00,10.00,1.00,000,88,0.0,25.0,22.8
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,1010.54,09-13-2019,01:00:00,30.46,991.93,1.00,10.00,1.00,180,92,1.9,25.8,24.3
48331,NAN,น่าน,น่าน,18.77972,100.77778,1010.02,09-13-2019,01:00:00,31.24,987.14,0.00,10.00,0.00,000,90,0.0,26.5,24.8
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,1010.43,09-13-2019,01:00:00,30.51,980.45,0.00,8.00,0.00,000,89,0.0,26.4,24.4
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,1010.47,09-13-2019,01:00:00,29.16,974.69,0.60,7.00,3.60,000,93,0.0,24.8,23.6
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,1008.81,09-13-2019,01:00:00,28.78,978.82,0.00,12.00,0.00,000,97,0.0,24.0,23.4
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,1010.10,09-13-2019,01:00:00,31.35,1002.76,0.00,8.00,0.00,000,90,0.0,26.7,24.8
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,1009.22,09-13-2019,01:00:00,32.07,989.26,0.00,10.00,2.70,050,93,3.7,26.5,25.2
48353,LOEI,เลย,เลย,17.45000,101.73333,1008.78,09-13-2019,01:00:00,28.59,979.98,0.00,12.00,0.01,000,88,0.0,25.5,23.3
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,1008.73,09-13-2019,01:00:00,30.91,988.53,0.00,10.00,7.20,290,87,5.6,26.9,24.6
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,1010.21,09-13-2019,01:00:00,31.22,988.38,0.00,10.00,0.60,000,92,0.0,26.2,24.8
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,1008.90,09-13-2019,01:00:00,30.59,989.34,0.00,10.00,0.30,140,89,5.6,26.3,24.4
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,1010.08,09-13-2019,01:00:00,29.82,993.22,0.00,10.00,0.01,120,91,3.7,25.6,24.0
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,1010.04,09-13-2019,01:00:00,30.25,992.50,0.00,10.00,24.10,000,93,0.0,25.4,24.2
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,1008.33,09-13-2019,01:00:00,31.94,982.54,0.00,10.00,0.40,000,90,0.0,27.0,25.1
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,1009.93,09-13-2019,01:00:00,30.39,1004.13,0.00,10.00,0.00,000,84,0.0,27.2,24.3
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,1010.09,09-13-2019,01:00:00,32.36,1003.89,0.00,10.00,0.00,000,88,0.0,27.5,25.4
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,1009.97,09-13-2019,01:00:00,30.43,993.46,0.00,8.00,0.00,000,88,0.0,26.5,24.3
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,1010.84,09-13-2019,01:00:00,27.42,988.21,0.20,10.00,0.50,000,93,0.0,23.8,22.6
48376,TAK,ตาก,ตาก,16.87833,99.14333,1010.77,09-13-2019,01:00:00,26.16,996.34,0.00,7.00,0.00,300,73,5.6,27.2,21.8
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,1010.46,09-13-2019,01:00:00,24.38,994.06,0.00,7.00,0.00,000,66,0.0,27.5,20.7
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1010.10,09-13-2019,01:00:00,31.00,1004.86,0.00,10.00,0.00,000,88,0.0,26.8,24.6
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,1008.53,09-13-2019,01:00:00,31.66,995.31,0.00,10.00,0.00,000,89,0.0,27.0,25.0
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,1009.91,09-13-2019,01:00:00,29.27,1000.54,0.00,10.00,0.00,000,84,0.0,26.6,23.7
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,1008.84,09-13-2019,01:00:00,31.88,987.08,0.00,10.00,0.00,240,93,3.7,26.4,25.1
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,1007.77,09-13-2019,01:00:00,27.11,990.27,0.00,10.00,0.00,000,75,0.0,27.3,22.4
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,1008.64,09-13-2019,01:00:00,28.53,992.63,35.80,7.00,35.80,240,96,5.6,24.0,23.3
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,1007.91,09-13-2019,01:00:00,31.55,989.00,0.00,8.00,0.00,000,90,0.0,26.8,24.9
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,1013.22,09-13-2019,01:00:00,25.12,961.18,0.00,5.00,0.00,000,91,0.0,22.7,21.2
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1010.12,09-13-2019,01:00:00,34.23,1006.16,0.00,7.00,1.00,000,91,0.0,28.0,26.3
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,1012.12,09-13-2019,01:00:00,22.95,916.24,0.00,.90,0.01,220,95,7.4,20.5,19.7
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,1008.68,09-13-2019,01:00:00,32.93,992.70,0.00,8.00,0.20,000,90,0.0,27.5,25.7
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1010.17,09-13-2019,01:00:00,29.15,1006.13,0.00,10.00,0.01,000,80,0.0,27.4,23.6
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,1011.29,09-13-2019,01:00:00,31.79,1000.55,0.00,7.00,0.00,000,92,0.0,26.5,25.1
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1010.54,09-13-2019,01:00:00,31.11,1008.61,0.00,8.00,0.00,000,87,0.0,27.0,24.7
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,1009.39,09-13-2019,01:00:00,28.55,988.44,0.00,10.00,0.01,000,83,0.0,26.5,23.3
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,1008.41,09-13-2019,01:00:00,31.33,990.74,0.00,10.00,32.90,000,86,0.0,27.4,24.8
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,1008.40,09-13-2019,01:00:00,32.40,992.26,0.00,10.00,25.20,250,87,7.4,27.8,25.4
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,1009.67,09-13-2019,01:00:00,29.16,995.50,26.80,1000.00,26.80,090,93,9.3,24.8,23.6
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,1010.14,09-13-2019,01:00:00,31.22,995.17,7.20,6.00,7.20,000,97,0.0,25.2,24.8
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,1009.73,09-13-2019,01:00:00,32.64,995.04,0.00,7.00,0.00,280,89,11.1,27.5,25.5
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1009.99,09-13-2019,01:00:00,30.78,1006.97,0.00,10.00,0.00,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",84,0.0,27.4,24.5
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,1009.62,09-13-2019,01:00:00,31.38,1001.65,0.00,7.00,0.00,000,88,0.0,27.0,24.8
