WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,AirTemperature,RelativeHumidity,Rainfall,WindSpeed,StationPressure,WindDirection,MeanSeaLevelPressure,VaporPressure,DewPoint,LandVisibility
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,4.00,09-13-2019,13:00:00,31.0,67,0.00,0.0,978.32,000,1008.79,30.05,24.1,12.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.20,09-13-2019,13:00:00,32.1,62,0.00,9.3,964.11,100,1006.82,29.42,23.8,15.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.00,09-13-2019,13:00:00,31.5,66,0.00,0.0,962.35,000,1007.02,30.49,24.4,15.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.00,09-13-2019,13:00:00,34.3,59,0.00,3.7,969.74,290,1006.32,31.69,25.0,12.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.00,09-13-2019,13:00:00,32.0,61,0.00,0.0,962.61,000,1006.76,29.22,23.7,15.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.00,09-13-2019,13:00:00,34.0,60,0.00,5.6,980.90,040,1006.95,31.94,25.1,12.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.00,09-13-2019,13:00:00,32.6,57,0.00,18.5,986.54,320,1007.88,28.17,23.0,15.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,4.90,09-13-2019,13:00:00,30.4,70,0.00,0.0,986.06,000,1009.90,30.54,24.4,10.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,20.80,09-13-2019,13:00:00,32.3,59,0.00,0.0,973.74,000,1007.58,28.41,23.2,10.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,19.10,09-13-2019,13:00:00,33.0,58,0.00,0.0,980.43,000,1007.37,29.25,23.7,10.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,1.00,09-13-2019,13:00:00,33.4,57,0.00,5.6,974.65,240,1007.45,29.21,23.6,12.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,1.80,09-13-2019,13:00:00,33.0,65,0.00,3.7,988.87,210,1006.99,32.46,25.4,15.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.00,09-13-2019,13:00:00,33.4,60,0.00,7.4,984.61,160,1006.91,30.95,24.6,10.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.00,09-13-2019,13:00:00,33.0,54,0.00,0.0,977.70,000,1006.94,27.00,22.4,12.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,3.80,09-13-2019,13:00:00,31.8,71,0.00,0.0,972.55,000,1007.42,33.15,25.8,8.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.00,09-13-2019,13:00:00,33.1,66,0.00,3.7,976.89,030,1005.92,33.58,26.0,17.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.00,09-13-2019,13:00:00,34.0,60,0.00,0.0,1000.57,000,1007.71,31.94,25.1,12.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,12.80,09-13-2019,13:00:00,33.0,67,0.00,13.0,987.18,140,1006.67,33.66,26.0,18.00
48353,LOEI,เลย,เลย,17.45000,101.73333,0.00,09-13-2019,13:00:00,33.4,59,0.00,5.6,978.23,020,1006.24,30.37,24.3,17.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,3.40,09-13-2019,13:00:00,32.7,63,0.00,7.4,987.12,340,1006.90,30.94,24.6,16.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.00,09-13-2019,13:00:00,31.5,66,0.00,3.7,985.57,100,1006.96,30.49,24.4,15.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,0.00,09-13-2019,13:00:00,31.5,66,0.00,7.4,987.81,200,1007.00,30.49,24.4,15.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.01,09-13-2019,13:00:00,32.6,58,0.00,1.9,990.50,060,1006.93,28.73,23.4,12.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,24.10,09-13-2019,13:00:00,33.2,62,0.00,3.7,990.44,120,1007.50,31.70,25.0,12.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.60,09-13-2019,13:00:00,32.7,63,0.00,0.0,980.89,000,1006.15,30.94,24.6,12.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.00,09-13-2019,13:00:00,34.4,60,0.00,3.7,1001.79,280,1007.44,32.81,25.6,10.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.00,09-13-2019,13:00:00,33.5,62,0.00,7.4,1001.48,250,1007.54,32.05,25.2,12.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.00,09-13-2019,13:00:00,33.0,60,0.00,0.0,991.34,000,1007.46,30.11,24.2,12.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,0.20,09-13-2019,13:00:00,29.0,68,0.00,5.6,986.22,240,1008.42,27.03,22.4,10.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.00,09-13-2019,13:00:00,32.7,57,0.00,16.7,994.68,260,1008.82,28.08,23.0,10.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.00,09-13-2019,13:00:00,33.0,58,0.00,0.0,991.32,000,1007.38,29.25,23.7,12.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.00,09-13-2019,13:00:00,32.5,58,0.00,9.3,1002.92,310,1008.06,28.25,23.1,10.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.00,09-13-2019,13:00:00,32.5,68,0.00,0.0,993.22,000,1006.16,33.17,25.8,12.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.00,09-13-2019,13:00:00,34.3,51,0.00,5.6,998.81,300,1007.92,27.33,22.6,15.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,0.20,09-13-2019,13:00:00,32.1,69,0.00,7.4,985.41,320,1006.73,32.91,25.6,12.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,3.70,09-13-2019,13:00:00,33.5,61,0.00,0.0,991.05,000,1008.20,31.75,25.0,12.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,35.80,09-13-2019,13:00:00,32.0,66,0.00,3.7,990.85,150,1006.42,31.52,24.9,12.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.80,09-13-2019,13:00:00,32.0,70,0.00,3.7,987.43,330,1005.98,33.29,25.8,10.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.00,09-13-2019,13:00:00,27.8,71,0.00,0.0,960.30,000,1011.39,26.70,22.2,11.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,0.00,09-13-2019,13:00:00,33.0,60,0.00,11.1,1003.71,300,1007.59,29.94,24.1,10.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,1.00,09-13-2019,13:00:00,23.0,88,0.01,7.4,915.16,230,1010.08,24.63,20.9,7.00
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,13.30,09-13-2019,13:00:00,32.3,67,0.00,5.6,990.94,300,1006.65,32.44,25.4,10.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.00,09-13-2019,13:00:00,34.3,55,0.00,5.6,1004.13,060,1008.07,29.62,23.9,10.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.00,09-13-2019,13:00:00,33.5,56,0.00,3.7,997.99,330,1008.45,28.84,23.4,9.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.00,09-13-2019,13:00:00,33.3,60,0.00,3.7,1006.29,210,1008.18,30.45,24.3,12.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.01,09-13-2019,13:00:00,32.9,59,0.00,0.0,986.04,000,1006.49,29.33,23.7,10.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,8.90,09-13-2019,13:00:00,31.1,71,0.00,9.3,989.31,290,1006.73,32.26,25.3,11.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,10.50,09-13-2019,13:00:00,32.0,66,0.00,5.6,990.52,250,1006.40,31.52,24.9,10.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,85.00,09-13-2019,13:00:00,28.7,85,5.70,9.3,993.29,180,1007.25,33.37,25.9,10.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,26.20,09-13-2019,13:00:00,31.2,71,0.00,0.0,992.85,000,1007.48,32.18,25.3,12.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,17.20,09-13-2019,13:00:00,30.3,76,0.00,9.3,993.61,260,1008.13,32.92,25.6,10.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.00,09-13-2019,13:00:00,34.6,51,0.00,0.0,1005.22,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",1008.17,28.22,23.1,10.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.00,09-13-2019,13:00:00,33.1,56,0.00,16.7,999.76,230,1007.56,28.32,23.1,10.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.00,09-13-2019,13:00:00,33.2,66,0.00,7.4,1007.28,270,1008.37,33.50,25.9,10.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,42.50,09-13-2019,13:00:00,31.5,79,0.00,0.0,992.92,000,1007.40,36.42,27.4,8.00
