WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,MeanSeaLevelPressure,AirTemperature,Rainfall24Hr,RelativeHumidity,VaporPressure,WindSpeed,WindDirection,StationPressure,LandVisibility,Rainfall
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,25.3,09-13-2019,16:00:00,1005.17,31.4,1.70,70,32.30,0.0,000,974.85,15.00,0.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,20.1,09-13-2019,16:00:00,1003.11,24.1,11.00,78,23.49,20.4,300,845.04,8.00,0.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,23.6,09-13-2019,16:00:00,1003.52,33.4,0.00,57,29.21,5.6,100,961.13,15.00,0.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,24.2,09-13-2019,16:00:00,1003.57,33.5,0.00,59,30.28,0.0,000,959.34,15.00,0.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,24.6,09-13-2019,16:00:00,1004.94,31.0,0.00,69,30.90,3.7,180,968.02,12.00,0.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,24.5,09-13-2019,16:00:00,1003.73,33.0,0.00,61,30.69,0.0,000,959.85,15.00,0.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,25.0,09-13-2019,16:00:00,1005.29,31.8,0.00,67,31.68,0.0,000,979.11,12.00,0.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,25.6,09-13-2019,16:00:00,1006.13,27.3,3.20,90,32.81,9.3,240,984.46,7.00,3.20
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,24.4,09-13-2019,16:00:00,1006.78,31.5,4.90,66,30.49,0.0,000,983.09,10.00,0.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,24.3,09-13-2019,16:00:00,1004.37,34.5,20.80,55,30.34,0.0,000,970.88,10.00,0.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,25.3,09-13-2019,16:00:00,1004.98,33.2,19.10,63,32.30,0.0,000,978.12,10.00,0.00
