WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,LandVisibility,MeanSeaLevelPressure,Rainfall24Hr,VaporPressure,RelativeHumidity,StationPressure,Rainfall,DewPoint,MinimumTemperature,WindDirection,AirTemperature
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.0,09-14-2019,07:00:00,8.00,1008.76,0.01,29.57,97,977.62,0.00,23.9,23.9,000,24.3
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,3.7,09-14-2019,07:00:00,8.00,1007.49,0.00,21.95,100,846.25,0.00,19.0,18.9,120,19.0
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,5.6,09-14-2019,07:00:00,15.00,1008.94,21.40,29.16,93,965.12,21.40,23.6,24.2,100,24.8
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.0,09-14-2019,07:00:00,15.00,1008.69,0.20,28.11,91,962.92,0.20,23.0,22.8,000,24.5
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.0,09-14-2019,07:00:00,10.00,1009.65,0.20,30.73,100,971.77,0.00,24.5,23.5,000,24.5
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.0,09-14-2019,07:00:00,10.00,1008.45,0.00,29.00,92,963.22,0.00,23.5,23.5,000,25.0
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.0,09-14-2019,07:00:00,7.00,1009.50,0.00,30.15,94,982.63,0.00,24.2,24.8,000,25.2
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,1.9,09-14-2019,07:00:00,13.00,1008.11,3.90,28.69,97,986.14,0.00,23.4,23.6,120,23.8
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.0,09-14-2019,07:00:00,5.00,1008.95,0.00,29.41,96,984.67,0.00,23.8,23.0,000,24.5
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.0,09-14-2019,07:00:00,12.00,1008.69,29.70,29.16,93,973.99,0.00,23.6,24.5,000,24.8
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.0,09-14-2019,07:00:00,7.00,1008.69,0.00,30.13,96,980.99,0.00,24.2,24.2,000,24.9
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.0,09-14-2019,07:00:00,10.00,1006.68,0.80,29.41,96,972.95,0.00,23.8,24.5,000,24.5
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.0,09-14-2019,07:00:00,6.00,1008.09,0.01,31.82,96,989.53,0.00,25.1,25.4,000,25.8
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.0,09-14-2019,07:00:00,10.00,1009.12,0.20,31.44,96,986.19,0.20,24.9,25.1,000,25.6
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.0,09-14-2019,07:00:00,8.00,1008.43,0.00,30.12,97,978.33,0.00,24.2,24.5,000,24.6
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.0,09-14-2019,07:00:00,2.00,1008.84,0.00,28.77,98,972.98,0.00,23.4,23.7,000,23.7
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.0,09-14-2019,07:00:00,12.00,1008.74,4.50,29.04,97,978.75,0.20,23.6,23.5,000,24.0
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.0,09-14-2019,07:00:00,10.00,1007.35,16.70,30.84,92,1000.02,0.00,24.6,25.0,000,26.0
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,3.7,09-14-2019,07:00:00,14.00,1008.72,0.40,32.86,93,988.79,0.00,25.6,25.3,090,26.9
48353,LOEI,เลย,เลย,17.45000,101.73333,0.0,09-14-2019,07:00:00,12.00,1009.20,4.30,27.51,92,980.24,0.70,22.7,23.7,000,24.0
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,0.0,09-14-2019,07:00:00,15.00,1008.40,0.00,31.66,89,988.22,0.00,25.0,26.0,000,27.0
