WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,StationPressure,Rainfall24Hr,VaporPressure,Rainfall,WindDirection,DewPoint,WindSpeed,LandVisibility,RelativeHumidity,AirTemperature
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,1009.23,09-14-2019,10:00:00,978.46,0.01,30.20,0.00,000,24.2,0.0,10.00,79,28.1
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,1007.67,09-14-2019,10:00:00,847.48,0.00,23.06,0.00,130,19.8,16.7,8.00,92,21.2
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,1010.61,09-14-2019,10:00:00,966.89,21.40,29.23,0.00,360,23.7,5.6,12.00,87,26.0
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,1010.45,09-14-2019,10:00:00,964.83,0.20,29.50,0.00,000,23.8,0.0,15.00,88,26.0
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,1009.53,09-14-2019,10:00:00,972.33,0.20,33.17,0.00,000,25.8,0.0,12.00,78,30.0
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,1009.23,09-14-2019,10:00:00,964.55,0.00,29.74,0.00,000,23.9,0.0,10.00,74,29.0
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,1010.19,09-14-2019,10:00:00,983.71,0.00,31.03,0.00,000,24.7,0.0,12.00,74,29.8
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,1008.95,09-14-2019,10:00:00,987.39,3.90,30.83,0.00,120,24.6,3.7,14.00,74,29.7
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,1009.77,09-14-2019,10:00:00,985.76,0.00,28.95,0.00,000,23.5,0.0,8.00,75,28.3
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,1009.15,09-14-2019,10:00:00,974.98,29.70,29.16,0.00,000,23.6,0.0,12.00,70,29.7
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,1009.46,09-14-2019,10:00:00,982.13,0.00,31.81,0.00,000,25.1,0.0,10.00,79,29.2
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,1009.08,09-14-2019,10:00:00,975.71,0.80,31.26,0.00,000,24.8,0.0,10.00,80,28.5
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,1009.24,09-14-2019,10:00:00,990.72,0.20,32.77,0.20,310,25.6,1.9,5.00,92,27.0
48331,NAN,น่าน,น่าน,18.77972,100.77778,1010.20,09-14-2019,10:00:00,987.43,0.20,32.15,0.00,000,25.3,0.0,10.00,85,28.1
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,1009.57,09-14-2019,10:00:00,979.76,0.00,29.36,0.00,000,23.7,0.0,12.00,79,27.8
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,1009.41,09-14-2019,10:00:00,974.24,0.00,31.89,0.00,110,25.1,7.4,8.00,76,29.8
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,1009.14,09-14-2019,10:00:00,979.66,4.50,33.45,0.00,050,25.9,5.6,15.00,82,29.3
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,1008.85,09-14-2019,10:00:00,1001.57,16.70,32.79,0.00,000,25.6,0.0,11.00,83,28.7
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,1009.22,09-14-2019,10:00:00,989.62,0.40,33.80,0.00,150,26.1,9.3,18.00,71,32.1
48353,LOEI,เลย,เลย,17.45000,101.73333,1009.89,09-14-2019,10:00:00,981.38,4.30,29.74,0.00,320,23.9,3.7,15.00,74,29.0
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,1009.33,09-14-2019,10:00:00,989.41,0.00,29.24,0.00,060,23.7,5.6,15.00,64,31.3
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,1009.83,09-14-2019,10:00:00,988.30,0.00,29.33,0.00,140,23.7,3.7,15.00,67,30.5
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,1008.94,09-14-2019,10:00:00,989.66,0.00,28.06,0.00,120,23.0,7.4,15.00,64,30.7
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,1009.40,09-14-2019,10:00:00,992.88,0.00,26.97,0.00,000,22.3,0.0,12.00,58,31.7
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,1009.86,09-14-2019,10:00:00,992.58,0.00,28.91,0.00,140,23.5,3.7,10.00,68,30.0
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,1008.23,09-14-2019,10:00:00,982.77,0.00,29.48,0.00,080,23.8,5.6,15.00,66,31.0
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,1009.04,09-14-2019,10:00:00,1003.31,0.00,35.72,0.00,030,27.0,5.6,10.00,82,30.5
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,1008.90,09-14-2019,10:00:00,1002.75,1.40,35.05,0.00,000,26.7,0.0,10.00,85,29.5
