WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,DewPoint,RelativeHumidity,StationPressure,Rainfall24Hr,AirTemperature,Rainfall,LandVisibility,WindDirection,MeanSeaLevelPressure,VaporPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,5.6,09-14-2019,16:00:00,24.7,82,973.61,3.40,28.0,3.40,10.00,320,1004.24,31.11
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,18.5,09-14-2019,16:00:00,22.2,95,846.03,0.00,23.1,0.00,8.00,200,1004.86,26.74
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,7.4,09-14-2019,16:00:00,24.4,63,961.74,21.40,32.2,0.00,15.00,120,1004.33,30.48
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.0,09-14-2019,16:00:00,23.9,61,959.94,0.20,32.5,0.00,15.00,000,1004.34,29.66
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.0,09-14-2019,16:00:00,24.8,58,967.39,0.20,34.1,0.00,12.00,000,1003.91,31.26
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,3.7,09-14-2019,16:00:00,24.7,93,960.95,9.00,26.0,9.00,11.00,080,1005.93,31.11
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,9.3,09-14-2019,16:00:00,25.0,55,978.36,0.00,35.5,0.00,12.00,180,1004.21,31.60
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,11.1,09-14-2019,16:00:00,25.2,65,983.45,3.20,32.5,2.50,15.00,100,1004.72,31.98
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.0,09-14-2019,16:00:00,26.0,67,980.65,0.00,33.0,0.00,10.00,000,1004.16,33.66
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.0,09-14-2019,16:00:00,24.3,87,971.79,30.00,26.6,0.30,12.00,000,1006.20,30.34
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.0,09-14-2019,16:00:00,25.1,69,978.23,0.60,31.5,0.00,10.00,000,1005.25,31.93
