WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MaximumTemperature,Date,Time,AirTemperature,WindDirection,Rainfall,DewPoint,Rainfall24Hr,VaporPressure,RelativeHumidity,StationPressure,WindSpeed,MeanSeaLevelPressure,LandVisibility
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,33.2,09-14-2019,19:00:00,27.1,000,0.00,24.8,3.40,31.30,87,975.13,0.0,1005.90,10.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,24.0,09-14-2019,19:00:00,20.9,270,0.00,18.8,0.00,21.73,88,846.70,3.7,1006.92,8.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,32.4,09-14-2019,19:00:00,29.7,000,0.00,25.3,21.40,32.26,77,961.90,0.0,1004.86,15.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,33.0,09-14-2019,19:00:00,28.5,000,0.00,24.5,0.20,30.70,79,960.37,0.0,1005.39,15.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,34.5,09-14-2019,19:00:00,30.0,000,0.00,26.4,0.20,34.34,81,967.46,0.0,1004.48,8.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,30.0,09-14-2019,19:00:00,26.0,000,0.00,24.6,9.00,30.84,92,961.10,0.0,1006.08,9.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,36.0,09-14-2019,19:00:00,31.5,170,0.00,26.6,0.00,34.90,76,977.98,5.6,1004.16,10.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,33.5,09-14-2019,19:00:00,28.7,000,0.00,25.6,2.70,32.79,83,984.00,0.0,1005.55,15.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,35.5,09-14-2019,19:00:00,27.0,000,0.00,24.8,0.00,31.38,88,982.34,0.0,1006.37,10.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,34.5,09-14-2019,19:00:00,26.6,000,0.00,24.3,0.30,30.34,87,972.23,0.0,1006.67,10.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,33.3,09-14-2019,19:00:00,29.6,000,0.00,25.0,0.60,31.77,77,978.60,0.0,1005.79,10.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,34.0,09-14-2019,19:00:00,24.8,000,0.00,23.9,28.50,29.69,95,973.03,0.0,1006.73,10.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,35.1,09-14-2019,19:00:00,30.5,000,0.00,26.5,0.30,34.52,79,986.38,0.0,1004.60,15.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,36.0,09-14-2019,19:00:00,31.8,000,0.00,25.8,0.20,33.15,71,981.92,0.0,1004.28,10.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,34.0,09-14-2019,19:00:00,30.6,000,0.00,23.5,0.00,28.97,66,974.89,0.0,1004.28,12.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,31.4,09-14-2019,19:00:00,27.6,000,0.00,25.0,6.20,31.72,86,970.60,0.0,1005.89,7.00
