WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,Rainfall24Hr,WindDirection,VaporPressure,DewPoint,LandVisibility,WindSpeed,MeanSeaLevelPressure,AirTemperature,RelativeHumidity,Rainfall
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,977.45,09-14-2019,22:00:00,3.40,000,31.85,25.1,10.00,0.0,1008.40,26.1,94,0.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,847.24,09-14-2019,22:00:00,0.00,270,21.44,18.6,8.00,7.4,1008.14,19.9,92,0.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,964.87,09-14-2019,22:00:00,21.40,240,27.75,22.8,15.00,5.6,1008.47,26.2,82,0.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,962.84,09-14-2019,22:00:00,0.20,000,29.13,23.6,12.00,0.0,1008.39,25.8,88,0.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,970.01,09-14-2019,22:00:00,0.20,000,31.80,25.1,6.00,0.0,1007.44,27.5,87,0.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,963.83,09-14-2019,22:00:00,9.00,000,29.49,23.8,8.00,0.0,1009.19,24.4,97,0.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,981.90,09-14-2019,22:00:00,0.00,000,33.25,25.8,8.00,0.0,1008.51,27.8,89,0.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,986.66,09-14-2019,22:00:00,2.50,080,30.57,24.4,15.00,3.7,1008.47,26.0,91,0.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,984.60,09-14-2019,22:00:00,0.00,000,30.84,24.6,8.00,0.0,1008.76,26.0,92,0.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,974.75,09-14-2019,22:00:00,0.30,000,27.63,22.7,10.00,0.0,1009.41,25.4,85,0.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,981.40,09-14-2019,22:00:00,0.60,000,31.63,25.0,10.00,0.0,1008.94,26.7,90,0.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,975.48,09-14-2019,22:00:00,28.50,000,29.49,23.8,10.00,0.0,1009.31,24.4,97,0.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,989.36,09-14-2019,22:00:00,0.30,000,30.75,24.5,15.00,0.0,1007.85,27.1,86,0.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,985.66,09-14-2019,22:00:00,0.20,000,32.23,25.3,10.00,0.0,1008.39,28.0,85,0.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,977.74,09-14-2019,22:00:00,0.00,000,30.56,24.4,10.00,0.0,1007.47,28.0,81,0.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,973.48,09-14-2019,22:00:00,6.20,000,30.46,24.3,8.00,0.0,1009.09,25.8,92,0.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,977.94,09-14-2019,22:00:00,0.20,000,30.05,24.1,12.00,0.0,1007.80,25.0,95,0.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,1000.67,09-14-2019,22:00:00,0.00,000,29.60,23.9,10.00,0.0,1007.97,27.5,81,0.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,988.36,09-14-2019,22:00:00,0.40,000,35.05,26.7,12.00,0.0,1008.11,29.5,85,0.00
48353,LOEI,เลย,เลย,17.45000,101.73333,979.18,09-14-2019,22:00:00,0.70,000,29.08,23.6,15.00,0.0,1007.87,26.5,84,0.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,988.24,09-14-2019,22:00:00,0.20,000,32.12,25.2,10.00,0.0,1008.37,27.8,86,0.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,987.59,09-14-2019,22:00:00,0.00,000,31.74,25.0,12.00,0.0,1009.36,26.9,90,0.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,988.64,09-14-2019,22:00:00,0.00,000,32.96,25.7,12.00,0.0,1008.04,28.5,85,0.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,992.49,09-14-2019,22:00:00,0.00,000,28.51,23.2,10.00,0.0,1009.26,27.2,79,0.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,990.43,09-14-2019,22:00:00,0.00,000,27.77,22.8,10.00,0.0,1007.87,26.5,80,0.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,981.31,09-14-2019,22:00:00,0.00,000,31.63,25.0,11.00,0.0,1007.10,26.7,90,0.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,1002.23,09-14-2019,22:00:00,0.50,000,34.07,26.2,10.00,0.0,1008.01,27.5,93,0.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,1002.12,09-14-2019,22:00:00,0.00,000,32.77,25.6,12.00,0.0,1008.32,27.0,92,0.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,992.39,09-14-2019,22:00:00,0.00,000,29.03,23.5,10.00,0.0,1008.79,28.2,76,0.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,984.83,09-14-2019,22:00:00,8.20,000,30.84,24.6,10.00,0.0,1007.22,26.0,92,0.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,994.13,09-14-2019,22:00:00,0.00,000,33.86,26.1,8.00,0.0,1008.45,28.8,86,0.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,991.91,09-14-2019,22:00:00,0.20,000,30.70,24.5,8.00,0.0,1008.34,26.5,89,0.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1002.96,09-14-2019,22:00:00,10.90,060,33.19,25.8,10.00,5.6,1008.20,26.5,96,0.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,993.64,09-14-2019,22:00:00,4.00,000,31.74,25.0,10.00,0.0,1006.83,26.9,90,0.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,998.43,09-14-2019,22:00:00,0.00,000,31.21,24.8,12.00,0.0,1007.70,28.9,78,0.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,986.62,09-14-2019,22:00:00,0.00,020,32.23,25.3,10.00,5.6,1008.26,28.0,85,0.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,991.15,09-14-2019,22:00:00,0.00,000,31.95,25.1,10.00,0.0,1008.62,28.0,85,0.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,992.21,09-14-2019,22:00:00,3.20,000,29.91,24.0,10.00,0.0,1008.14,25.5,92,0.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,988.38,09-14-2019,22:00:00,0.40,000,32.77,25.6,8.00,0.0,1007.27,27.0,92,0.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,956.96,09-14-2019,22:00:00,29.40,000,27.42,22.6,7.00,0.0,1008.57,23.8,93,0.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1003.58,09-14-2019,22:00:00,0.90,000,32.64,25.5,6.00,0.0,1007.54,27.5,89,0.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,914.52,09-14-2019,22:00:00,0.50,000,23.54,20.1,4.00,0.0,1010.09,20.9,95,0.00
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,992.50,09-14-2019,22:00:00,11.40,000,34.27,26.3,6.00,0.0,1008.51,26.9,97,0.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1003.53,09-14-2019,22:00:00,0.30,000,31.70,25.0,10.00,0.0,1007.55,28.3,82,0.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,998.35,09-14-2019,22:00:00,5.50,000,32.49,25.4,7.00,0.0,1009.04,27.0,91,0.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1006.63,09-14-2019,22:00:00,7.20,090,30.97,24.6,9.00,1.9,1008.56,27.5,84,0.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,986.97,09-14-2019,22:00:00,0.01,000,29.08,23.6,10.00,0.0,1007.65,29.8,69,0.00
