WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,Rainfall24Hr,AirTemperature,MaximumTemperature,WindDirection,RelativeHumidity,WindSpeed,LandVisibility,MeanSeaLevelPressure,StationPressure,VaporPressure,Rainfall
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,24.7,09-15-2019,19:00:00,1.90,29.0,34.7,000,78,0.0,12.00,1004.34,973.81,31.13,1.10
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,16.9,09-15-2019,19:00:00,0.00,20.8,23.4,100,78,7.4,8.00,1004.66,844.75,19.18,0.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,23.7,09-15-2019,19:00:00,10.50,30.3,33.5,350,68,3.7,10.00,1004.27,961.43,29.22,0.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,23.7,09-15-2019,19:00:00,10.20,29.5,33.5,000,71,0.0,15.00,1004.12,959.30,29.33,0.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,25.1,09-15-2019,19:00:00,42.20,29.5,34.4,000,77,0.0,8.00,1004.81,967.72,31.85,0.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,25.6,09-15-2019,19:00:00,0.00,29.1,32.8,000,81,0.0,10.00,1005.04,960.56,32.75,0.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,25.7,09-15-2019,19:00:00,0.00,31.3,36.0,000,72,0.0,10.00,1005.08,978.85,32.97,0.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,24.1,09-15-2019,19:00:00,4.70,28.9,34.8,080,76,3.7,13.00,1005.18,983.65,30.10,0.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,24.6,09-15-2019,19:00:00,0.00,30.0,36.5,000,73,0.0,10.00,1004.46,980.71,30.87,0.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,22.6,09-15-2019,19:00:00,0.00,31.4,35.0,250,60,3.7,10.00,1004.34,970.51,27.49,0.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,23.9,09-15-2019,19:00:00,0.00,27.4,35.2,000,81,0.0,10.00,1006.00,978.61,29.69,0.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,24.4,09-15-2019,19:00:00,0.00,30.4,34.6,000,70,0.0,10.00,1004.49,971.48,30.54,0.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,24.8,09-15-2019,19:00:00,17.80,25.7,35.0,000,95,0.0,10.00,1005.39,986.86,31.36,0.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,25.1,09-15-2019,19:00:00,0.00,31.6,35.6,000,69,0.0,10.00,1004.42,982.04,31.85,0.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,24.5,09-15-2019,19:00:00,0.00,29.5,35.0,000,75,0.0,10.00,1004.66,975.16,30.72,0.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,23.6,09-15-2019,19:00:00,0.00,28.0,33.5,000,77,0.0,8.00,1005.57,970.33,29.19,0.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,23.0,09-15-2019,19:00:00,0.00,26.8,33.4,000,80,0.0,14.00,1005.38,975.76,28.04,0.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,25.4,09-15-2019,19:00:00,0.00,29.5,36.5,000,79,0.0,10.00,1004.86,997.63,32.42,0.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,24.3,09-15-2019,19:00:00,0.00,30.5,34.0,140,70,3.7,15.00,1005.14,985.52,30.46,0.00
48353,LOEI,เลย,เลย,17.45000,101.73333,23.9,09-15-2019,19:00:00,3.50,29.5,34.3,000,72,0.0,15.00,1005.30,976.97,29.60,0.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,23.7,09-15-2019,19:00:00,16.70,29.5,33.7,000,71,0.0,12.00,1005.60,985.64,29.33,0.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,25.1,09-15-2019,19:00:00,0.00,28.2,33.0,000,83,0.0,12.00,1005.65,984.05,31.79,0.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,23.5,09-15-2019,19:00:00,0.00,30.0,32.9,000,68,0.0,12.00,1005.21,985.96,28.91,0.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,24.4,09-15-2019,19:00:00,0.01,29.7,34.0,000,73,0.0,11.00,1006.04,989.46,30.55,0.00
