WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,DewPoint,Rainfall,RelativeHumidity,Rainfall24Hr,WindSpeed,MeanSeaLevelPressure,StationPressure,LandVisibility,WindDirection,AirTemperature
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,29.28,09-16-2019,01:00:00,23.7,0.00,91,1.90,0.0,1008.28,977.25,10.00,000,25.3
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,19.51,09-16-2019,01:00:00,17.1,0.00,88,0.00,0.0,1007.90,846.64,8.00,000,19.1
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,27.69,09-16-2019,01:00:00,22.8,0.00,89,10.50,0.0,1008.43,964.62,10.00,000,24.7
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,28.02,09-16-2019,01:00:00,23.0,0.00,92,10.20,0.0,1008.25,962.48,10.00,000,24.3
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,30.32,09-16-2019,01:00:00,24.3,0.00,96,42.20,0.0,1008.82,971.03,6.00,000,25.0
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,29.05,09-16-2019,01:00:00,23.6,0.00,96,0.00,1.9,1008.48,963.14,8.00,040,24.3
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,30.15,09-16-2019,01:00:00,24.2,0.00,94,0.00,0.0,1009.26,982.40,8.00,000,25.2
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,30.23,09-16-2019,01:00:00,24.2,0.00,95,4.70,0.0,1007.98,986.11,12.00,000,25.1
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,29.33,09-16-2019,01:00:00,23.7,0.00,95,0.00,0.0,1008.54,984.27,8.00,000,24.6
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,28.40,09-16-2019,01:00:00,23.2,0.00,89,1.20,0.0,1008.59,973.92,10.00,000,25.1
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,29.91,09-16-2019,01:00:00,24.0,0.00,92,0.00,0.0,1009.09,981.44,10.00,000,25.5
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,27.69,09-16-2019,01:00:00,22.8,0.00,89,28.20,0.0,1008.54,974.77,10.00,000,24.7
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,30.58,09-16-2019,01:00:00,24.4,0.00,97,17.80,0.0,1008.03,989.41,7.00,000,25.0
48331,NAN,น่าน,น่าน,18.77972,100.77778,30.09,09-16-2019,01:00:00,24.1,0.00,92,0.00,0.0,1008.07,985.17,10.00,000,25.6
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,27.25,09-16-2019,01:00:00,22.5,0.00,91,0.00,0.0,1008.32,978.17,8.00,000,24.0
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,29.69,09-16-2019,01:00:00,23.9,0.00,95,1.60,0.0,1008.08,972.39,7.00,000,24.8
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,26.25,09-16-2019,01:00:00,21.9,0.00,95,0.00,0.0,1007.86,977.78,10.00,000,22.8
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,29.60,09-16-2019,01:00:00,23.9,0.00,87,0.00,0.0,1007.62,1000.30,9.00,000,26.2
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,30.39,09-16-2019,01:00:00,24.3,0.00,84,0.00,3.7,1007.45,987.57,10.00,350,27.2
48353,LOEI,เลย,เลย,17.45000,101.73333,27.25,09-16-2019,01:00:00,22.5,0.00,91,3.50,0.0,1008.11,979.18,10.00,000,24.0
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,30.30,09-16-2019,01:00:00,24.3,0.00,90,16.70,3.7,1007.47,987.24,12.00,300,26.0
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,29.11,09-16-2019,01:00:00,23.6,0.00,89,0.00,0.0,1007.76,985.93,12.00,000,25.5
