WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,LandVisibility,DewPoint,MeanSeaLevelPressure,StationPressure,Rainfall24Hr,WindSpeed,WindDirection,Rainfall,VaporPressure,RelativeHumidity
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,24.5,09-16-2019,04:00:00,8.00,23.2,1007.63,976.54,1.10,0.0,000,0.00,28.37,92
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,18.6,09-16-2019,04:00:00,8.00,17.4,1007.18,845.79,0.00,5.6,100,0.00,19.92,93
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,23.7,09-16-2019,04:00:00,10.00,22.0,1008.43,964.48,0.50,1.9,350,0.00,26.50,90
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,23.5,09-16-2019,04:00:00,10.00,22.4,1008.33,962.43,0.00,0.0,000,0.00,27.16,94
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,24.8,09-16-2019,04:00:00,6.00,24.5,1008.76,970.95,0.00,0.0,000,0.00,30.75,98
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,23.2,09-16-2019,04:00:00,6.00,22.9,1008.01,962.53,0.00,0.0,000,0.00,27.91,98
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,24.0,09-16-2019,04:00:00,7.00,23.0,1008.79,981.84,0.00,0.0,000,0.00,28.01,94
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,24.2,09-16-2019,04:00:00,12.00,23.9,1007.27,985.35,0.70,0.0,000,0.00,29.66,98
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,24.8,09-16-2019,04:00:00,6.00,23.6,1007.58,983.34,0.00,0.0,000,0.00,29.16,93
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,24.3,09-16-2019,04:00:00,10.00,22.8,1007.73,973.00,1.20,0.0,000,0.00,27.77,91
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,24.0,09-16-2019,04:00:00,10.00,23.3,1008.41,980.63,0.00,0.0,000,0.00,28.53,96
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,26.7,09-16-2019,04:00:00,10.00,25.1,1006.51,973.03,28.20,0.0,000,0.00,31.91,91
48331,NAN,น่าน,น่าน,18.77972,100.77778,24.6,09-16-2019,04:00:00,10.00,23.6,1007.96,984.99,0.00,0.0,000,0.00,29.07,94
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,23.0,09-16-2019,04:00:00,6.00,21.8,1008.08,977.84,0.00,0.0,000,0.00,26.09,93
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,23.3,09-16-2019,04:00:00,7.00,22.5,1007.40,971.55,1.60,0.0,000,0.00,27.33,96
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,22.0,09-16-2019,04:00:00,7.00,21.7,1007.27,977.12,0.00,0.0,000,0.00,25.93,98
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,25.0,09-16-2019,04:00:00,9.00,23.5,1006.81,999.46,0.00,0.0,000,0.00,29.00,92
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,26.3,09-16-2019,04:00:00,10.00,24.4,1006.77,986.85,0.00,0.0,000,0.00,30.59,89
48353,LOEI,เลย,เลย,17.45000,101.73333,23.0,09-16-2019,04:00:00,8.00,21.9,1007.48,978.47,3.50,5.6,290,0.00,26.33,94
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,25.2,09-16-2019,04:00:00,8.00,24.2,1007.04,986.76,0.01,1.9,270,0.00,30.15,94
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,25.0,09-16-2019,04:00:00,10.00,23.7,1007.24,985.39,0.00,0.0,000,0.00,29.26,92
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,25.9,09-16-2019,04:00:00,10.00,24.2,1006.78,987.24,0.00,0.0,000,0.00,30.11,90
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,25.6,09-16-2019,04:00:00,10.00,24.0,1007.54,990.72,9.20,0.0,000,0.00,29.82,91
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,24.5,09-16-2019,04:00:00,10.00,23.5,1007.52,989.97,0.00,0.0,000,0.00,28.89,94
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,24.4,09-16-2019,04:00:00,10.00,23.2,1005.85,979.90,5.00,0.0,000,0.00,28.45,93
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,26.0,09-16-2019,04:00:00,10.00,25.7,1006.29,1000.49,0.00,0.0,000,0.00,33.04,98
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,25.5,09-16-2019,04:00:00,8.00,25.2,1006.09,999.88,1.60,0.0,000,0.00,32.07,98
