WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,StationPressure,DewPoint,LandVisibility,MeanSeaLevelPressure,Rainfall24Hr,WindSpeed,AirTemperature,VaporPressure,WindDirection,RelativeHumidity
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.00,09-16-2019,16:00:00,972.53,22.5,15.00,1002.51,1.10,0.0,34.1,27.21,000,51
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,0.00,09-16-2019,16:00:00,844.03,17.3,8.00,1002.54,0.00,7.4,23.0,19.79,110,70
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.00,09-16-2019,16:00:00,960.67,21.2,12.00,1002.97,0.00,7.4,33.9,25.16,150,48
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.00,09-16-2019,16:00:00,959.08,22.0,15.00,1003.29,0.00,0.0,33.6,26.51,000,51
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.01,09-16-2019,16:00:00,966.60,27.0,12.00,1003.28,0.01,3.7,32.5,35.60,300,73
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.00,09-16-2019,16:00:00,959.70,23.0,12.00,1003.36,0.00,0.0,34.4,28.10,000,52
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.00,09-16-2019,16:00:00,977.64,22.2,12.00,1003.40,0.00,0.0,36.3,26.82,000,44
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.00,09-16-2019,16:00:00,981.65,22.4,15.00,1002.78,0.00,1.9,34.0,27.01,270,51
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.00,09-16-2019,16:00:00,979.12,21.1,10.00,1002.33,0.00,0.0,36.5,24.96,000,41
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.00,09-16-2019,16:00:00,969.69,20.0,10.00,1003.08,1.20,5.6,35.0,23.44,200,42
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.00,09-16-2019,16:00:00,976.82,22.1,10.00,1003.52,0.00,0.0,34.6,26.52,000,48
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.00,09-16-2019,16:00:00,970.53,18.7,15.00,1003.12,28.20,0.0,34.0,21.61,000,41
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.00,09-16-2019,16:00:00,985.15,21.5,12.00,1003.04,0.00,1.9,35.6,25.70,180,44
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.00,09-16-2019,16:00:00,981.13,21.2,10.00,1003.21,0.00,5.6,35.3,25.11,110,44
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.00,09-16-2019,16:00:00,974.16,23.6,12.00,1003.11,0.00,0.0,35.0,29.05,000,52
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.00,09-16-2019,16:00:00,969.24,23.1,8.00,1003.69,1.60,0.0,34.5,28.30,000,52
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.00,09-16-2019,16:00:00,974.17,22.5,12.00,1003.05,0.00,7.4,33.8,27.18,100,52
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.00,09-16-2019,16:00:00,996.02,22.5,10.00,1003.09,0.00,0.0,35.5,27.19,000,47
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.00,09-16-2019,16:00:00,983.30,24.4,16.00,1002.61,0.00,9.3,34.7,30.47,090,55
48353,LOEI,เลย,เลย,17.45000,101.73333,0.00,09-16-2019,16:00:00,975.58,21.4,14.00,1003.35,0.00,5.6,35.1,25.55,030,45
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,0.00,09-16-2019,16:00:00,984.60,20.9,15.00,1004.22,0.00,3.7,34.4,24.75,060,46
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.00,09-16-2019,16:00:00,983.29,21.9,15.00,1004.51,0.00,3.7,33.2,26.28,130,52
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,0.00,09-16-2019,16:00:00,984.88,21.1,15.00,1003.91,0.00,3.7,33.0,25.08,070,50
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.00,09-16-2019,16:00:00,987.76,22.6,12.00,1004.09,9.20,0.0,33.6,27.34,000,53
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.00,09-16-2019,16:00:00,987.33,21.8,10.00,1004.32,0.00,0.0,33.5,26.04,000,50
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.00,09-16-2019,16:00:00,978.01,23.8,12.00,1003.13,0.00,0.0,33.5,29.41,000,57
