WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,WindDirection,VaporPressure,MeanSeaLevelPressure,RelativeHumidity,Rainfall24Hr,LandVisibility,StationPressure,DewPoint,AirTemperature,WindSpeed
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.00,09-17-2019,13:00:00,000,28.25,1006.61,58,0.00,15.00,976.36,23.1,32.5,0.0
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,0.00,09-17-2019,13:00:00,120,19.22,1005.19,66,0.00,10.00,846.60,16.9,23.7,9.3
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.00,09-17-2019,13:00:00,110,28.68,1006.75,57,0.00,12.00,964.16,23.3,33.0,7.4
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.00,09-17-2019,13:00:00,000,29.25,1006.64,58,0.00,15.00,962.20,23.7,33.0,0.0
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.00,09-17-2019,13:00:00,350,32.42,1006.16,59,0.01,12.00,969.61,25.4,34.5,5.6
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.00,09-17-2019,13:00:00,270,27.59,1007.03,54,0.00,12.00,963.05,22.7,33.3,5.6
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.00,09-17-2019,13:00:00,160,30.93,1006.87,57,0.00,10.00,980.87,24.6,34.5,5.6
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.00,09-17-2019,13:00:00,330,29.29,1006.85,53,0.00,12.00,985.68,23.7,34.7,9.3
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.00,09-17-2019,13:00:00,000,30.04,1006.37,57,0.00,10.00,982.87,24.1,33.8,0.0
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.00,09-17-2019,13:00:00,350,23.93,1006.78,44,0.00,10.00,973.20,20.4,34.4,3.7
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.00,09-17-2019,13:00:00,000,29.04,1007.12,54,0.00,10.00,980.30,23.6,34.3,0.0
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.00,09-17-2019,13:00:00,280,30.28,1006.63,59,0.00,12.00,973.88,24.2,33.5,3.7
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.00,09-17-2019,13:00:00,040,28.64,1006.53,50,0.00,10.00,988.56,23.3,35.5,5.6
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.00,09-17-2019,13:00:00,000,30.52,1006.24,54,0.00,10.00,984.07,24.4,35.0,0.0
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.00,09-17-2019,13:00:00,000,27.45,1006.42,50,0.00,12.00,977.34,22.6,34.5,0.0
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.00,09-17-2019,13:00:00,000,29.50,1007.05,60,0.00,8.00,972.29,23.8,32.7,0.0
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.00,09-17-2019,13:00:00,140,30.11,1006.57,60,0.00,12.00,977.51,24.2,33.0,3.7
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.00,09-17-2019,13:00:00,000,29.21,1006.74,53,0.00,12.00,999.63,23.7,34.8,0.0
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.00,09-17-2019,13:00:00,110,33.48,1006.72,61,0.00,18.00,987.33,25.9,34.7,14.8
48353,LOEI,เลย,เลย,17.45000,101.73333,0.00,09-17-2019,13:00:00,320,28.43,1006.76,53,0.00,15.00,978.80,23.2,34.0,9.3
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,0.00,09-17-2019,13:00:00,060,27.41,1007.05,51,0.00,15.00,987.36,22.6,34.2,5.6
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.00,09-17-2019,13:00:00,090,30.28,1006.99,59,0.00,10.00,985.74,24.2,33.5,9.3
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,0.00,09-17-2019,13:00:00,090,27.47,1006.37,54,0.00,12.00,987.29,22.6,33.1,3.7
