WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,Rainfall,DewPoint,AirTemperature,LandVisibility,WindDirection,Rainfall24Hr,VaporPressure,WindSpeed,StationPressure,RelativeHumidity
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,1008.41,09-17-2019,22:00:00,0.00,24.8,27.2,10.00,000,0.00,31.22,0.0,977.58,87
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,1007.24,09-17-2019,22:00:00,0.00,16.4,21.8,10.00,140,0.00,18.58,3.7,847.41,71
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,1008.33,09-17-2019,22:00:00,0.00,22.9,26.9,10.00,000,0.00,27.96,0.0,964.84,79
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,1008.36,09-17-2019,22:00:00,0.00,23.2,25.7,15.00,000,0.00,28.42,0.0,962.79,86
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,1009.71,09-17-2019,22:00:00,0.00,23.4,24.0,6.00,000,4.10,28.78,0.0,971.76,97
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,1008.41,09-17-2019,22:00:00,0.00,23.6,27.0,12.00,000,0.00,29.21,0.0,963.47,82
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,1009.42,09-17-2019,22:00:00,0.00,23.8,26.0,8.00,000,0.00,29.50,0.0,982.63,88
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,1008.44,09-17-2019,22:00:00,0.00,23.0,26.7,12.00,070,0.00,28.13,3.7,986.68,80
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,1008.84,09-17-2019,22:00:00,0.00,24.6,27.5,8.00,000,0.00,30.97,0.0,984.79,84
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,1007.92,09-17-2019,22:00:00,0.00,23.2,29.3,10.00,000,0.00,28.40,0.0,973.75,70
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,1008.64,09-17-2019,22:00:00,0.00,25.1,28.0,10.00,000,0.00,31.95,0.0,981.23,85
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,1008.22,09-17-2019,22:00:00,0.00,24.2,28.4,10.00,000,0.00,30.23,0.0,974.87,78
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,1007.74,09-17-2019,22:00:00,0.00,24.9,28.5,8.00,000,0.00,31.54,0.0,989.34,81
48331,NAN,น่าน,น่าน,18.77972,100.77778,1008.71,09-17-2019,22:00:00,0.00,24.3,28.3,10.00,000,0.00,30.31,0.0,985.99,79
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,1009.08,09-17-2019,22:00:00,0.00,23.1,26.2,10.00,000,0.00,28.28,0.0,979.13,83
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,1008.44,09-17-2019,22:00:00,0.00,22.7,26.7,8.00,000,0.00,27.60,0.0,972.96,79
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,1008.43,09-17-2019,22:00:00,0.00,23.3,25.5,8.00,000,0.00,28.59,0.0,978.60,88
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,1007.84,09-17-2019,22:00:00,0.00,26.4,30.0,10.00,000,0.00,34.34,0.0,1000.60,81
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,1008.20,09-17-2019,22:00:00,0.00,25.9,29.6,10.00,000,0.00,33.50,0.0,988.46,81
48353,LOEI,เลย,เลย,17.45000,101.73333,1008.61,09-17-2019,22:00:00,0.00,23.7,27.3,8.00,000,0.00,29.23,0.0,979.98,81
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,1008.44,09-17-2019,22:00:00,0.00,25.5,28.8,10.00,200,0.00,32.71,3.7,988.38,83
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,1008.80,09-17-2019,22:00:00,0.00,25.6,27.0,10.00,000,0.00,32.77,0.0,987.05,92
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,1008.05,09-17-2019,22:00:00,0.00,25.8,29.0,10.00,120,0.00,33.12,5.6,988.68,83
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,1009.14,09-17-2019,22:00:00,0.00,22.4,29.0,12.00,000,0.00,27.03,0.0,992.48,68
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,1009.18,09-17-2019,22:00:00,0.00,22.5,27.1,10.00,090,0.00,27.27,3.7,991.75,76
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,1007.74,09-17-2019,22:00:00,0.00,24.5,27.4,11.00,000,0.00,30.78,0.0,981.99,84
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,1007.44,09-17-2019,22:00:00,0.00,27.5,30.3,10.00,000,1.70,36.80,0.0,1001.71,85
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,1007.62,09-17-2019,22:00:00,0.00,26.7,29.5,12.00,000,0.00,35.05,0.0,1001.48,85
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,1009.70,09-17-2019,22:00:00,0.00,23.4,26.5,12.00,000,0.00,28.82,0.0,993.19,83
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,1007.45,09-17-2019,22:00:00,0.00,24.6,27.5,10.00,270,0.00,30.97,7.4,985.16,84
48376,TAK,ตาก,ตาก,16.87833,99.14333,1008.41,09-17-2019,22:00:00,0.00,24.9,28.6,7.00,000,0.00,31.46,0.0,994.09,80
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,1008.35,09-17-2019,22:00:00,0.00,23.1,27.1,8.00,000,0.00,28.33,0.0,991.96,79
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1008.81,09-17-2019,22:00:00,15.80,24.3,26.0,10.00,000,15.80,30.30,0.0,1003.56,90
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,1007.34,09-17-2019,22:00:00,0.00,23.3,26.5,10.00,000,0.00,28.55,0.0,994.12,83
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,1008.05,09-17-2019,22:00:00,0.00,26.5,30.0,11.00,000,0.00,34.64,0.0,998.81,82
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,1008.53,09-17-2019,22:00:00,0.00,25.5,27.8,8.00,000,0.01,32.68,0.0,986.87,88
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,1008.61,09-17-2019,22:00:00,0.00,24.2,28.5,12.00,000,0.00,30.15,0.0,991.17,78
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,1008.04,09-17-2019,22:00:00,0.00,23.2,29.0,10.00,010,0.00,28.37,3.7,992.29,71
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,1007.57,09-17-2019,22:00:00,1.00,25.8,26.5,8.00,000,14.80,33.19,0.0,988.65,96
