WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,AirTemperature,StationPressure,WindDirection,RelativeHumidity,LandVisibility,DewPoint,MeanSeaLevelPressure,VaporPressure,Rainfall,Rainfall24Hr
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.0,09-18-2019,01:00:00,26.1,977.77,000,91,8.00,24.5,1008.73,30.76,0.00,0.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,0.0,09-18-2019,01:00:00,20.0,845.34,000,81,10.00,16.7,1005.82,18.99,0.00,0.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.0,09-18-2019,01:00:00,26.0,965.02,000,85,10.00,23.4,1008.66,28.70,0.00,0.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.0,09-18-2019,01:00:00,24.8,962.82,000,93,12.00,23.6,1008.53,29.16,0.00,0.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.0,09-18-2019,01:00:00,23.5,972.76,000,100,6.00,23.5,1010.81,28.94,0.01,4.10
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.0,09-18-2019,01:00:00,26.0,963.43,000,92,10.00,24.6,1008.52,30.84,0.00,0.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,3.7,09-18-2019,01:00:00,24.3,984.22,300,91,6.00,22.7,1011.21,27.51,2.10,2.10
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,1.9,09-18-2019,01:00:00,25.6,986.58,050,88,11.00,23.5,1008.42,29.03,0.00,0.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.0,09-18-2019,01:00:00,25.7,984.89,000,94,8.00,24.7,1009.09,31.08,0.00,0.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.0,09-18-2019,01:00:00,27.6,973.81,000,75,10.00,22.7,1008.18,27.65,0.00,0.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,3.7,09-18-2019,01:00:00,27.4,981.14,330,89,10.00,25.4,1008.61,32.45,1.00,1.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.0,09-18-2019,01:00:00,27.2,974.84,000,83,10.00,24.0,1008.32,29.85,0.00,0.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.0,09-18-2019,01:00:00,25.5,990.25,000,84,6.00,22.7,1008.85,27.55,0.00,0.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.0,09-18-2019,01:00:00,24.7,986.62,000,90,7.00,22.9,1009.63,27.95,9.00,9.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.0,09-18-2019,01:00:00,23.4,979.69,000,92,5.00,22.0,1009.95,26.50,31.40,31.40
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.0,09-18-2019,01:00:00,26.0,972.29,000,92,8.00,24.6,1007.84,30.84,0.00,0.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.0,09-18-2019,01:00:00,24.2,978.61,000,95,6.00,23.3,1008.57,28.62,0.00,0.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.0,09-18-2019,01:00:00,28.2,1000.94,000,82,10.00,24.8,1008.22,31.23,0.00,0.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.0,09-18-2019,01:00:00,29.8,988.10,000,77,10.00,25.4,1007.82,32.46,0.00,0.00
48353,LOEI,เลย,เลย,17.45000,101.73333,0.0,09-18-2019,01:00:00,25.5,979.81,000,89,7.00,23.6,1008.61,29.11,0.00,0.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,1.9,09-18-2019,01:00:00,27.7,988.22,240,88,8.00,25.6,1008.35,32.76,0.00,0.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.0,09-18-2019,01:00:00,26.0,987.02,000,91,10.00,24.4,1008.84,30.57,0.00,0.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,0.0,09-18-2019,01:00:00,27.1,988.67,000,80,10.00,23.3,1008.16,28.59,0.00,0.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.0,09-18-2019,01:00:00,26.7,992.00,000,80,10.00,23.0,1008.78,28.13,0.00,0.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.0,09-18-2019,01:00:00,25.5,991.52,000,88,8.00,23.3,1009.04,28.59,0.00,0.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.0,09-18-2019,01:00:00,26.7,981.61,000,90,10.00,24.8,1007.41,31.35,0.00,0.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,5.6,09-18-2019,01:00:00,27.5,1002.21,090,90,10.00,25.7,1007.99,32.93,0.00,0.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.0,09-18-2019,01:00:00,27.5,1001.07,000,88,10.00,25.4,1007.25,32.36,0.00,0.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.0,09-18-2019,01:00:00,26.0,992.66,000,88,10.00,23.8,1009.19,29.50,0.00,0.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,3.7,09-18-2019,01:00:00,26.5,985.33,240,84,10.00,23.6,1007.69,29.08,0.00,0.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.0,09-18-2019,01:00:00,27.2,994.40,000,83,6.00,24.0,1008.80,29.85,0.00,0.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.0,09-18-2019,01:00:00,27.9,991.86,000,74,8.00,22.8,1008.21,27.67,0.00,0.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.0,09-18-2019,01:00:00,25.8,1003.42,000,92,10.00,24.3,1008.68,30.46,0.00,15.80
