WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,AirTemperature,LandVisibility,Rainfall,StationPressure,RelativeHumidity,DewPoint,WindDirection,WindSpeed,Rainfall24Hr,VaporPressure,MeanSeaLevelPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,09-18-2019,04:00:00,25.5,7.00,0.00,977.71,93,24.2,000,0.0,0.00,30.17,1008.73
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,09-18-2019,04:00:00,19.8,10.00,0.00,846.67,83,16.8,110,3.7,0.00,19.15,1007.52
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,09-18-2019,04:00:00,25.5,10.00,0.00,965.05,92,24.0,000,0.0,0.00,29.91,1008.76
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,09-18-2019,04:00:00,24.4,12.00,0.00,962.98,93,23.2,000,0.0,0.00,28.45,1008.76
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,09-18-2019,04:00:00,23.3,6.00,3.80,972.20,100,23.3,000,0.0,7.90,28.59,1010.25
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,09-18-2019,04:00:00,25.4,10.00,0.00,963.77,91,23.8,000,0.0,0.00,29.46,1008.96
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,09-18-2019,04:00:00,23.4,6.00,2.50,982.58,96,22.6,000,0.0,4.60,27.49,1009.61
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,09-18-2019,04:00:00,25.2,11.00,0.00,986.64,91,23.6,000,0.0,0.00,29.10,1008.51
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,09-18-2019,04:00:00,25.2,6.00,0.00,984.27,94,24.2,000,0.0,0.00,30.15,1008.49
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,09-18-2019,04:00:00,24.7,8.00,1.40,974.52,89,22.8,350,3.7,1.40,27.69,1009.26
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,09-18-2019,04:00:00,24.5,10.00,0.00,982.28,87,22.3,000,0.0,1.00,26.84,1010.05
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,09-18-2019,04:00:00,23.1,5.00,21.70,975.48,97,22.6,240,5.6,21.70,27.49,1009.46
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,09-18-2019,04:00:00,24.3,10.00,0.00,990.04,93,23.1,000,0.0,0.00,28.28,1008.71
48331,NAN,น่าน,น่าน,18.77972,100.77778,09-18-2019,04:00:00,24.0,10.00,0.01,986.39,92,22.7,000,0.0,9.00,27.51,1009.45
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,09-18-2019,04:00:00,22.6,5.00,0.50,979.20,95,21.7,000,0.0,31.90,25.93,1009.52
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,09-18-2019,04:00:00,24.0,4.00,18.60,973.78,96,23.3,000,0.0,18.60,28.53,1009.63
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,09-18-2019,04:00:00,24.2,8.00,0.00,978.74,94,23.2,100,7.4,0.00,28.36,1008.71
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,09-18-2019,04:00:00,26.7,10.00,0.00,1000.71,83,23.5,000,0.0,0.00,28.92,1008.03
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,09-18-2019,04:00:00,28.0,10.00,0.00,987.70,89,26.0,000,0.0,0.00,33.66,1007.53
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,09-18-2019,04:00:00,27.7,8.00,0.00,988.52,88,25.6,000,0.0,0.00,32.76,1008.66
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,09-18-2019,04:00:00,24.5,10.00,0.00,986.66,93,23.3,000,0.0,0.00,28.63,1008.58
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,09-18-2019,04:00:00,25.6,10.00,0.00,988.39,91,24.0,200,3.7,0.00,29.82,1007.97
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,09-18-2019,04:00:00,26.0,10.00,0.00,991.77,84,23.1,000,0.0,0.00,28.18,1008.59
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,09-18-2019,04:00:00,24.6,8.00,0.00,991.29,91,23.0,000,0.0,0.00,28.03,1008.86
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,09-18-2019,04:00:00,26.3,10.00,0.00,981.41,93,25.0,000,0.0,0.00,31.68,1007.24
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,09-18-2019,04:00:00,26.3,10.00,0.00,1002.67,98,25.9,000,0.0,0.00,33.35,1008.48
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,09-18-2019,04:00:00,27.0,10.00,0.00,1001.25,92,25.6,000,0.0,0.00,32.77,1007.44
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,09-18-2019,04:00:00,25.3,10.00,0.00,992.17,93,24.1,000,0.0,0.00,30.07,1008.72
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,09-18-2019,04:00:00,26.0,10.00,0.00,984.67,88,23.8,000,0.0,0.00,29.50,1007.06
48376,TAK,ตาก,ตาก,16.87833,99.14333,09-18-2019,04:00:00,26.3,6.00,0.00,993.90,89,24.4,000,0.0,0.00,30.59,1008.34
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,09-18-2019,04:00:00,25.3,8.00,0.00,991.57,89,23.4,000,0.0,0.00,28.75,1008.06
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,09-18-2019,04:00:00,25.5,10.00,0.00,1002.95,93,24.2,000,0.0,15.80,30.17,1008.20
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,09-18-2019,04:00:00,24.6,10.00,0.20,993.85,95,23.7,000,0.0,5.20,29.33,1007.15
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,09-18-2019,04:00:00,26.3,10.00,6.70,999.19,94,25.3,090,1.9,6.70,32.23,1008.55
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,09-18-2019,04:00:00,25.1,8.00,0.00,986.27,96,24.4,000,0.0,0.01,30.50,1008.11
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,09-18-2019,04:00:00,27.0,10.00,0.00,988.52,84,24.1,000,0.0,0.00,30.02,1006.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,09-18-2019,04:00:00,25.0,10.00,0.00,991.44,92,23.5,000,0.0,0.00,29.00,1007.38
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,09-18-2019,04:00:00,26.1,8.00,0.00,988.30,98,25.7,000,0.0,14.80,32.95,1007.24
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,09-18-2019,04:00:00,23.0,5.00,0.00,958.31,91,21.5,000,0.0,0.00,25.60,1010.14
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,09-18-2019,04:00:00,26.3,5.00,0.00,1003.79,93,25.0,000,0.0,0.10,31.68,1007.76
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,09-18-2019,04:00:00,22.1,.30,0.00,913.94,98,21.8,000,0.0,0.00,26.09,1009.04
