WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,Rainfall24Hr,WindDirection,MeanSeaLevelPressure,Rainfall,VaporPressure,RelativeHumidity,StationPressure,AirTemperature,WindSpeed,LandVisibility
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,23.2,09-18-2019,10:00:00,6.50,000,1012.09,6.50,28.42,86,980.99,25.7,0.0,10.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,19.5,09-18-2019,10:00:00,5.70,120,1009.63,0.40,22.71,93,848.93,20.8,5.6,7.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,24.3,09-18-2019,10:00:00,0.00,100,1011.46,0.00,30.39,72,968.25,29.9,7.4,10.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,24.3,09-18-2019,10:00:00,0.00,000,1011.31,0.00,30.31,71,966.23,30.0,0.0,15.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,25.0,09-18-2019,10:00:00,7.90,000,1011.79,0.00,31.62,82,974.31,28.4,0.0,12.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,23.6,09-18-2019,10:00:00,0.00,310,1011.60,0.00,29.08,69,966.92,29.8,5.6,12.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,24.5,09-18-2019,10:00:00,4.60,000,1012.39,0.00,30.72,75,985.82,29.5,0.0,12.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,24.7,09-18-2019,10:00:00,0.00,030,1010.92,0.00,31.15,71,989.39,30.7,3.7,12.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,24.7,09-18-2019,10:00:00,0.00,000,1011.29,0.00,31.15,73,987.38,30.0,0.0,10.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,21.9,09-18-2019,10:00:00,2.20,320,1011.91,0.00,26.25,64,977.60,29.3,3.7,12.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,23.5,09-18-2019,10:00:00,1.00,000,1011.75,0.00,28.91,68,984.42,30.0,0.0,10.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,23.5,09-18-2019,10:00:00,23.60,100,1011.86,0.00,28.95,75,978.38,28.3,5.6,15.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,24.3,09-18-2019,10:00:00,0.00,030,1011.25,0.00,30.31,71,992.88,30.0,1.9,5.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,23.6,09-18-2019,10:00:00,9.00,000,1011.75,0.00,29.08,73,989.00,28.8,0.0,10.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,23.3,09-18-2019,10:00:00,31.90,360,1011.65,0.00,28.54,72,981.88,28.8,5.6,12.00
