WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,StationPressure,Rainfall24Hr,WindDirection,DewPoint,MaximumTemperature,LandVisibility,WindSpeed,AirTemperature,MeanSeaLevelPressure,Rainfall,RelativeHumidity
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,31.61,09-18-2019,19:00:00,976.74,6.50,090,25.0,32.3,15.00,5.6,29.1,1007.36,0.00,78
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,20.16,09-18-2019,19:00:00,847.11,5.70,000,17.6,24.5,8.00,0.0,21.2,1007.23,0.00,80
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,29.55,09-18-2019,19:00:00,964.18,0.00,350,23.8,33.6,10.00,3.7,31.6,1006.96,0.00,64
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,28.31,09-18-2019,19:00:00,962.16,0.00,000,23.1,34.1,15.00,0.0,29.4,1007.13,0.00,69
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,32.96,09-18-2019,19:00:00,970.51,3.80,000,25.7,33.5,8.00,0.0,28.5,1007.83,0.00,85
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,29.19,09-18-2019,19:00:00,962.82,0.00,000,23.6,34.5,10.00,0.0,28.0,1007.57,0.00,77
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,35.31,09-18-2019,19:00:00,981.37,4.60,000,26.8,35.5,10.00,0.0,31.0,1007.69,0.00,79
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,30.72,09-18-2019,19:00:00,985.93,0.00,090,24.5,35.3,12.00,5.6,29.5,1007.47,0.00,75
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,31.80,09-18-2019,19:00:00,983.33,0.00,000,25.1,36.1,10.00,0.0,29.9,1007.15,0.00,75
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,29.71,09-18-2019,19:00:00,973.26,2.20,320,23.9,35.0,10.00,3.7,32.1,1007.10,0.00,62
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,33.93,09-18-2019,19:00:00,980.14,1.00,000,26.2,35.6,10.00,0.0,30.5,1007.29,0.00,78
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,35.06,09-18-2019,19:00:00,974.03,23.60,000,26.7,34.5,10.00,0.0,31.3,1007.03,0.00,77
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,34.71,09-18-2019,19:00:00,988.78,0.00,000,26.5,36.3,8.00,0.0,31.0,1007.02,0.00,77
48331,NAN,น่าน,น่าน,18.77972,100.77778,33.08,09-18-2019,19:00:00,984.81,11.70,000,25.7,34.0,8.00,0.0,28.7,1007.47,2.70,84
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,34.64,09-18-2019,19:00:00,978.00,31.90,000,26.5,34.0,10.00,0.0,30.0,1007.54,0.00,82
