WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,RelativeHumidity,StationPressure,WindSpeed,Rainfall24Hr,VaporPressure,Rainfall,MeanSeaLevelPressure,WindDirection,LandVisibility,DewPoint
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,27.0,09-18-2019,22:00:00,90,979.18,0.0,6.50,31.94,0.00,1010.09,000,10.00,25.1
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,20.5,09-18-2019,22:00:00,89,847.98,3.7,5.70,21.39,0.00,1008.67,130,8.00,18.6
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,27.4,09-18-2019,22:00:00,78,966.58,3.7,0.00,28.61,0.00,1010.08,350,10.00,23.3
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,27.0,09-18-2019,22:00:00,88,964.69,0.0,0.00,31.38,0.00,1010.15,000,12.00,24.8
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,26.0,09-18-2019,22:00:00,92,973.22,0.0,3.80,30.84,0.00,1010.96,000,6.00,24.6
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,26.7,09-18-2019,22:00:00,83,964.95,0.0,0.00,28.92,0.00,1010.00,000,10.00,23.5
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,28.3,09-18-2019,22:00:00,86,984.33,0.0,4.60,33.12,0.00,1010.97,000,8.00,25.8
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,27.0,09-18-2019,22:00:00,86,988.07,0.0,0.00,30.56,0.00,1009.84,000,10.00,24.4
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,26.5,09-18-2019,22:00:00,89,986.33,0.0,0.00,30.97,0.00,1010.50,000,8.00,24.6
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,29.2,09-18-2019,22:00:00,73,975.78,0.0,2.20,29.57,0.00,1010.03,000,10.00,23.9
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,27.3,09-18-2019,22:00:00,93,982.78,0.0,3.50,33.66,2.50,1010.31,000,10.00,26.0
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,28.6,09-18-2019,22:00:00,83,976.67,0.0,23.60,32.30,0.00,1010.06,000,10.00,25.3
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,28.2,09-18-2019,22:00:00,76,991.33,0.0,0.00,29.03,0.00,1009.78,000,8.00,23.5
48331,NAN,น่าน,น่าน,18.77972,100.77778,27.5,09-18-2019,22:00:00,94,987.49,0.0,11.70,34.36,0.01,1010.30,000,10.00,26.4
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,27.5,09-18-2019,22:00:00,88,980.65,0.0,31.90,32.36,0.00,1010.52,000,10.00,25.4
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,27.7,09-18-2019,22:00:00,87,974.19,0.0,18.60,32.20,0.00,1009.61,000,8.00,25.3
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,26.0,09-18-2019,22:00:00,92,980.62,0.0,2.90,30.84,0.00,1010.47,000,10.00,24.6
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,29.5,09-18-2019,22:00:00,81,1002.07,0.0,0.00,33.58,0.00,1009.33,000,10.00,26.0
