WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,MinimumTemperature,VaporPressure,DewPoint,Rainfall,AirTemperature,StationPressure,WindSpeed,LandVisibility,RelativeHumidity,Rainfall24Hr,WindDirection
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,1011.42,09-19-2019,07:00:00,23.8,30.32,24.3,6.80,25.0,980.26,0.0,3.00,96,13.30,000
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,1010.97,09-19-2019,07:00:00,18.0,20.41,17.8,13.10,18.0,848.67,0.0,.10,99,13.50,000
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,1012.05,09-19-2019,07:00:00,24.7,29.36,23.7,1.10,25.2,968.15,0.0,10.00,92,1.10,000
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,1011.14,09-19-2019,07:00:00,22.5,28.63,23.3,0.00,24.5,965.26,0.0,15.00,93,0.00,000
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,1012.41,09-19-2019,07:00:00,24.0,31.10,24.7,0.00,24.7,974.45,0.0,10.00,100,0.01,000
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,1012.26,09-19-2019,07:00:00,22.5,26.83,22.2,8.00,23.0,966.56,0.0,7.00,96,8.40,000
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,1012.63,09-19-2019,07:00:00,23.9,29.05,23.6,18.30,24.3,985.60,0.0,9.00,96,21.60,000
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,1011.62,09-19-2019,07:00:00,22.7,27.57,22.7,0.00,23.0,989.52,0.0,12.00,98,8.90,000
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,1011.40,09-19-2019,07:00:00,23.4,31.14,24.7,0.80,25.3,987.12,0.0,6.00,97,0.80,000
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,1013.29,09-19-2019,07:00:00,23.0,26.25,21.9,81.60,23.4,978.26,0.0,3.00,91,81.60,000
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,1012.69,09-19-2019,07:00:00,23.5,28.53,23.3,46.30,24.0,984.80,0.0,10.00,96,56.20,000
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,1012.72,09-19-2019,07:00:00,23.0,27.57,22.7,15.20,23.0,978.63,3.7,7.00,98,15.80,330
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,1011.29,09-19-2019,07:00:00,24.0,29.25,23.7,0.01,24.7,992.59,0.0,8.00,94,2.30,000
48331,NAN,น่าน,น่าน,18.77972,100.77778,1011.88,09-19-2019,07:00:00,23.2,28.62,23.3,1.10,24.2,988.78,0.0,10.00,95,22.00,000
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,1012.08,09-19-2019,07:00:00,23.0,27.92,22.9,0.20,23.8,981.79,0.0,7.00,95,8.60,000
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,1012.68,09-19-2019,07:00:00,23.0,27.66,22.8,17.00,23.5,976.66,0.0,6.00,96,18.60,000
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,1010.48,09-19-2019,07:00:00,23.8,30.58,24.4,0.00,25.0,980.54,0.0,6.00,97,0.00,000
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,1010.60,09-19-2019,07:00:00,26.3,30.97,24.6,0.00,26.5,1003.26,0.0,9.00,89,0.00,000
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,1011.04,09-19-2019,07:00:00,26.6,31.38,24.8,0.00,27.0,991.08,5.6,5.00,88,0.00,020
48353,LOEI,เลย,เลย,17.45000,101.73333,1010.78,09-19-2019,07:00:00,25.3,30.84,24.6,0.00,26.0,981.96,3.7,4.00,92,0.00,350
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,1011.49,09-19-2019,07:00:00,26.0,30.56,24.4,0.00,27.0,991.24,5.6,8.00,86,0.10,060
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,1010.90,09-19-2019,07:00:00,24.6,28.83,23.4,0.00,25.2,988.98,0.0,10.00,90,0.00,000
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,1010.45,09-19-2019,07:00:00,25.5,28.97,23.5,0.00,26.0,990.84,5.6,12.00,86,0.00,180
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,1011.17,09-19-2019,07:00:00,25.3,29.86,24.0,0.00,26.2,994.32,0.0,10.00,88,0.01,000
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,1011.29,09-19-2019,07:00:00,23.6,29.84,24.0,0.00,25.9,993.76,0.0,12.00,89,0.10,000
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,1010.37,09-19-2019,07:00:00,25.5,29.66,23.9,0.00,25.8,984.43,3.7,8.00,89,0.00,260
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,1010.17,09-19-2019,07:00:00,24.0,30.32,24.3,0.00,25.0,1004.33,3.7,10.00,96,2.60,300
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,1010.41,09-19-2019,07:00:00,24.0,29.41,23.8,0.00,24.5,1004.15,0.0,10.00,96,10.10,000
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,1010.75,09-19-2019,07:00:00,26.3,26.86,22.3,0.00,27.6,994.29,0.0,12.00,73,0.50,000
