WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,VaporPressure,Rainfall,AirTemperature,LandVisibility,WindSpeed,WindDirection,DewPoint,MeanSeaLevelPressure,Rainfall24Hr,StationPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,76,09-19-2019,13:00:00,30.96,0.00,29.2,12.00,7.4,300,24.6,1010.58,9.70,979.88
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,99,09-19-2019,13:00:00,21.46,0.00,18.8,8.00,0.0,000,18.6,1010.53,26.60,848.70
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,51,09-19-2019,13:00:00,26.01,0.00,33.2,10.00,7.4,310,21.7,1009.26,1.10,966.59
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,61,09-19-2019,13:00:00,26.97,0.00,30.7,15.00,0.0,000,22.3,1009.85,3.00,964.95
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,88,09-19-2019,13:00:00,32.36,6.70,27.5,7.00,0.0,000,25.4,1010.88,6.70,973.32
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,61,09-19-2019,13:00:00,29.66,0.00,32.5,10.00,0.0,000,23.9,1009.51,8.40,965.31
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,87,09-19-2019,13:00:00,32.48,2.10,27.7,10.00,3.7,130,25.4,1011.14,23.70,984.45
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,67,09-19-2019,13:00:00,29.53,0.00,30.6,12.00,7.4,360,23.8,1010.10,8.90,988.58
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,65,09-19-2019,13:00:00,29.92,0.00,31.5,10.00,0.0,000,24.0,1009.61,1.80,985.86
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,62,09-19-2019,13:00:00,27.14,0.00,30.5,10.00,3.7,360,22.4,1010.30,85.10,976.18
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,66,09-19-2019,13:00:00,30.37,0.00,31.3,10.00,0.0,000,24.3,1010.35,56.90,983.18
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,73,09-19-2019,13:00:00,29.19,0.00,29.0,12.00,0.0,000,23.6,1010.84,18.90,977.47
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,73,09-19-2019,13:00:00,35.23,0.00,32.2,8.00,1.9,090,26.8,1009.33,2.30,991.13
48331,NAN,น่าน,น่าน,18.77972,100.77778,84,09-19-2019,13:00:00,30.89,6.50,27.6,10.00,0.0,000,24.6,1010.62,28.50,987.81
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,85,09-19-2019,13:00:00,31.95,1.80,28.0,12.00,0.0,000,25.1,1010.61,10.40,980.78
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,72,09-19-2019,13:00:00,30.70,0.00,30.2,8.00,0.0,000,24.5,1010.36,19.00,975.21
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,74,09-19-2019,13:00:00,32.46,0.00,30.5,15.00,0.0,000,25.4,1009.00,0.00,979.63
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,58,09-19-2019,13:00:00,31.04,0.00,34.0,10.00,0.0,000,24.7,1008.95,0.00,1001.80
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,64,09-19-2019,13:00:00,31.11,0.00,32.5,8.00,7.4,070,24.7,1008.69,0.00,989.12
48353,LOEI,เลย,เลย,17.45000,101.73333,68,09-19-2019,13:00:00,29.89,0.20,30.5,14.00,3.7,020,24.0,1009.24,0.20,980.89
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,64,09-19-2019,13:00:00,29.84,0.00,31.6,10.00,7.4,010,24.0,1009.39,0.10,989.49
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,66,09-19-2019,13:00:00,29.48,0.40,31.0,10.00,3.7,080,23.8,1009.03,0.40,987.56
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,63,09-19-2019,13:00:00,28.37,0.01,31.0,15.00,16.7,050,23.2,1009.05,0.01,989.80
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,58,09-19-2019,13:00:00,28.33,0.00,32.4,10.00,3.7,060,23.1,1009.07,0.01,992.59
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,77,09-19-2019,13:00:00,30.07,0.10,28.6,9.00,3.7,090,24.1,1009.88,0.20,992.53
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,67,09-19-2019,13:00:00,29.73,0.00,30.7,12.00,3.7,350,23.9,1008.13,0.00,982.66
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,70,09-19-2019,13:00:00,35.19,0.00,33.0,10.00,0.0,000,26.8,1008.50,2.60,1002.82
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,67,09-19-2019,13:00:00,33.66,0.00,33.0,12.00,0.0,000,26.0,1008.92,10.10,1002.84
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,52,09-19-2019,13:00:00,25.49,0.00,32.5,12.00,0.0,000,21.4,1009.32,0.50,993.14
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,64,09-19-2019,13:00:00,30.04,0.00,31.7,10.00,9.3,030,24.1,1007.24,17.20,985.26
48376,TAK,ตาก,ตาก,16.87833,99.14333,71,09-19-2019,13:00:00,32.81,0.00,31.5,7.00,5.6,240,25.6,1009.99,34.50,995.77
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,74,09-19-2019,13:00:00,29.74,2.00,29.0,6.00,0.0,000,23.9,1009.65,11.20,993.33
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,58,09-19-2019,13:00:00,28.97,0.00,33.0,10.00,5.6,080,23.5,1009.16,25.40,1004.03
