WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,Rainfall,LandVisibility,VaporPressure,Rainfall24Hr,RelativeHumidity,DewPoint,WindSpeed,AirTemperature,StationPressure,MeanSeaLevelPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,000,09-20-2019,10:00:00,0.00,12.00,31.31,0.00,82,24.8,0.0,28.1,980.07,1010.89
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,100,09-20-2019,10:00:00,0.00,8.00,22.15,0.00,99,19.1,11.1,19.3,849.27,1010.91
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,000,09-20-2019,10:00:00,0.00,10.00,28.65,0.40,76,23.3,0.0,28.0,968.02,1011.49
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,000,09-20-2019,10:00:00,0.00,12.00,30.43,0.00,88,24.3,0.0,26.5,966.29,1011.90
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,000,09-20-2019,10:00:00,0.00,8.00,30.84,17.00,92,24.6,0.0,26.0,975.48,1013.31
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,000,09-20-2019,10:00:00,1.10,8.00,31.79,5.40,92,25.1,0.0,26.5,966.66,1011.83
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,000,09-20-2019,10:00:00,0.00,9.00,30.07,2.30,77,24.1,0.0,28.6,985.45,1012.09
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,200,09-20-2019,10:00:00,0.00,10.00,30.85,1.30,77,24.6,7.4,29.0,989.11,1010.76
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,000,09-20-2019,10:00:00,0.00,8.00,30.29,0.00,76,24.3,0.0,29.0,986.55,1010.52
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,000,09-20-2019,10:00:00,0.00,9.00,29.65,4.00,74,23.9,0.0,29.1,976.99,1011.30
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,310,09-20-2019,10:00:00,0.00,10.00,31.54,19.20,81,24.9,3.7,28.5,983.99,1011.44
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,000,09-20-2019,10:00:00,0.00,10.00,30.56,6.80,81,24.4,0.0,28.0,977.73,1011.23
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,340,09-20-2019,10:00:00,0.00,6.00,32.50,4.10,76,25.4,1.9,30.1,992.11,1010.46
48331,NAN,น่าน,น่าน,18.77972,100.77778,000,09-20-2019,10:00:00,0.00,10.00,29.41,7.30,72,23.8,0.0,29.4,988.50,1011.19
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,000,09-20-2019,10:00:00,0.00,12.00,29.74,1.80,79,23.9,0.0,28.0,981.64,1011.50
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,000,09-20-2019,10:00:00,0.00,8.00,29.57,0.20,77,23.9,0.0,28.2,975.94,1011.35
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,140,09-20-2019,10:00:00,0.00,12.00,30.98,22.00,80,24.6,3.7,28.5,981.08,1010.69
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,000,09-20-2019,10:00:00,0.00,8.00,30.72,0.01,75,24.5,0.0,29.5,1003.13,1010.40
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,090,09-20-2019,10:00:00,0.00,12.00,31.77,3.20,68,25.0,11.1,31.7,991.17,1010.83
48353,LOEI,เลย,เลย,17.45000,101.73333,060,09-20-2019,10:00:00,0.00,13.00,28.91,21.00,72,23.5,7.4,29.0,982.70,1011.25
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,040,09-20-2019,10:00:00,0.00,15.00,28.17,11.00,63,23.1,7.4,30.9,991.55,1011.53
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,080,09-20-2019,10:00:00,0.00,15.00,29.89,9.70,68,24.0,11.1,30.5,990.02,1011.57
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,090,09-20-2019,10:00:00,0.00,15.00,27.55,6.60,65,22.7,5.6,30.0,991.12,1010.47
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,030,09-20-2019,10:00:00,0.00,11.00,26.86,18.30,58,22.3,7.4,31.5,994.27,1010.82
