WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,Rainfall,MeanSeaLevelPressure,WindSpeed,AirTemperature,VaporPressure,WindDirection,Rainfall24Hr,RelativeHumidity,DewPoint,LandVisibility
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,974.70,09-20-2019,16:00:00,0.00,1005.00,7.4,31.5,29.35,340,1.40,64,23.7,15.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,845.65,09-20-2019,16:00:00,2.20,1006.60,3.7,19.3,22.15,120,2.20,99,19.1,8.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,962.77,09-20-2019,16:00:00,0.00,1005.50,0.0,31.5,26.32,000,0.40,57,21.9,10.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,961.02,09-20-2019,16:00:00,0.00,1005.70,0.0,31.0,26.73,000,0.00,60,22.2,15.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,969.02,09-20-2019,16:00:00,0.00,1005.95,0.0,31.2,29.88,000,4.40,66,24.0,12.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,962.00,09-20-2019,16:00:00,0.10,1006.75,1.9,27.8,28.55,160,1.50,76,23.3,13.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,979.78,09-20-2019,16:00:00,0.00,1005.79,5.6,34.0,29.00,340,0.20,55,23.5,10.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,984.46,09-20-2019,16:00:00,0.00,1005.87,5.6,30.8,29.65,090,6.10,67,23.9,13.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,982.38,09-20-2019,16:00:00,2.20,1006.41,0.0,27.0,30.83,000,2.20,87,24.5,8.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,971.56,09-20-2019,16:00:00,0.00,1005.26,5.6,32.8,26.89,030,4.00,54,22.3,10.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,979.34,09-20-2019,16:00:00,12.60,1006.87,0.0,26.2,31.22,000,12.70,92,24.8,10.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,973.21,09-20-2019,16:00:00,27.90,1006.77,9.3,26.1,30.22,040,34.70,89,24.2,10.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,986.53,09-20-2019,16:00:00,0.20,1004.53,3.7,34.2,31.77,050,0.20,59,25.1,15.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,983.05,09-20-2019,16:00:00,1.40,1005.31,0.0,33.5,30.28,000,2.20,59,24.2,10.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,976.15,09-20-2019,16:00:00,0.00,1005.32,0.0,33.2,28.24,000,0.00,56,23.1,12.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,971.36,09-20-2019,16:00:00,1.00,1006.71,0.0,27.4,31.05,000,1.20,85,24.7,7.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,975.54,09-20-2019,16:00:00,0.00,1004.62,5.6,32.2,31.35,070,22.00,65,24.8,14.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,997.43,09-20-2019,16:00:00,0.00,1004.54,0.0,34.5,28.02,000,0.00,51,23.0,9.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,985.83,09-20-2019,16:00:00,0.00,1005.25,11.1,33.7,31.29,100,0.00,60,24.8,13.00
48353,LOEI,เลย,เลย,17.45000,101.73333,977.16,09-20-2019,16:00:00,0.00,1005.18,7.4,32.9,26.53,070,20.80,53,22.1,15.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,985.75,09-20-2019,16:00:00,0.00,1005.49,5.6,33.0,27.84,060,5.10,55,22.9,15.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,985.11,09-20-2019,16:00:00,0.00,1006.44,7.4,32.2,31.65,030,0.00,66,25.0,12.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,986.55,09-20-2019,16:00:00,5.40,1005.97,11.1,27.5,31.25,010,5.40,85,24.8,8.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,989.85,09-20-2019,16:00:00,1.30,1006.51,0.0,28.3,29.22,000,4.70,76,23.7,12.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,989.26,09-20-2019,16:00:00,0.10,1006.46,0.0,30.4,29.42,000,0.10,68,23.8,12.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,978.85,09-20-2019,16:00:00,0.00,1004.20,0.0,31.0,29.48,000,14.00,66,23.8,15.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,1000.21,09-20-2019,16:00:00,0.00,1005.88,7.4,33.0,34.27,300,0.01,68,26.3,10.00
