WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,VaporPressure,WindDirection,DewPoint,AirTemperature,StationPressure,Rainfall,RelativeHumidity,WindSpeed,LandVisibility,MeanSeaLevelPressure,Rainfall24Hr
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,09-21-2019,01:00:00,29.25,000,23.7,24.7,978.87,0.00,94,0.0,8.00,1010.02,5.80
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,09-21-2019,01:00:00,20.80,120,18.1,18.3,847.48,0.00,99,9.3,8.00,1009.37,2.20
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,09-21-2019,01:00:00,28.37,000,23.2,24.5,965.93,0.00,92,0.0,10.00,1009.83,0.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,09-21-2019,01:00:00,28.62,000,23.3,24.2,964.05,0.00,95,0.0,10.00,1009.92,0.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,09-21-2019,01:00:00,29.95,000,24.1,24.8,972.66,0.00,96,0.0,5.00,1010.54,4.40
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,09-21-2019,01:00:00,29.66,000,23.9,24.2,964.80,0.00,98,0.0,7.00,1010.23,1.50
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,09-21-2019,01:00:00,30.81,000,24.5,25.7,983.48,0.00,93,0.0,7.00,1010.32,0.20
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,09-21-2019,01:00:00,28.97,000,23.5,24.4,988.10,0.00,95,0.0,13.00,1010.06,5.80
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,09-21-2019,01:00:00,30.32,000,24.3,25.0,985.66,0.00,96,0.0,6.00,1009.93,2.20
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,09-21-2019,01:00:00,29.54,000,23.8,25.3,975.88,0.00,92,0.0,10.00,1010.59,0.20
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,09-21-2019,01:00:00,29.04,000,23.6,24.0,982.38,0.00,97,0.0,10.00,1010.20,12.70
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,09-21-2019,01:00:00,29.41,000,23.8,24.5,976.32,0.00,96,0.0,10.00,1010.17,28.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,09-21-2019,01:00:00,31.11,200,24.7,26.0,990.57,0.00,93,3.7,6.00,1009.14,0.20
48331,NAN,น่าน,น่าน,18.77972,100.77778,09-21-2019,01:00:00,31.41,000,24.9,26.3,986.67,0.00,92,0.0,10.00,1009.56,2.20
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,09-21-2019,01:00:00,29.49,000,23.8,24.4,979.86,0.40,97,0.0,7.00,1010.02,0.40
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,09-21-2019,01:00:00,27.75,000,22.8,23.4,974.44,0.00,96,0.0,7.00,1010.38,1.20
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,09-21-2019,01:00:00,28.69,000,23.4,23.8,979.57,0.00,97,0.0,4.00,1009.61,17.90
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,09-21-2019,01:00:00,30.26,000,24.2,26.7,1001.77,0.00,86,0.0,8.00,1009.10,0.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,09-21-2019,01:00:00,34.65,000,26.5,28.2,989.48,0.00,91,0.0,8.00,1009.33,0.00
48353,LOEI,เลย,เลย,17.45000,101.73333,09-21-2019,01:00:00,29.00,000,23.5,25.0,980.60,0.00,92,0.0,8.00,1009.48,18.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,09-21-2019,01:00:00,28.44,220,23.2,26.0,989.27,0.00,85,3.7,10.00,1009.55,0.30
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,09-21-2019,01:00:00,29.52,000,23.8,25.0,988.65,0.00,93,0.0,10.00,1010.58,5.20
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,09-21-2019,01:00:00,31.17,000,24.7,25.6,989.62,0.00,95,0.0,10.00,1009.23,5.50
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,09-21-2019,01:00:00,28.29,000,23.1,26.5,992.99,0.00,82,0.0,12.00,1009.80,1.30
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,09-21-2019,01:00:00,28.77,000,23.4,25.6,992.59,0.00,88,0.0,10.00,1010.12,0.10
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,09-21-2019,01:00:00,30.67,000,24.5,26.2,983.17,0.00,90,0.0,10.00,1009.05,5.40
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,09-21-2019,01:00:00,29.91,000,24.0,25.5,993.01,0.00,92,0.0,8.00,1009.57,6.30
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,09-21-2019,01:00:00,30.32,000,24.3,25.0,985.35,0.00,96,0.0,10.00,1007.83,9.50
48376,TAK,ตาก,ตาก,16.87833,99.14333,09-21-2019,01:00:00,31.17,000,24.7,25.6,995.65,0.40,95,0.0,6.00,1010.14,29.30
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,09-21-2019,01:00:00,29.41,000,23.8,24.5,993.16,3.00,96,0.0,7.00,1009.72,35.50
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,09-21-2019,01:00:00,32.12,000,25.2,26.1,1004.07,0.00,95,0.0,10.00,1009.33,13.90
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,09-21-2019,01:00:00,30.05,000,24.1,25.0,994.68,0.20,95,0.0,10.00,1007.97,22.60
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,09-21-2019,01:00:00,31.93,000,25.1,26.0,1000.19,0.40,95,0.0,10.00,1009.57,24.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,09-21-2019,01:00:00,30.32,000,24.3,25.0,987.90,0.90,96,0.0,10.00,1009.79,1.60
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,09-21-2019,01:00:00,30.20,000,24.2,24.5,992.32,2.20,98,0.0,8.00,1010.02,8.40
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,09-21-2019,01:00:00,29.91,000,24.0,25.5,993.03,0.00,92,0.0,10.00,1008.97,7.20
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,09-21-2019,01:00:00,29.49,190,23.8,24.4,989.78,4.40,97,1.9,5.00,1008.86,28.90
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,09-21-2019,01:00:00,25.60,000,21.5,23.0,956.56,1.10,91,0.0,5.00,1008.29,16.20
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,09-21-2019,01:00:00,33.19,000,25.8,26.5,1004.90,0.40,96,0.0,5.00,1008.87,34.10
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,09-21-2019,01:00:00,24.22,040,20.6,21.2,914.58,0.00,96,7.4,5.00,1010.05,7.60
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,09-21-2019,01:00:00,28.10,000,23.0,23.9,993.56,2.50,95,0.0,5.00,1009.75,11.70
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,09-21-2019,01:00:00,31.74,290,25.0,25.9,1005.37,0.10,95,1.9,9.00,1009.43,0.40
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,09-21-2019,01:00:00,31.63,000,25.0,25.7,999.12,0.00,96,0.0,5.00,1009.86,16.70
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,09-21-2019,01:00:00,31.38,180,24.8,26.0,1007.73,0.01,93,5.6,6.00,1009.67,1.20
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,09-21-2019,01:00:00,28.44,020,23.2,24.1,981.93,15.10,95,5.6,5.00,1002.90,97.90
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,09-21-2019,01:00:00,29.41,000,23.8,24.5,991.12,19.30,96,0.0,8.00,1008.96,62.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,09-21-2019,01:00:00,29.75,000,24.0,24.4,992.59,12.10,97,0.0,6.00,1008.92,52.20
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,09-21-2019,01:00:00,28.89,000,23.5,24.5,994.55,34.50,94,0.0,4.00,1008.73,46.70
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,09-21-2019,01:00:00,29.57,000,23.9,24.3,994.56,48.80,97,0.0,3.00,1009.55,70.60
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,09-21-2019,01:00:00,32.07,020,25.2,25.5,994.38,9.60,98,3.7,6.00,1009.15,14.60
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,09-21-2019,01:00:00,30.59,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",24.4,26.3,1005.77,0.00,89,0.0,10.00,1008.80,0.20
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,09-21-2019,01:00:00,30.15,000,24.2,25.2,1000.75,1.30,94,0.0,7.00,1008.76,10.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,09-21-2019,01:00:00,32.08,230,25.2,27.5,1007.70,0.00,87,5.6,6.00,1008.81,3.20
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,09-21-2019,01:00:00,29.00,000,23.5,25.0,993.93,8.20,92,0.0,8.00,1008.74,14.70
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,09-21-2019,01:00:00,22.23,000,19.2,19.2,874.82,0.00,100,0.0,.10,1010.39,18.20
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,09-21-2019,01:00:00,30.19,000,24.2,25.8,1003.15,0.00,91,0.0,10.00,1009.07,1.80
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,09-21-2019,01:00:00,32.20,000,25.3,26.0,1008.26,2.30,96,0.0,6.00,1009.06,18.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,09-21-2019,01:00:00,33.50,120,25.9,27.5,1008.10,1.10,91,9.3,7.00,1008.55,2.40
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,09-21-2019,01:00:00,29.49,000,23.8,24.4,997.96,11.50,97,0.0,3.00,1009.39,49.20
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,09-21-2019,01:00:00,32.76,000,25.6,26.0,1008.25,6.90,98,0.0,7.00,1009.27,14.20
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,09-21-2019,01:00:00,32.04,000,25.2,26.2,1007.38,0.80,94,0.0,7.00,1009.21,16.60
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,09-21-2019,01:00:00,30.56,000,24.4,24.7,1008.02,4.90,98,0.0,6.00,1008.80,50.60
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,09-21-2019,01:00:00,29.72,090,23.9,25.4,1008.33,5.80,92,13.0,9.00,1009.04,5.80
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,09-21-2019,01:00:00,31.66,000,25.0,27.0,1008.12,0.00,89,0.0,7.00,1008.82,21.50
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,09-21-2019,01:00:00,30.50,000,24.4,25.1,987.68,0.00,96,0.0,8.00,1009.01,17.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,09-21-2019,01:00:00,30.87,000,24.6,25.3,992.18,0.00,96,0.0,6.00,1009.03,7.90
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,09-21-2019,01:00:00,29.91,000,24.0,25.5,986.95,0.00,92,0.0,10.00,1008.95,1.50
