WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,WindDirection,Rainfall24Hr,DewPoint,AirTemperature,RelativeHumidity,Rainfall,VaporPressure,WindSpeed,LandVisibility,MeanSeaLevelPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,977.85,09-21-2019,04:00:00,000,5.80,23.1,24.3,93,0.00,28.28,0.0,8.00,1009.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,845.56,09-21-2019,04:00:00,120,2.20,17.6,17.9,98,0.00,20.07,11.1,8.00,1007.32
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,965.12,09-21-2019,04:00:00,000,0.00,23.6,24.3,96,0.00,29.05,0.0,10.00,1009.02
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,963.32,09-21-2019,04:00:00,000,0.00,23.3,24.0,96,0.00,28.53,0.0,10.00,1009.18
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,971.50,09-21-2019,04:00:00,000,0.00,24.3,24.5,99,0.00,30.46,0.0,5.00,1009.37
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,964.20,09-21-2019,04:00:00,000,1.50,23.7,24.0,98,0.00,29.30,0.0,6.00,1009.63
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,982.70,09-21-2019,04:00:00,000,0.00,23.8,25.0,93,0.00,29.52,0.0,6.00,1009.59
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,986.97,09-21-2019,04:00:00,000,5.80,23.3,24.0,96,0.00,28.53,0.0,12.00,1008.94
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,984.96,09-21-2019,04:00:00,000,2.20,24.3,25.0,96,0.00,30.32,0.0,6.00,1009.22
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,974.42,09-21-2019,04:00:00,000,0.20,23.5,25.0,92,0.00,29.00,0.0,10.00,1009.12
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,982.39,09-21-2019,04:00:00,000,12.70,23.6,24.0,97,0.00,29.04,0.0,5.00,1010.21
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,975.46,09-21-2019,04:00:00,000,28.00,23.9,24.3,97,0.00,29.57,0.0,10.00,1009.30
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,989.79,09-21-2019,04:00:00,000,0.20,23.9,25.4,92,0.00,29.72,0.0,5.00,1008.39
48331,NAN,น่าน,น่าน,18.77972,100.77778,986.07,09-21-2019,04:00:00,000,1.40,24.3,25.5,93,0.00,30.44,0.0,10.00,1009.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,979.10,09-21-2019,04:00:00,000,0.60,23.6,24.2,97,0.20,29.13,0.0,7.00,1009.25
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,973.38,09-21-2019,04:00:00,000,1.40,22.6,23.2,96,0.00,27.41,0.0,7.00,1009.31
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,979.03,09-21-2019,04:00:00,000,19.70,22.6,22.9,98,1.80,27.40,0.0,4.00,1009.14
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,1000.59,09-21-2019,04:00:00,000,0.00,24.6,25.9,93,0.00,30.92,0.0,8.00,1007.93
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,988.84,09-21-2019,04:00:00,260,0.00,25.3,26.7,92,0.00,32.18,3.7,6.00,1008.78
48353,LOEI,เลย,เลย,17.45000,101.73333,980.25,09-21-2019,04:00:00,310,23.50,22.8,23.5,96,5.50,27.66,3.7,6.00,1009.26
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,988.65,09-21-2019,04:00:00,000,0.00,23.4,25.2,90,0.00,28.83,0.0,7.00,1008.97
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,987.45,09-21-2019,04:00:00,000,5.20,23.5,25.0,92,0.00,29.00,0.0,10.00,1009.36
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,988.91,09-21-2019,04:00:00,000,5.50,24.3,25.0,96,0.00,30.32,0.0,10.00,1008.54
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,992.37,09-21-2019,04:00:00,000,1.30,23.9,25.4,92,0.00,29.72,0.0,10.00,1009.23
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,991.79,09-21-2019,04:00:00,000,0.10,23.3,24.9,91,0.00,28.56,0.0,10.00,1009.35
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,981.96,09-21-2019,04:00:00,000,0.20,24.3,25.5,93,0.00,30.44,0.0,10.00,1007.87
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,1002.26,09-21-2019,04:00:00,340,18.60,25.5,25.5,100,0.00,32.62,3.7,10.00,1008.08
