WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MinimumTemperature,Date,Time,LandVisibility,MeanSeaLevelPressure,RelativeHumidity,Rainfall24Hr,Rainfall,StationPressure,VaporPressure,WindDirection,DewPoint,AirTemperature,WindSpeed
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,23.4,09-21-2019,07:00:00,8.00,1009.95,94,5.80,0.00,978.79,28.89,000,23.5,24.5,0.0
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,17.9,09-21-2019,07:00:00,8.00,1008.41,97,2.20,0.00,846.67,20.37,130,17.8,18.3,7.4
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,23.7,09-21-2019,07:00:00,10.00,1010.12,93,0.00,0.00,966.13,27.76,000,22.8,24.0,0.0
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,22.8,09-21-2019,07:00:00,8.00,1009.98,96,0.00,0.00,964.02,27.83,000,22.9,23.6,0.0
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,22.2,09-21-2019,07:00:00,8.00,1011.27,99,0.00,0.00,973.09,27.15,000,22.4,22.6,0.0
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,23.0,09-21-2019,07:00:00,6.00,1010.76,96,3.50,2.30,965.20,27.92,070,22.9,23.5,3.7
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,24.3,09-21-2019,07:00:00,4.00,1010.69,95,0.00,0.00,983.73,29.15,000,23.6,24.5,0.0
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,23.4,09-21-2019,07:00:00,10.00,1009.63,97,6.40,0.60,987.64,28.43,000,23.2,23.8,0.0
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,22.7,09-21-2019,07:00:00,5.00,1009.73,92,2.20,0.00,985.46,29.00,000,23.5,25.0,0.0
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,24.5,09-21-2019,07:00:00,10.00,1010.19,90,0.20,0.00,975.43,28.13,340,23.0,24.8,3.7
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,23.2,09-21-2019,07:00:00,5.00,1011.85,99,12.70,0.00,983.97,29.38,000,23.7,23.9,0.0
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,24.3,09-21-2019,07:00:00,10.00,1010.08,97,28.00,0.00,976.24,29.67,000,23.9,24.5,0.0
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,25.2,09-21-2019,07:00:00,5.00,1009.15,93,0.20,0.00,990.57,31.19,000,24.7,25.9,0.0
48331,NAN,น่าน,น่าน,18.77972,100.77778,24.1,09-21-2019,07:00:00,10.00,1010.10,92,1.40,0.00,987.07,28.29,000,23.1,24.6,0.0
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,23.5,09-21-2019,07:00:00,5.00,1010.54,96,0.60,0.00,980.32,28.53,000,23.3,24.0,0.0
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,22.8,09-21-2019,07:00:00,3.00,1010.22,98,1.40,0.00,974.31,28.60,000,23.3,23.6,0.0
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,22.9,09-21-2019,07:00:00,1.50,1010.12,99,2.00,0.00,979.99,27.82,000,22.8,23.0,0.0
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,25.5,09-21-2019,07:00:00,8.00,1009.59,94,0.00,0.00,1002.24,30.90,000,24.6,25.6,0.0
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,26.0,09-21-2019,07:00:00,7.00,1009.69,96,0.00,0.00,989.72,33.19,260,25.8,26.5,3.7
48353,LOEI,เลย,เลย,17.45000,101.73333,23.0,09-21-2019,07:00:00,7.00,1010.94,94,5.70,0.20,981.86,26.83,190,22.2,23.3,3.7
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,24.2,09-21-2019,07:00:00,8.00,1009.72,92,0.00,0.00,989.39,29.54,260,23.8,25.3,5.6
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,23.6,09-21-2019,07:00:00,6.00,1010.28,96,5.20,0.00,988.29,28.53,000,23.3,24.0,0.0
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,24.1,09-21-2019,07:00:00,8.00,1009.83,94,5.50,0.00,990.19,30.15,000,24.2,25.2,0.0
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,24.3,09-21-2019,07:00:00,10.00,1010.41,90,1.30,0.00,993.54,29.74,000,23.9,25.7,0.0
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,22.5,09-21-2019,07:00:00,8.00,1010.55,91,0.10,0.00,993.01,29.82,000,24.0,25.6,0.0
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,24.3,09-21-2019,07:00:00,9.00,1008.87,94,0.00,0.00,982.87,29.25,000,23.7,24.7,0.0
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,24.0,09-21-2019,07:00:00,10.00,1009.55,98,18.60,0.00,1003.73,32.65,000,25.5,25.8,0.0
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,24.5,09-21-2019,07:00:00,10.00,1009.40,98,14.00,0.00,1003.16,31.49,000,24.9,25.2,0.0
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,24.5,09-21-2019,07:00:00,10.00,1009.62,93,5.80,0.00,993.05,30.07,000,24.1,25.3,0.0
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,23.6,09-21-2019,07:00:00,10.00,1007.76,97,8.30,0.00,985.26,30.22,000,24.2,24.8,0.0
48376,TAK,ตาก,ตาก,16.87833,99.14333,24.3,09-21-2019,07:00:00,5.00,1010.13,94,8.20,0.00,995.60,29.79,000,24.0,25.0,0.0
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,23.4,09-21-2019,07:00:00,6.00,1009.88,97,35.50,0.00,993.31,29.49,000,23.8,24.4,0.0
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,24.0,09-21-2019,07:00:00,10.00,1009.44,96,8.00,0.00,1004.17,31.63,330,25.0,25.7,3.7
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,24.5,09-21-2019,07:00:00,10.00,1007.97,96,20.80,0.00,994.68,30.32,000,24.3,25.0,0.0
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,25.2,09-21-2019,07:00:00,10.00,1009.34,97,21.50,0.20,999.96,32.56,250,25.5,25.9,1.9
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,24.0,09-21-2019,07:00:00,7.00,1009.93,97,2.50,0.00,987.99,29.57,330,23.9,24.3,1.9
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,23.9,09-21-2019,07:00:00,10.00,1010.04,97,9.50,0.00,992.37,30.85,000,24.6,25.0,0.0
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,25.0,09-21-2019,07:00:00,10.00,1009.07,84,7.20,0.00,993.16,28.18,080,23.1,26.0,3.7
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,23.7,09-21-2019,07:00:00,7.00,1009.05,97,30.70,0.00,989.98,29.85,000,24.0,24.6,0.0
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,22.2,09-21-2019,07:00:00,7.00,1010.53,93,13.60,0.00,958.68,26.09,000,21.8,23.0,0.0
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,25.0,09-21-2019,07:00:00,5.00,1009.12,95,4.00,0.00,1005.15,32.91,320,25.6,26.5,3.7
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,20.5,09-21-2019,07:00:00,.60,1009.64,98,3.60,0.00,914.21,24.68,090,20.9,21.2,14.8
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,23.5,09-21-2019,07:00:00,8.00,1009.71,97,17.80,0.01,993.57,30.40,000,24.3,24.9,0.0
