WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,RelativeHumidity,DewPoint,StationPressure,AirTemperature,VaporPressure,Rainfall24Hr,WindDirection,LandVisibility,WindSpeed,MeanSeaLevelPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.00,09-21-2019,10:00:00,82,24.0,979.56,27.3,29.77,5.80,000,10.00,0.0,1010.45
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,0.00,09-21-2019,10:00:00,99,18.6,848.25,18.8,21.46,2.20,120,.10,7.4,1009.99
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.00,09-21-2019,10:00:00,74,23.4,967.09,28.5,28.78,0.00,030,10.00,5.6,1010.45
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.00,09-21-2019,10:00:00,77,23.7,965.14,28.1,29.38,0.00,000,12.00,0.0,1010.45
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.00,09-21-2019,10:00:00,78,24.2,974.12,28.5,30.15,0.00,000,10.00,0.0,1011.58
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,4.60,09-21-2019,10:00:00,77,23.7,965.94,28.1,29.38,7.00,270,3.00,5.6,1010.83
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.00,09-21-2019,10:00:00,73,24.4,984.42,29.7,30.55,0.00,000,8.00,0.0,1010.93
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,13.90,09-21-2019,10:00:00,92,23.6,988.86,25.1,29.18,20.30,000,9.00,0.0,1010.79
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.00,09-21-2019,10:00:00,79,23.7,985.96,27.8,29.36,2.20,000,8.00,0.0,1010.01
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.00,09-21-2019,10:00:00,81,23.4,976.32,27.1,28.86,0.20,330,10.00,3.7,1010.84
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.00,09-21-2019,10:00:00,88,24.3,983.21,26.5,30.43,12.70,000,7.00,0.0,1010.82
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.00,09-21-2019,10:00:00,91,24.5,977.98,26.1,30.76,28.00,000,10.00,0.0,1011.70
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,8.90,09-21-2019,10:00:00,79,25.7,991.32,29.8,33.04,9.10,000,5.00,0.0,1009.67
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.00,09-21-2019,10:00:00,75,24.2,987.72,29.1,30.21,1.40,230,10.00,3.7,1010.41
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.00,09-21-2019,10:00:00,72,23.3,981.94,28.8,28.54,0.60,000,12.00,0.0,1011.72
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.00,09-21-2019,10:00:00,90,24.3,975.12,26.0,30.30,1.40,000,8.00,0.0,1010.77
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.00,09-21-2019,10:00:00,81,24.9,980.58,28.5,31.54,2.00,000,12.00,0.0,1010.17
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.00,09-21-2019,10:00:00,71,24.8,1002.86,30.6,31.23,0.00,000,9.00,0.0,1010.10
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.00,09-21-2019,10:00:00,66,24.4,990.57,31.5,30.49,0.00,100,8.00,11.1,1010.23
48353,LOEI,เลย,เลย,17.45000,101.73333,0.00,09-21-2019,10:00:00,73,23.4,982.14,28.6,28.70,5.70,040,8.00,3.7,1010.71
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,0.00,09-21-2019,10:00:00,65,23.4,990.37,30.6,28.70,0.00,070,10.00,7.4,1010.35
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.00,09-21-2019,10:00:00,65,22.7,988.81,30.0,27.55,5.20,090,7.00,5.6,1010.38
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,0.00,09-21-2019,10:00:00,67,23.6,990.78,30.5,29.06,5.50,340,8.00,5.6,1010.09
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.00,09-21-2019,10:00:00,56,21.2,993.87,31.0,25.12,1.30,000,10.00,0.0,1010.45
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.00,09-21-2019,10:00:00,62,21.9,993.29,30.0,26.21,0.10,090,8.00,3.7,1010.58
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.00,09-21-2019,10:00:00,71,23.7,983.62,29.6,29.24,0.00,060,{'@attributes': {'Unit': 'km'}},9.3,1009.21
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,13.40,09-21-2019,10:00:00,97,25.4,1004.50,25.8,32.37,32.00,240,10.00,3.7,1010.33
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,6.60,09-21-2019,10:00:00,78,25.2,1003.88,29.5,32.13,20.40,250,12.00,7.4,1010.04
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.00,09-21-2019,10:00:00,64,23.3,994.00,31.0,28.65,5.80,000,12.00,0.0,1010.28
