WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,RelativeHumidity,LandVisibility,VaporPressure,WindSpeed,WindDirection,StationPressure,Rainfall,AirTemperature,Rainfall24Hr,MeanSeaLevelPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,24.7,09-21-2019,16:00:00,70,15.00,31.06,0.0,000,974.63,0.00,30.8,4.40,1005.01
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,19.2,09-21-2019,16:00:00,92,8.00,22.28,14.8,130,845.08,0.00,20.5,0.00,1005.22
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,21.6,09-21-2019,16:00:00,54,10.00,25.82,5.6,120,962.96,0.00,32.1,0.00,1005.62
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,23.0,09-21-2019,16:00:00,58,15.00,28.13,3.7,120,961.26,0.00,32.3,0.00,1005.75
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,22.0,09-21-2019,16:00:00,53,12.00,26.45,0.0,000,968.49,0.00,33.0,0.00,1005.17
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,23.1,09-21-2019,16:00:00,76,8.00,28.18,5.6,170,961.41,0.01,27.6,6.90,1006.16
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,24.6,09-21-2019,16:00:00,57,10.00,30.93,0.0,000,979.42,0.00,34.5,0.00,1005.38
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,25.1,09-21-2019,16:00:00,93,8.00,31.96,0.0,000,985.35,13.80,26.3,30.90,1007.11
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,24.0,09-21-2019,16:00:00,76,10.00,29.90,0.0,000,982.38,0.00,28.8,0.00,1006.26
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,23.4,09-21-2019,16:00:00,65,10.00,28.81,3.7,220,971.95,9.40,30.8,10.60,1005.89
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,24.4,09-21-2019,16:00:00,80,8.00,30.48,0.0,000,979.24,1.40,28.1,1.40,1006.59
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,25.3,09-21-2019,16:00:00,85,10.00,32.23,0.0,000,973.31,1.50,28.0,14.90,1006.65
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,26.0,09-21-2019,16:00:00,67,10.00,33.66,5.6,330,987.03,0.50,33.0,15.40,1005.11
48331,NAN,น่าน,น่าน,18.77972,100.77778,24.4,09-21-2019,16:00:00,76,10.00,30.49,0.0,000,983.32,1.30,29.1,1.30,1005.91
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,23.3,09-21-2019,16:00:00,60,12.00,28.66,0.0,000,975.93,0.00,32.0,0.60,1005.21
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,25.6,09-21-2019,16:00:00,92,8.00,32.77,0.0,000,971.79,0.00,27.0,0.40,1007.20
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,24.8,09-21-2019,16:00:00,72,15.00,31.31,5.6,050,976.54,0.00,30.5,2.00,1005.82
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,25.7,09-21-2019,16:00:00,67,9.00,33.09,0.0,000,998.43,0.00,32.6,0.00,1005.59
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,22.8,09-21-2019,16:00:00,54,8.00,27.67,3.7,080,986.54,0.00,33.2,0.00,1006.00
