WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,RelativeHumidity,Rainfall24Hr,MeanSeaLevelPressure,LandVisibility,Rainfall,DewPoint,StationPressure,WindDirection,VaporPressure,WindSpeed,MaximumTemperature
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,26.8,09-21-2019,19:00:00,90,5.20,1008.25,10.00,0.80,24.9,977.38,030,31.55,3.7,32.5
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,19.6,09-21-2019,19:00:00,94,0.00,1007.22,8.00,0.00,18.6,846.32,120,21.46,11.1,21.0
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,29.1,09-21-2019,19:00:00,62,0.00,1007.22,10.00,0.00,21.0,964.08,030,24.85,7.4,32.8
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,28.5,09-21-2019,19:00:00,72,0.00,1007.56,12.00,0.00,22.9,962.44,030,27.97,3.7,32.6
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,29.5,09-21-2019,19:00:00,85,0.00,1008.56,7.00,0.00,26.7,971.33,000,35.05,0.0,34.0
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,26.4,09-21-2019,19:00:00,89,6.90,1008.20,8.00,0.00,24.4,963.19,110,30.51,1.9,31.8
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,28.9,09-21-2019,19:00:00,75,0.01,1008.33,8.00,0.01,24.0,981.82,090,29.82,3.7,34.9
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,26.3,09-21-2019,19:00:00,94,30.90,1008.01,10.00,0.00,25.3,986.23,000,32.23,0.0,31.4
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,26.0,09-21-2019,19:00:00,84,0.00,1008.25,8.00,0.00,23.1,984.10,000,28.18,0.0,33.0
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,27.6,09-21-2019,19:00:00,80,10.40,1007.94,10.00,0.00,23.8,973.58,190,29.52,3.7,31.8
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,23.5,09-21-2019,19:00:00,96,25.80,1008.89,10.00,24.40,22.8,981.06,000,27.66,0.0,33.0
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,25.5,09-21-2019,19:00:00,89,14.80,1008.14,10.00,0.00,23.6,974.47,000,29.11,0.0,29.6
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,27.3,09-21-2019,19:00:00,86,15.40,1007.49,10.00,0.00,24.7,989.03,000,31.14,0.0,33.6
