WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,MeanSeaLevelPressure,RelativeHumidity,Rainfall,WindSpeed,Rainfall24Hr,WindDirection,LandVisibility,VaporPressure,DewPoint,AirTemperature
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,980.69,09-21-2019,22:00:00,1011.83,92,1.30,0.0,2.10,000,8.00,29.36,23.7,25.2
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,848.63,09-21-2019,22:00:00,1010.33,88,0.00,13.0,0.00,130,8.00,19.38,17.0,19.0
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,967.81,09-21-2019,22:00:00,1011.50,76,0.00,0.0,0.00,000,10.00,26.22,21.9,26.5
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,965.76,09-21-2019,22:00:00,1011.43,84,0.00,0.0,0.00,000,10.00,28.18,23.1,26.0
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,974.48,09-21-2019,22:00:00,1012.40,88,0.00,0.0,0.00,000,6.00,27.70,22.8,25.0
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,966.56,09-21-2019,22:00:00,1011.87,88,0.00,0.0,6.90,000,7.00,28.85,23.4,25.5
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,985.21,09-21-2019,22:00:00,1012.08,88,0.50,0.0,0.50,000,7.00,29.50,23.8,26.0
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,989.42,09-21-2019,22:00:00,1011.37,97,0.00,0.0,30.90,000,10.00,30.85,24.6,25.0
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,986.68,09-21-2019,22:00:00,1011.02,94,0.00,0.0,0.00,000,8.00,28.89,23.5,24.5
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,976.81,09-21-2019,22:00:00,1011.70,89,2.20,3.7,12.60,170,10.00,26.67,22.1,24.1
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,984.77,09-21-2019,22:00:00,1012.76,96,0.00,0.0,25.80,000,10.00,26.83,22.2,23.0
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,977.90,09-21-2019,22:00:00,1011.85,90,0.00,5.6,14.80,030,10.00,26.75,22.2,24.0
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,992.49,09-21-2019,22:00:00,1011.09,91,0.00,1.9,15.40,230,6.00,30.76,24.5,26.1
48331,NAN,น่าน,น่าน,18.77972,100.77778,988.30,09-21-2019,22:00:00,1011.17,90,0.00,0.0,1.30,000,10.00,31.94,25.1,27.0
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,981.32,09-21-2019,22:00:00,1011.31,86,0.00,0.0,0.60,000,10.00,29.89,24.0,26.5
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,976.33,09-21-2019,22:00:00,1012.21,91,1.20,0.0,12.80,000,7.00,28.11,23.0,24.5
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,979.84,09-21-2019,22:00:00,1009.86,91,0.00,0.0,1.80,000,7.00,27.25,22.5,24.0
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,1003.62,09-21-2019,22:00:00,1010.95,81,0.00,0.0,0.00,000,9.00,28.94,23.5,27.0
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,990.74,09-21-2019,22:00:00,1010.60,78,0.00,0.0,0.00,000,7.00,30.42,24.3,28.5
48353,LOEI,เลย,เลย,17.45000,101.73333,982.22,09-21-2019,22:00:00,1011.05,87,0.00,0.0,5.70,000,7.00,29.05,23.6,25.9
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,990.58,09-21-2019,22:00:00,1010.78,76,0.00,7.4,0.00,090,7.00,27.73,22.8,27.5
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,989.74,09-21-2019,22:00:00,1011.63,85,0.00,0.0,0.00,000,5.00,28.08,23.0,25.8
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,991.47,09-21-2019,22:00:00,1011.10,86,0.00,0.0,0.00,000,9.00,28.78,23.4,25.9
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,995.21,09-21-2019,22:00:00,1012.08,78,0.00,0.0,0.00,000,10.00,26.29,21.9,26.1
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,994.47,09-21-2019,22:00:00,1012.07,84,0.00,3.7,0.00,080,8.00,26.69,22.2,25.0
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,984.76,09-21-2019,22:00:00,1010.72,86,0.00,0.0,0.00,000,10.00,28.42,23.2,25.7
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,1004.96,09-21-2019,22:00:00,1010.77,97,0.00,0.0,16.80,000,10.00,34.48,26.4,27.0
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,1004.10,09-21-2019,22:00:00,1010.32,93,0.00,0.0,6.60,000,10.00,32.54,25.5,26.6
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,994.85,09-21-2019,22:00:00,1011.33,77,0.00,0.0,0.00,000,10.00,28.26,23.1,27.5
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,986.58,09-21-2019,22:00:00,1008.99,86,0.00,0.0,9.30,000,10.00,29.25,23.7,26.3
48376,TAK,ตาก,ตาก,16.87833,99.14333,997.27,09-21-2019,22:00:00,1011.81,92,0.00,0.0,2.20,000,6.00,29.62,23.9,25.2
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,994.81,09-21-2019,22:00:00,1011.45,98,0.00,0.0,19.80,000,8.00,28.60,23.3,23.6
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1005.54,09-21-2019,22:00:00,1010.78,94,0.00,0.0,11.00,000,10.00,33.74,26.1,27.2
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,995.53,09-21-2019,22:00:00,1008.77,89,0.00,0.0,0.20,000,10.00,31.08,24.7,26.7
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,1001.78,09-21-2019,22:00:00,1011.16,94,0.00,3.7,8.00,130,10.00,32.04,25.2,26.2
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,989.36,09-21-2019,22:00:00,1011.24,88,0.10,14.8,1.90,100,6.00,28.59,23.3,25.5
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,992.52,09-21-2019,22:00:00,1010.10,84,7.50,3.7,12.00,120,4.00,29.08,23.6,26.5
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,994.96,09-21-2019,22:00:00,1010.88,78,0.00,5.6,0.00,050,10.00,26.99,22.3,26.5
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,991.43,09-21-2019,22:00:00,1010.50,96,8.60,0.0,14.90,000,6.00,30.32,24.3,25.0
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,960.16,09-21-2019,22:00:00,1011.95,91,0.00,0.0,1.10,000,7.00,26.92,22.3,23.8
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1006.36,09-21-2019,22:00:00,1010.33,84,0.00,3.7,0.90,180,6.00,29.93,24.1,27.1
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,916.14,09-21-2019,22:00:00,1011.94,93,0.00,5.6,3.50,030,7.00,22.79,19.6,20.7
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,994.85,09-21-2019,22:00:00,1010.97,92,0.00,5.6,13.00,080,7.00,30.28,24.2,25.7
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1007.03,09-21-2019,22:00:00,1011.10,96,0.10,0.0,30.00,000,7.00,32.01,25.2,25.9
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,1000.85,09-21-2019,22:00:00,1011.63,97,0.80,0.0,47.10,000,7.00,31.14,24.7,25.3
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1009.18,09-21-2019,22:00:00,1011.13,92,0.00,0.0,16.30,000,6.00,29.72,23.9,25.4
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,990.44,09-21-2019,22:00:00,1011.51,88,0.00,7.4,16.60,050,10.00,28.06,23.0,25.2
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,992.92,09-21-2019,22:00:00,1010.64,73,0.00,13.0,22.90,080,10.00,26.06,21.8,27.0
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,994.44,09-21-2019,22:00:00,1010.66,77,0.00,0.0,15.10,000,10.00,27.62,22.7,27.0
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,996.65,09-21-2019,22:00:00,1010.77,93,0.00,0.0,49.00,000,10.00,31.88,25.1,26.4
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,996.34,09-21-2019,22:00:00,1011.28,93,0.00,0.0,58.60,000,10.00,31.11,24.7,26.0
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,996.85,09-21-2019,22:00:00,1011.64,98,0.00,0.0,61.80,000,5.00,33.04,25.7,26.0
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1007.24,09-21-2019,22:00:00,1010.28,93,0.00,0.0,10.40,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",10.00,31.49,24.9,26.2
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,1002.69,09-21-2019,22:00:00,1010.70,92,0.01,0.0,4.10,000,7.00,30.46,24.3,25.8
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1009.12,09-21-2019,22:00:00,1010.23,94,0.00,0.0,4.50,000,7.00,31.08,24.7,25.7
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,992.37,09-21-2019,22:00:00,1007.01,85,0.00,5.6,8.20,120,9.00,31.84,25.1,27.8
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,876.30,09-21-2019,22:00:00,1012.04,97,0.40,5.6,25.00,130,5.00,21.71,18.8,19.3
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,1005.12,09-21-2019,22:00:00,1011.05,94,0.00,0.0,14.20,000,10.00,31.27,24.8,25.8
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1010.40,09-21-2019,22:00:00,1011.21,96,0.30,0.0,43.70,000,7.00,32.20,25.3,26.0
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1009.31,09-21-2019,22:00:00,1009.76,73,0.00,0.0,43.00,000,10.00,28.70,23.4,28.6
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,999.90,09-21-2019,22:00:00,1011.34,97,0.00,0.0,23.90,000,4.00,29.85,24.0,24.6
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1009.93,09-21-2019,22:00:00,1010.95,97,8.50,0.0,22.90,000,6.00,32.37,25.4,25.8
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1008.95,09-21-2019,22:00:00,1010.79,97,1.60,0.0,89.70,000,7.00,30.96,24.6,25.2
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1009.96,09-21-2019,22:00:00,1010.73,96,12.10,0.0,17.80,000,6.00,29.95,24.1,24.8
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1010.24,09-21-2019,22:00:00,1010.95,95,0.40,5.6,38.40,020,9.00,31.17,24.7,25.6
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1009.71,09-21-2019,22:00:00,1010.42,95,0.80,0.0,7.50,000,7.00,31.74,25.0,25.9
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,989.76,09-21-2019,22:00:00,1011.20,97,18.00,3.7,32.90,030,10.00,28.96,23.5,24.1
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,993.80,09-21-2019,22:00:00,1010.67,92,0.20,0.0,7.30,000,7.00,29.80,24.0,25.3
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,994.64,09-21-2019,22:00:00,1011.23,91,0.30,0.0,4.30,000,6.00,29.46,23.8,25.4
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,989.02,09-21-2019,22:00:00,1011.10,92,1.00,0.0,36.60,000,9.00,29.00,23.5,25.0
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,967.38,09-21-2019,22:00:00,1011.24,93,0.20,5.6,4.40,070,9.00,27.59,22.7,23.9
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,989.91,09-21-2019,22:00:00,1010.68,98,0.00,7.4,28.40,080,8.00,31.12,24.7,25.0
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,991.14,09-21-2019,22:00:00,1012.24,100,1.20,7.4,29.60,070,7.00,30.54,24.4,24.4
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1009.83,09-21-2019,22:00:00,1010.27,95,0.00,3.7,9.80,330,10.00,31.74,25.0,25.9
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1008.88,09-21-2019,22:00:00,1010.31,97,0.20,0.0,31.80,000,6.00,31.33,24.8,25.4
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1005.44,09-21-2019,22:00:00,1010.42,99,0.00,0.0,8.10,000,7.00,31.58,24.9,25.1
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1007.28,09-21-2019,22:00:00,1010.60,92,0.00,0.0,34.70,000,10.00,30.28,24.2,25.7
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1009.87,09-21-2019,22:00:00,1010.98,97,0.01,0.0,15.40,000,8.00,31.71,25.0,25.6
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1010.51,09-21-2019,22:00:00,1010.82,94,0.20,0.0,39.60,000,7.00,31.65,25.0,26.0
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1009.85,09-21-2019,22:00:00,1010.34,98,0.20,0.0,19.50,000,8.00,32.26,25.3,25.6
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1009.49,09-21-2019,22:00:00,1010.91,98,0.20,0.0,20.80,000,10.00,32.65,25.5,25.8
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,1004.06,09-21-2019,22:00:00,1012.16,98,0.00,0.0,3.40,000,10.00,31.12,24.7,25.0
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1009.83,09-21-2019,22:00:00,1010.11,97,0.50,5.6,6.80,080,6.00,34.48,26.4,27.0
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1007.18,09-21-2019,22:00:00,1010.32,92,17.50,5.6,47.70,280,8.00,32.77,25.6,27.0
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,1003.87,09-21-2019,22:00:00,1010.88,92,1.20,9.3,21.10,270,10.00,29.91,24.0,25.5
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1005.05,09-21-2019,22:00:00,1010.69,96,0.40,0.0,28.90,000,7.00,32.20,25.3,26.0
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1010.14,09-21-2019,22:00:00,1011.41,96,0.00,0.0,3.00,000,10.00,31.25,24.8,25.5
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1010.02,09-21-2019,22:00:00,1010.45,96,5.90,3.7,12.70,230,11.00,31.25,24.8,25.5
