WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,WindSpeed,Rainfall,LandVisibility,AirTemperature,WindDirection,RelativeHumidity,MeanSeaLevelPressure,StationPressure,Rainfall24Hr,VaporPressure,DewPoint
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,09-22-2019,01:00:00,0.0,0.00,6.00,24.6,000,94,1011.64,980.44,2.10,29.07,23.6
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,09-22-2019,01:00:00,11.1,0.00,8.00,18.3,120,91,1010.32,848.28,0.00,19.12,16.8
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,09-22-2019,01:00:00,1.9,0.00,10.00,25.0,130,85,1012.38,968.44,0.00,26.94,22.3
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,09-22-2019,01:00:00,0.0,0.00,8.00,24.4,000,91,1012.53,966.57,0.00,27.94,22.9
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,09-22-2019,01:00:00,0.0,0.00,5.00,24.5,000,98,1010.58,972.66,0.00,30.20,24.2
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,09-22-2019,01:00:00,0.0,0.00,7.00,24.4,000,92,1012.13,966.64,6.90,28.20,23.1
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,09-22-2019,01:00:00,0.0,0.00,7.00,24.7,000,92,1013.10,986.09,0.50,28.47,23.2
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,09-22-2019,01:00:00,0.0,0.00,10.00,25.0,000,97,1011.05,989.11,30.90,30.85,24.6
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,09-22-2019,01:00:00,0.0,0.00,6.00,24.3,000,93,1010.19,985.86,0.00,28.28,23.1
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,09-22-2019,01:00:00,0.0,0.00,10.00,23.9,000,92,1011.91,976.99,12.60,27.34,22.6
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,09-22-2019,01:00:00,0.0,0.00,10.00,23.0,000,96,1011.73,983.78,25.80,26.83,22.2
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,09-22-2019,01:00:00,0.0,0.00,10.00,23.4,000,92,1011.68,977.66,14.80,26.50,22.0
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,09-22-2019,01:00:00,0.0,0.00,5.00,25.5,000,93,1011.18,992.54,15.40,30.44,24.3
48331,NAN,น่าน,น่าน,18.77972,100.77778,09-22-2019,01:00:00,0.0,0.00,10.00,25.8,000,90,1011.63,988.66,1.30,29.93,24.1
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,09-22-2019,01:00:00,0.0,0.00,7.00,25.7,000,90,1011.11,981.05,0.20,29.74,23.9
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,09-22-2019,01:00:00,0.0,0.00,7.00,24.0,000,96,1011.26,975.35,12.80,28.53,23.3
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,09-22-2019,01:00:00,0.0,0.00,5.00,24.0,000,96,1011.20,981.14,1.80,28.53,23.3
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,09-22-2019,01:00:00,0.0,0.00,8.00,26.0,000,89,1010.61,1003.26,0.00,29.76,24.0
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,09-22-2019,01:00:00,0.0,0.00,6.00,26.5,000,86,1010.90,990.91,0.00,29.89,24.0
48353,LOEI,เลย,เลย,17.45000,101.73333,09-22-2019,01:00:00,0.0,0.00,6.00,25.2,000,90,1011.12,982.22,5.70,28.83,23.4
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,09-22-2019,01:00:00,1.9,0.00,7.00,25.6,210,88,1011.32,990.98,0.00,28.77,23.4
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,09-22-2019,01:00:00,0.0,0.00,6.00,25.0,000,88,1011.83,989.87,0.00,27.70,22.8
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,09-22-2019,01:00:00,5.6,0.00,9.00,25.0,120,88,1011.09,991.41,0.00,27.96,22.9
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,09-22-2019,01:00:00,0.0,0.00,10.00,24.8,000,85,1011.96,995.01,0.00,26.60,22.1
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,09-22-2019,01:00:00,3.7,0.00,8.00,24.0,090,87,1011.90,994.24,0.00,26.01,21.7
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,09-22-2019,01:00:00,0.0,0.00,10.00,24.7,000,90,1011.05,984.99,0.00,27.95,22.9
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,09-22-2019,01:00:00,5.6,0.00,10.00,26.8,290,98,1010.82,1005.01,16.80,34.64,26.5
