WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,WindSpeed,Rainfall24Hr,RelativeHumidity,LandVisibility,Rainfall,VaporPressure,MinimumTemperature,AirTemperature,WindDirection,StationPressure,MeanSeaLevelPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,23.1,09-22-2019,07:00:00,0.0,2.10,93,8.00,0.00,28.28,22.6,24.3,000,980.78,1012.02
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,16.7,09-22-2019,07:00:00,18.5,0.00,98,8.00,0.00,18.95,16.9,17.0,120,849.01,1011.97
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,20.4,09-22-2019,07:00:00,14.8,0.00,81,10.00,0.00,23.90,23.2,23.9,040,969.41,1013.56
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,21.3,09-22-2019,07:00:00,0.0,0.00,95,13.00,0.00,25.37,21.3,22.1,000,966.92,1013.25
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,21.3,09-22-2019,07:00:00,0.0,0.00,99,8.00,0.00,25.38,21.0,21.5,000,974.85,1013.24
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,23.6,09-22-2019,07:00:00,1.9,8.80,97,7.00,0.00,29.04,23.3,24.0,320,967.94,1013.56
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,23.2,09-22-2019,07:00:00,0.0,0.50,94,9.00,0.00,28.36,23.7,24.2,000,986.83,1013.91
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,23.3,09-22-2019,07:00:00,0.0,33.30,95,4.00,0.00,28.62,24.1,24.2,000,990.38,1012.41
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,23.6,09-22-2019,07:00:00,0.0,0.00,93,8.00,0.00,29.16,22.5,24.8,000,987.90,1012.25
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,22.7,09-22-2019,07:00:00,0.0,12.60,92,8.00,0.00,27.51,23.3,24.0,000,977.67,1012.60
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,23.5,09-22-2019,07:00:00,0.0,25.80,97,5.00,0.00,28.86,23.0,23.9,000,986.60,1014.55
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,23.0,09-22-2019,07:00:00,0.0,14.80,96,7.00,0.00,28.09,23.0,23.6,000,978.28,1012.29
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,24.5,09-22-2019,07:00:00,0.0,15.40,96,5.00,0.00,30.69,24.4,25.2,000,993.55,1012.23
48331,NAN,น่าน,น่าน,18.77972,100.77778,24.2,09-22-2019,07:00:00,0.0,15.70,98,10.00,0.00,30.20,23.8,24.5,000,988.62,1011.69
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,22.7,09-22-2019,07:00:00,0.0,0.00,92,10.00,0.00,27.51,23.8,24.0,000,982.31,1012.59
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,22.2,09-22-2019,07:00:00,0.0,12.80,96,6.00,0.00,26.83,22.5,23.0,000,976.91,1013.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,22.7,09-22-2019,07:00:00,0.0,0.00,99,.05,0.00,27.65,22.4,22.9,000,982.53,1012.75
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,24.0,09-22-2019,07:00:00,0.0,0.00,92,8.00,0.00,29.91,25.3,25.5,000,1004.22,1011.60
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,24.6,09-22-2019,07:00:00,0.0,0.00,92,5.00,0.00,30.84,25.5,26.0,000,992.54,1012.60
48353,LOEI,เลย,เลย,17.45000,101.73333,22.5,09-22-2019,07:00:00,0.0,0.00,91,.80,0.00,27.25,23.9,24.0,000,983.77,1012.83
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,24.5,09-22-2019,07:00:00,0.0,0.00,95,7.00,0.00,30.79,24.4,25.4,000,992.34,1012.71
