WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,WindDirection,DewPoint,AirTemperature,MeanSeaLevelPressure,StationPressure,WindSpeed,Rainfall,Rainfall24Hr,RelativeHumidity,VaporPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,10.00,09-22-2019,10:00:00,000,23.7,26.0,1013.33,982.22,0.0,0.00,2.10,87,29.23
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,8.00,09-22-2019,10:00:00,120,16.2,18.1,1012.09,849.67,14.8,0.00,0.00,89,18.46
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,15.00,09-22-2019,10:00:00,030,20.2,29.6,1013.93,970.57,9.3,0.00,0.00,57,23.67
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,15.00,09-22-2019,10:00:00,030,21.4,29.2,1013.77,968.47,5.6,0.00,0.00,63,25.55
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,12.00,09-22-2019,10:00:00,340,21.5,28.5,1013.81,976.27,11.1,0.00,0.00,66,25.61
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,8.00,09-22-2019,10:00:00,210,23.3,29.1,1014.14,969.26,3.7,0.00,4.20,71,28.56
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,12.00,09-22-2019,10:00:00,000,22.0,29.0,1014.29,987.63,0.0,0.00,0.50,66,26.50
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,7.00,09-22-2019,10:00:00,090,23.8,29.0,1013.23,991.53,7.4,0.00,19.40,74,29.46
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,10.00,09-22-2019,10:00:00,000,23.9,29.0,1012.62,988.60,0.0,0.00,0.00,74,29.74
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,10.00,09-22-2019,10:00:00,340,21.9,24.8,1014.39,979.49,3.7,0.20,12.80,84,26.35
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,7.00,09-22-2019,10:00:00,000,24.4,26.4,1014.63,986.90,0.0,0.00,25.80,89,30.51
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,10.00,09-22-2019,10:00:00,000,23.8,26.4,1013.82,980.07,0.0,0.00,14.80,86,29.43
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,5.00,09-22-2019,10:00:00,020,24.4,28.1,1013.50,994.97,5.6,0.00,6.50,80,30.48
48331,NAN,น่าน,น่าน,18.77972,100.77778,10.00,09-22-2019,10:00:00,000,23.1,28.5,1013.76,990.95,0.0,0.00,15.70,73,28.24
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,12.00,09-22-2019,10:00:00,000,24.7,28.1,1013.93,984.01,0.0,0.00,0.00,82,31.03
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,7.00,09-22-2019,10:00:00,000,23.7,25.2,1014.50,978.62,0.0,0.00,12.80,92,29.36
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,8.00,09-22-2019,10:00:00,100,23.0,29.3,1013.15,983.55,13.0,0.00,0.00,69,28.12
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,8.00,09-22-2019,10:00:00,000,24.5,29.5,1012.93,1005.64,0.0,0.00,0.00,75,30.72
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,8.00,09-22-2019,10:00:00,080,21.6,30.5,1013.57,993.79,13.0,0.00,0.00,59,25.80
48353,LOEI,เลย,เลย,17.45000,101.73333,7.00,09-22-2019,10:00:00,100,21.7,29.7,1013.47,984.93,9.3,0.00,0.00,62,25.93
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,12.00,09-22-2019,10:00:00,070,20.7,30.3,1013.56,993.49,11.1,0.00,0.00,57,24.39
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,10.00,09-22-2019,10:00:00,120,19.7,29.9,1013.83,992.18,7.4,0.00,0.00,54,22.92
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,12.00,09-22-2019,10:00:00,070,19.0,30.2,1013.14,993.76,9.3,0.00,0.00,51,21.92
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,10.00,09-22-2019,10:00:00,060,17.2,30.6,1013.68,997.03,9.3,0.00,0.00,45,19.62
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,10.00,09-22-2019,10:00:00,090,21.3,28.0,1014.06,996.59,3.7,0.00,0.00,67,25.24
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,9.00,09-22-2019,10:00:00,120,22.5,30.3,1012.82,987.19,7.4,0.00,0.00,63,27.30
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,8.00,09-22-2019,10:00:00,330,26.5,29.0,1013.01,1007.23,5.6,0.00,3.40,86,34.58
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,10.00,09-22-2019,10:00:00,330,24.9,28.5,1013.15,1006.96,7.4,0.00,0.00,81,31.54
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,12.00,09-22-2019,10:00:00,000,21.3,31.0,1012.83,996.52,0.0,0.00,0.00,57,25.39
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,10.00,09-22-2019,10:00:00,000,23.2,27.0,1010.95,988.55,0.0,0.00,9.30,80,28.41
48376,TAK,ตาก,ตาก,16.87833,99.14333,6.00,09-22-2019,10:00:00,000,24.0,26.5,1014.13,999.62,0.0,0.00,7.10,86,29.89
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,7.00,09-22-2019,10:00:00,000,24.3,25.6,1013.93,997.36,0.0,1.10,17.90,93,30.36
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,10.00,09-22-2019,10:00:00,330,24.8,28.9,1013.42,1008.19,5.6,0.00,11.00,78,31.21
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,12.00,09-22-2019,10:00:00,000,23.8,31.0,1010.21,997.15,0.0,0.00,0.00,66,29.48
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,11.00,09-22-2019,10:00:00,230,24.8,27.7,1013.33,1003.97,3.7,0.00,14.70,84,31.36
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,7.00,09-22-2019,10:00:00,060,21.8,29.4,1011.79,990.18,7.4,0.00,1.80,64,26.17
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,10.00,09-22-2019,10:00:00,020,24.3,30.0,1012.84,995.41,11.1,0.00,8.70,71,30.31
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,12.00,09-22-2019,10:00:00,080,21.8,28.6,1012.87,997.03,3.7,0.00,0.00,67,26.04
