WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,VaporPressure,Rainfall24Hr,Rainfall,RelativeHumidity,MeanSeaLevelPressure,DewPoint,LandVisibility,WindSpeed,AirTemperature,StationPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,000,09-22-2019,16:00:00,32.18,2.10,0.00,80,1008.80,25.3,12.00,0.0,29.1,978.14
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,120,09-22-2019,16:00:00,17.28,0.00,0.00,73,1008.89,15.2,8.00,14.8,20.3,848.06
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,040,09-22-2019,16:00:00,22.91,0.00,0.00,48,1009.43,19.7,15.00,13.0,32.1,966.61
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,090,09-22-2019,16:00:00,23.61,0.00,0.00,49,1009.26,20.2,15.00,7.4,32.2,964.60
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,000,09-22-2019,16:00:00,23.99,0.00,0.00,49,1008.58,20.4,12.00,0.0,32.7,971.73
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,350,09-22-2019,16:00:00,31.93,4.20,0.00,69,1009.54,25.1,12.00,5.6,31.5,965.20
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,000,09-22-2019,16:00:00,27.01,0.50,0.00,51,1009.19,22.4,12.00,0.0,34.0,983.09
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,210,09-22-2019,16:00:00,28.91,0.00,0.00,72,1009.12,23.5,12.00,3.7,29.0,987.50
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,000,09-22-2019,16:00:00,26.25,0.00,0.00,52,1008.04,21.9,10.00,0.0,32.9,984.43
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,230,09-22-2019,16:00:00,26.18,2.40,0.00,55,1008.78,21.8,10.00,3.7,32.0,974.87
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,000,09-22-2019,16:00:00,30.90,24.40,0.00,69,1010.22,24.6,10.00,0.0,31.0,983.03
