WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,Rainfall24Hr,AirTemperature,MeanSeaLevelPressure,MaximumTemperature,DewPoint,Rainfall,StationPressure,WindDirection,WindSpeed,RelativeHumidity,VaporPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,12.00,09-22-2019,19:00:00,1.30,27.5,1009.67,29.7,25.7,0.00,978.82,000,0.0,90,32.93
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,8.00,09-22-2019,19:00:00,0.00,18.6,1010.44,23.5,15.0,0.00,848.53,120,9.3,80,17.04
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,15.00,09-22-2019,19:00:00,0.00,27.7,1010.57,32.3,20.4,0.00,967.09,010,7.4,65,23.97
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,12.00,09-22-2019,19:00:00,0.00,27.9,1010.40,33.4,20.6,0.00,965.06,000,0.0,65,24.31
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,8.00,09-22-2019,19:00:00,0.00,27.3,1011.00,33.5,22.4,0.00,973.42,000,0.0,75,27.11
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,12.00,09-22-2019,19:00:00,4.20,27.6,1010.55,33.0,23.5,0.00,965.60,000,0.0,79,28.98
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,10.00,09-22-2019,19:00:00,0.50,30.2,1010.44,34.5,24.5,0.00,983.99,000,0.0,72,30.70
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,9.00,09-22-2019,19:00:00,0.00,25.5,1010.76,33.4,23.7,0.00,988.86,000,0.0,90,29.38
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,8.00,09-22-2019,19:00:00,0.00,28.0,1010.33,35.0,24.4,0.00,986.29,000,0.0,81,30.56
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,10.00,09-22-2019,19:00:00,2.40,29.0,1010.21,32.7,22.9,0.00,975.92,000,0.0,70,27.83
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,10.00,09-22-2019,19:00:00,14.00,24.5,1011.15,32.7,23.3,14.00,983.35,000,0.0,93,28.63
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,10.00,09-22-2019,19:00:00,0.00,27.9,1010.23,31.5,22.9,0.00,976.75,000,0.0,74,27.93
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,8.00,09-22-2019,19:00:00,0.00,28.8,1010.01,34.3,24.0,0.00,991.60,000,0.0,76,29.90
48331,NAN,น่าน,น่าน,18.77972,100.77778,10.00,09-22-2019,19:00:00,14.40,29.6,1010.12,34.0,25.2,0.00,987.47,000,0.0,77,32.05
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,10.00,09-22-2019,19:00:00,0.00,29.0,1010.12,33.0,24.7,0.00,980.40,000,0.0,78,31.13
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,7.00,09-22-2019,19:00:00,1.20,26.4,1011.08,34.2,22.9,0.00,975.47,000,0.0,81,27.85
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,10.00,09-22-2019,19:00:00,0.00,25.8,1011.07,32.6,22.5,0.00,981.18,190,3.7,82,27.30
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,9.00,09-22-2019,19:00:00,0.00,30.0,1009.97,35.5,24.3,0.00,1002.72,000,0.0,71,30.31
