WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,StationPressure,Rainfall24Hr,LandVisibility,DewPoint,Rainfall,VaporPressure,MeanSeaLevelPressure,WindDirection,RelativeHumidity,WindSpeed
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,31.7,09-23-2019,16:00:00,979.63,0.00,15.00,23.5,0.00,28.91,1010.07,000,62,0.0
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,20.5,09-23-2019,16:00:00,850.05,0.00,8.00,15.3,0.00,17.33,1011.13,120,72,22.2
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,31.7,09-23-2019,16:00:00,968.45,0.00,15.00,18.0,0.00,20.69,1011.41,030,44,3.7
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,31.5,09-23-2019,16:00:00,966.79,0.00,15.00,17.4,0.00,19.86,1011.66,000,43,0.0
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,32.9,09-23-2019,16:00:00,974.13,0.00,12.00,20.3,0.00,23.83,1011.05,000,48,0.0
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,31.1,09-23-2019,16:00:00,967.54,0.00,12.00,22.1,0.00,26.65,1012.05,000,59,0.0
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,32.6,09-23-2019,16:00:00,985.64,0.00,10.00,23.0,0.00,28.17,1011.93,310,57,3.7
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,30.6,09-23-2019,16:00:00,989.75,15.80,10.00,21.7,0.00,25.98,1011.30,360,59,1.9
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,33.4,09-23-2019,16:00:00,986.52,0.50,10.00,21.6,0.00,25.84,1010.14,000,50,0.0
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,31.7,09-23-2019,16:00:00,977.53,1.00,10.00,20.1,0.00,23.50,1011.56,340,50,5.6
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,32.1,09-23-2019,16:00:00,984.40,14.00,10.00,19.9,0.00,23.17,1011.53,030,48,9.3
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,30.9,09-23-2019,16:00:00,977.93,0.00,10.00,20.9,0.00,24.68,1011.11,100,55,7.4
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,31.1,09-23-2019,16:00:00,993.02,0.00,10.00,22.0,0.00,26.38,1011.32,350,58,3.7
48331,NAN,น่าน,น่าน,18.77972,100.77778,31.3,09-23-2019,16:00:00,989.22,3.40,10.00,21.7,0.00,25.94,1011.78,000,57,0.0
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,32.6,09-23-2019,16:00:00,981.61,0.20,12.00,22.7,0.00,27.61,1011.01,000,56,0.0
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,30.2,09-23-2019,16:00:00,976.43,0.20,8.00,21.8,0.00,26.04,1011.63,000,61,0.0
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,31.0,09-23-2019,16:00:00,981.88,0.00,10.00,18.3,0.00,21.01,1011.26,100,47,9.3
