WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,LandVisibility,WindDirection,AirTemperature,StationPressure,Rainfall,WindSpeed,DewPoint,VaporPressure,RelativeHumidity,MeanSeaLevelPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.00,09-24-2019,04:00:00,4.00,000,22.0,983.19,0.00,0.0,21.1,24.98,95,1014.75
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,0.00,09-24-2019,04:00:00,8.00,120,17.0,850.05,0.00,11.1,13.4,15.41,80,1013.21
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.00,09-24-2019,04:00:00,10.00,000,20.6,971.10,0.00,0.0,19.7,22.87,94,1015.83
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.00,09-24-2019,04:00:00,12.00,000,20.0,969.07,0.00,0.0,19.0,22.02,94,1015.84
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.00,09-24-2019,04:00:00,5.00,000,20.3,977.79,0.00,0.0,20.1,23.57,99,1016.46
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.00,09-24-2019,04:00:00,10.00,000,22.5,969.66,0.00,0.0,21.7,26.01,95,1015.59
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.00,09-24-2019,04:00:00,5.00,000,23.1,988.48,0.00,0.0,21.9,26.25,93,1015.70
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.00,09-24-2019,04:00:00,10.00,000,23.1,992.11,0.00,0.0,22.6,27.49,97,1014.26
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.00,09-24-2019,04:00:00,6.00,000,23.6,989.14,0.00,0.0,23.0,28.09,96,1013.61
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.40,09-24-2019,04:00:00,10.00,010,24.0,979.92,0.00,5.6,20.9,24.78,83,1014.93
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.00,09-24-2019,04:00:00,10.00,000,23.3,987.33,0.00,0.0,22.8,27.83,97,1015.36
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.00,09-24-2019,04:00:00,10.00,000,24.3,980.65,0.00,0.0,23.1,28.28,93,1014.66
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.00,09-24-2019,04:00:00,5.00,030,24.1,995.29,0.00,1.9,23.4,28.70,96,1014.07
48331,NAN,น่าน,น่าน,18.77972,100.77778,3.40,09-24-2019,04:00:00,10.00,000,24.1,992.02,0.00,0.0,22.9,27.93,93,1015.20
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.20,09-24-2019,04:00:00,5.00,000,22.0,984.38,0.00,0.0,20.9,24.74,94,1014.93
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.00,09-24-2019,04:00:00,7.00,000,22.2,978.58,0.00,0.0,20.3,23.87,89,1014.83
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.00,09-24-2019,04:00:00,1.00,000,21.2,984.37,0.00,0.0,20.6,24.22,96,1014.82
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.00,09-24-2019,04:00:00,8.00,000,25.1,1006.17,0.00,0.0,22.3,26.86,84,1013.57
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.00,09-24-2019,04:00:00,5.00,080,23.8,994.64,0.00,3.7,19.4,22.56,77,1014.89
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,0.00,09-24-2019,04:00:00,5.00,050,23.7,994.37,0.00,1.9,20.3,23.82,81,1014.91
