WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,AirTemperature,DewPoint,Rainfall,WindDirection,WindSpeed,LandVisibility,MeanSeaLevelPressure,RelativeHumidity,StationPressure,VaporPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.00,09-24-2019,10:00:00,27.8,21.5,0.00,000,0.0,10.00,1015.48,69,984.49,25.66
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,0.00,09-24-2019,10:00:00,18.3,12.8,0.00,100,11.1,8.00,1014.88,70,852.11,14.73
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.00,09-24-2019,10:00:00,28.3,19.0,0.00,050,18.5,12.00,1016.72,57,973.06,21.99
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.00,09-24-2019,10:00:00,28.0,18.1,0.00,090,9.3,15.00,1016.88,55,971.26,20.78
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.00,09-24-2019,10:00:00,28.0,21.3,0.00,000,0.0,12.00,1016.92,67,979.20,25.24
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.00,09-24-2019,10:00:00,28.2,22.0,0.00,240,5.6,12.00,1016.67,69,971.54,26.37
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.00,09-24-2019,10:00:00,29.0,21.2,0.00,000,0.0,9.00,1017.22,63,990.48,25.19
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.00,09-24-2019,10:00:00,30.3,21.7,0.00,060,3.7,10.00,1015.25,60,993.59,25.96
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.00,09-24-2019,10:00:00,28.8,22.5,0.00,000,0.0,10.00,1014.68,69,990.60,27.20
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.00,09-24-2019,10:00:00,30.0,21.0,0.00,000,0.0,10.00,1015.90,59,981.54,24.89
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.00,09-24-2019,10:00:00,29.0,22.4,0.00,000,0.0,10.00,1015.87,68,988.35,27.03
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.00,09-24-2019,10:00:00,28.5,22.5,0.00,270,5.6,15.00,1015.78,70,982.19,27.18
