WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,MeanSeaLevelPressure,VaporPressure,Rainfall,LandVisibility,Rainfall24Hr,DewPoint,AirTemperature,WindSpeed,StationPressure,RelativeHumidity
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,000,09-24-2019,13:00:00,1011.82,28.10,0.00,15.00,0.00,23.0,32.0,0.0,981.35,59
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,120,09-24-2019,13:00:00,1012.79,17.24,0.00,8.00,0.00,15.2,20.1,14.8,851.24,73
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,050,09-24-2019,13:00:00,1011.90,21.10,0.00,15.00,0.00,18.4,31.2,14.8,968.85,46
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,360,09-24-2019,13:00:00,1013.28,32.82,0.00,15.00,0.00,25.6,32.2,7.4,968.44,68
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,000,09-24-2019,13:00:00,1013.19,24.19,0.00,12.00,0.00,20.6,31.5,0.0,976.03,52
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,000,09-24-2019,13:00:00,1013.67,27.55,0.00,12.00,0.00,22.7,30.0,0.0,968.93,65
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,000,09-24-2019,13:00:00,1013.86,25.49,0.00,10.00,0.00,21.4,32.5,0.0,987.51,52
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,070,09-24-2019,13:00:00,1012.57,24.79,0.00,10.00,0.00,21.0,32.7,3.7,991.14,50
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,000,09-24-2019,13:00:00,1011.95,25.39,0.00,10.00,0.00,21.3,29.4,0.0,987.97,62
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,040,09-24-2019,13:00:00,1013.06,22.88,0.00,10.00,0.00,19.7,31.5,3.7,978.96,50
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,000,09-24-2019,13:00:00,1013.27,25.12,0.00,10.00,0.00,21.2,31.0,0.0,986.00,56
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,180,09-24-2019,13:00:00,1013.06,23.50,0.00,15.00,0.00,20.1,31.7,5.6,979.90,50
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,360,09-24-2019,13:00:00,1012.49,23.66,0.00,7.00,0.00,20.2,33.1,7.4,994.29,47
48331,NAN,น่าน,น่าน,18.77972,100.77778,000,09-24-2019,13:00:00,1012.97,24.42,0.00,10.00,0.00,20.7,32.5,0.0,990.47,50
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,040,09-24-2019,13:00:00,1013.55,23.31,0.00,12.00,0.00,20.0,31.3,9.3,983.96,51
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,000,09-24-2019,13:00:00,1013.10,27.14,0.00,8.00,0.00,22.4,30.5,0.0,977.88,62
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,100,09-24-2019,13:00:00,1013.41,23.83,0.00,12.00,0.00,20.3,31.3,5.6,983.99,52
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,000,09-24-2019,13:00:00,1012.11,22.92,0.00,9.00,0.00,19.7,34.0,0.0,1004.93,43
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,110,09-24-2019,13:00:00,1013.28,22.06,0.00,8.00,0.00,19.1,32.5,13.0,993.63,45
48353,LOEI,เลย,เลย,17.45000,101.73333,090,09-24-2019,13:00:00,1013.05,23.87,0.00,8.00,0.00,20.3,32.2,5.6,984.75,50
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,050,09-24-2019,13:00:00,1013.73,21.02,0.00,9.00,0.00,18.3,31.6,9.3,993.75,45
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,110,09-24-2019,13:00:00,1014.23,24.07,0.00,8.00,0.00,20.5,31.0,3.7,992.65,54
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,000,09-24-2019,13:00:00,1013.34,22.02,0.00,9.00,0.00,19.0,31.0,0.0,994.00,49
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,110,09-24-2019,13:00:00,1013.49,19.87,0.00,12.00,0.00,17.4,33.0,9.3,996.98,40
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,090,09-24-2019,13:00:00,1013.56,21.35,0.00,12.00,0.00,18.5,34.0,3.7,996.45,40
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,000,09-24-2019,13:00:00,1012.78,21.70,0.00,9.00,0.00,18.8,31.7,0.0,987.27,46
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,120,09-24-2019,13:00:00,1012.96,29.06,0.00,10.00,0.00,23.6,32.2,5.6,1007.24,60
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,120,09-24-2019,13:00:00,1012.06,29.25,0.00,10.00,0.00,23.7,33.0,9.3,1005.96,58
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,030,09-24-2019,13:00:00,1013.16,21.40,0.00,12.00,0.00,18.6,33.0,5.6,996.95,43
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,090,09-24-2019,13:00:00,1010.56,24.09,0.00,10.00,0.00,20.5,31.3,11.1,988.48,53
48376,TAK,ตาก,ตาก,16.87833,99.14333,070,09-24-2019,13:00:00,1013.11,28.69,0.00,6.00,0.00,23.4,32.3,3.7,998.89,59
