WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,WindSpeed,RelativeHumidity,StationPressure,VaporPressure,Rainfall24Hr,WindDirection,AirTemperature,DewPoint,MeanSeaLevelPressure,MaximumTemperature,Rainfall
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,12.00,09-24-2019,19:00:00,0.0,70,980.64,27.36,0.00,000,28.6,22.6,1011.43,33.9,0.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,8.00,09-24-2019,19:00:00,13.0,78,851.44,17.85,0.00,120,19.6,15.7,1013.32,22.7,0.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,12.00,09-24-2019,19:00:00,0.0,63,968.45,22.81,0.00,000,27.3,19.6,1012.05,31.5,0.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,15.00,09-24-2019,19:00:00,0.0,72,968.18,25.04,0.00,000,26.7,21.1,1013.85,31.7,0.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,9.00,09-24-2019,19:00:00,0.0,77,976.12,24.12,0.00,000,24.8,20.5,1014.13,32.7,0.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,10.00,09-24-2019,19:00:00,0.0,84,968.92,27.29,0.00,000,25.5,22.5,1014.34,32.0,0.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,10.00,09-24-2019,19:00:00,0.0,70,987.17,28.67,0.00,000,29.3,23.3,1013.79,33.7,0.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,10.00,09-24-2019,19:00:00,0.0,82,990.86,30.15,0.00,000,27.5,24.2,1012.66,33.7,0.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,10.00,09-24-2019,19:00:00,0.0,65,987.93,27.55,0.00,000,30.0,22.7,1011.86,36.0,0.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,9.00,09-24-2019,19:00:00,0.0,65,978.30,26.62,0.01,000,29.5,22.1,1012.61,32.3,0.01
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,10.00,09-24-2019,19:00:00,0.0,75,985.80,29.43,0.00,000,28.7,23.8,1013.28,33.7,0.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,10.00,09-24-2019,19:00:00,0.0,79,979.14,29.74,0.00,000,28.0,23.9,1012.68,32.4,0.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,7.00,09-24-2019,19:00:00,3.7,71,993.89,29.33,0.00,150,29.5,23.7,1012.31,34.7,0.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,10.00,09-24-2019,19:00:00,0.0,76,990.47,29.22,0.00,000,28.3,23.7,1013.28,33.8,0.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,10.00,09-24-2019,19:00:00,0.0,77,983.47,28.82,0.00,000,27.8,23.4,1013.39,32.7,0.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,8.00,09-24-2019,19:00:00,0.0,77,977.06,29.19,0.00,000,28.0,23.6,1012.54,31.0,0.00
