WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,WindSpeed,RelativeHumidity,Rainfall,AirTemperature,Rainfall24Hr,MeanSeaLevelPressure,LandVisibility,StationPressure,VaporPressure,WindDirection
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,22.5,09-25-2019,04:00:00,0.0,91,0.00,24.0,0.00,1014.72,8.00,983.36,27.25,000
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,13.8,09-25-2019,04:00:00,22.2,75,0.00,18.4,0.00,1014.20,8.00,851.59,15.81,120
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,19.9,09-25-2019,04:00:00,0.0,90,0.00,21.6,0.00,1015.98,10.00,971.38,23.20,000
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,19.7,09-25-2019,04:00:00,0.0,95,0.00,20.5,0.00,1016.49,12.00,969.76,22.95,000
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,20.9,09-25-2019,04:00:00,0.0,98,0.00,21.2,0.00,1016.45,5.00,977.89,24.68,000
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,21.8,09-25-2019,04:00:00,0.0,92,0.00,23.2,0.00,1016.12,7.00,970.28,26.17,000
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,22.1,09-25-2019,04:00:00,0.0,95,0.00,23.0,0.00,1016.39,5.00,989.14,26.58,000
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,23.1,09-25-2019,04:00:00,1.9,96,0.00,23.8,0.00,1014.63,5.00,992.52,28.18,070
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,23.0,09-25-2019,04:00:00,0.0,94,0.00,24.0,0.00,1014.77,6.00,990.30,28.01,000
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,21.1,09-25-2019,04:00:00,0.0,77,0.00,25.3,0.50,1015.21,10.00,980.33,24.94,000
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,22.3,09-25-2019,04:00:00,0.0,93,0.00,23.5,0.50,1014.34,10.00,986.36,26.91,000
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,24.0,09-25-2019,04:00:00,5.6,94,0.00,25.0,0.00,1015.08,10.00,981.13,29.79,150
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,22.9,09-25-2019,04:00:00,0.0,90,0.00,24.7,0.00,1014.62,4.00,995.87,27.95,000
48331,NAN,น่าน,น่าน,18.77972,100.77778,23.7,09-25-2019,04:00:00,0.0,92,0.00,25.2,0.00,1014.94,10.00,991.85,29.36,000
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,21.7,09-25-2019,04:00:00,0.0,95,0.00,22.5,0.00,1015.00,7.00,984.49,26.01,000
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,23.3,09-25-2019,04:00:00,0.0,96,1.80,24.0,1.80,1014.12,7.00,978.11,28.53,000
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,20.9,09-25-2019,04:00:00,0.0,95,0.00,21.7,0.00,1014.77,1.00,984.37,24.75,000
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,22.2,09-25-2019,04:00:00,0.0,86,0.00,24.7,0.00,1013.86,8.00,1006.46,26.68,000
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,19.3,09-25-2019,04:00:00,3.7,75,0.00,24.0,0.00,1015.23,4.00,994.99,22.39,080
48353,LOEI,เลย,เลย,17.45000,101.73333,20.2,09-25-2019,04:00:00,0.0,87,0.00,22.5,0.00,1015.98,5.00,986.68,23.62,000
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,19.8,09-25-2019,04:00:00,0.0,82,0.00,23.1,0.00,1015.26,7.00,994.67,23.13,000
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,19.7,09-25-2019,04:00:00,0.0,90,0.00,21.4,0.00,1015.78,5.00,993.47,22.90,000
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,21.0,09-25-2019,04:00:00,0.0,91,0.00,22.5,0.00,1014.79,7.00,994.87,24.80,000
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,18.1,09-25-2019,04:00:00,0.0,73,0.00,23.2,0.00,1015.21,10.00,998.12,20.75,000
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,19.6,09-25-2019,04:00:00,0.0,92,0.00,21.0,0.00,1015.61,10.00,997.71,22.77,000
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,22.8,09-25-2019,04:00:00,3.7,80,0.00,26.6,0.00,1014.82,8.00,988.83,27.69,040
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,25.9,09-25-2019,04:00:00,0.0,96,0.00,26.6,0.01,1013.79,10.00,1007.96,33.38,000
