WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,Rainfall24Hr,AirTemperature,VaporPressure,MeanSeaLevelPressure,WindDirection,RelativeHumidity,LandVisibility,DewPoint,Rainfall,MinimumTemperature,WindSpeed
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,976.82,09-25-2019,07:00:00,0.00,24.0,27.51,1007.97,000,92,8.00,22.7,0.00,22.5,0.0
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,852.20,09-25-2019,07:00:00,0.00,17.9,14.67,1015.22,180,72,8.00,12.7,0.00,17.5,14.8
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,973.08,09-25-2019,07:00:00,0.00,20.7,22.79,1017.89,000,93,10.00,19.6,0.00,20.5,0.0
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,970.82,09-25-2019,07:00:00,0.00,20.0,22.24,1017.69,000,95,12.00,19.2,0.00,18.0,0.0
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,979.24,09-25-2019,07:00:00,0.00,21.0,23.69,1017.87,000,95,9.00,20.2,0.00,20.6,0.0
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,971.73,09-25-2019,07:00:00,0.00,23.0,26.33,1017.67,000,94,8.00,21.9,0.00,22.0,0.0
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,990.48,09-25-2019,07:00:00,0.00,22.0,25.21,1017.86,000,95,5.00,21.2,0.00,21.6,0.0
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,993.66,09-25-2019,07:00:00,0.00,23.8,27.42,1015.79,000,93,5.00,22.6,0.00,23.5,0.0
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,991.61,09-25-2019,07:00:00,0.00,23.5,27.66,1016.15,000,96,6.00,22.8,0.00,21.6,0.0
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,981.71,09-25-2019,07:00:00,0.50,25.0,26.69,1016.67,000,84,8.00,22.2,0.01,24.9,0.0
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,989.57,09-25-2019,07:00:00,0.50,24.1,27.93,1017.59,000,93,10.00,22.9,0.00,23.2,0.0
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,982.38,09-25-2019,07:00:00,0.00,24.1,28.44,1016.48,000,95,8.00,23.2,0.00,24.1,0.0
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,997.39,09-25-2019,07:00:00,0.00,23.7,25.76,1016.24,000,88,4.00,21.6,0.00,23.5,0.0
48331,NAN,น่าน,น่าน,18.77972,100.77778,993.85,09-25-2019,07:00:00,0.00,23.5,25.68,1017.12,000,89,10.00,21.5,0.00,23.0,0.0
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,986.55,09-25-2019,07:00:00,0.00,22.4,24.89,1017.12,000,92,10.00,21.0,0.00,22.0,0.0
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,980.41,09-25-2019,07:00:00,1.80,23.0,27.32,1016.62,000,97,6.00,22.5,0.00,23.0,0.0
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,986.40,09-25-2019,07:00:00,0.00,21.5,24.44,1016.89,000,95,2.00,20.7,0.00,20.8,0.0
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,1008.10,09-25-2019,07:00:00,0.00,24.0,26.01,1015.54,000,87,8.00,21.7,0.00,23.9,0.0
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,996.35,09-25-2019,07:00:00,0.00,23.7,22.64,1016.65,010,77,6.00,19.5,0.00,23.3,3.7
48353,LOEI,เลย,เลย,17.45000,101.73333,987.58,09-25-2019,07:00:00,0.00,22.5,23.86,1016.91,000,88,3.00,20.3,0.00,22.3,0.0
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,996.46,09-25-2019,07:00:00,0.00,23.4,20.81,1017.06,000,72,8.00,18.1,0.00,21.8,0.0
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,994.27,09-25-2019,07:00:00,0.00,21.5,23.51,1016.59,000,92,5.00,20.1,0.00,20.6,0.0
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,996.12,09-25-2019,07:00:00,0.00,22.8,23.61,1016.04,290,85,8.00,20.2,0.00,21.6,3.7
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,999.79,09-25-2019,07:00:00,0.00,23.3,21.80,1016.90,000,76,7.00,18.9,0.00,21.6,0.0
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,998.92,09-25-2019,07:00:00,0.00,22.1,23.95,1016.78,000,90,6.00,20.4,0.00,19.1,0.0
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,989.84,09-25-2019,07:00:00,0.00,24.5,20.82,1016.04,100,68,9.00,18.2,0.00,23.3,5.6
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,1008.93,09-25-2019,07:00:00,0.01,25.7,32.45,1014.79,000,98,4.00,25.4,0.00,24.7,0.0
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,1009.34,09-25-2019,07:00:00,0.00,25.0,30.85,1015.63,000,97,10.00,24.6,0.00,24.5,0.0
