WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,RelativeHumidity,WindSpeed,DewPoint,Rainfall24Hr,AirTemperature,MeanSeaLevelPressure,LandVisibility,VaporPressure,StationPressure,Rainfall
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,000,09-25-2019,10:00:00,72,0.0,22.5,0.00,28.0,1016.62,10.00,27.32,985.61,0.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,120,09-25-2019,10:00:00,72,18.5,13.3,0.00,18.4,1015.45,8.00,15.23,852.64,0.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,040,09-25-2019,10:00:00,57,5.6,18.3,0.00,27.7,1017.91,10.00,21.02,974.12,0.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,330,09-25-2019,10:00:00,63,11.1,19.3,0.00,27.0,1017.94,15.00,22.32,972.13,0.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,000,09-25-2019,10:00:00,69,0.0,22.1,0.00,28.3,1017.82,12.00,26.55,980.11,0.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,000,09-25-2019,10:00:00,67,0.0,21.3,0.00,28.0,1017.95,9.00,25.24,972.73,0.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,030,09-25-2019,10:00:00,63,5.6,20.6,0.00,28.3,1018.09,10.00,24.23,991.27,0.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,300,09-25-2019,10:00:00,64,7.4,22.5,0.00,30.0,1016.40,7.00,27.28,994.70,0.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,000,09-25-2019,10:00:00,69,0.0,22.7,0.00,29.0,1016.19,10.00,27.56,992.09,0.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,010,09-25-2019,10:00:00,63,3.7,21.2,0.50,29.0,1017.19,8.00,25.19,982.67,0.01
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,300,09-25-2019,10:00:00,61,9.3,21.3,0.50,29.5,1018.41,10.00,25.30,990.86,0.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,000,09-25-2019,10:00:00,69,0.0,22.0,0.00,28.2,1016.82,10.00,26.37,983.16,0.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,020,09-25-2019,10:00:00,68,3.7,23.8,0.00,30.4,1016.57,3.00,29.42,998.13,0.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,060,09-25-2019,10:00:00,60,7.4,20.1,0.00,28.8,1017.81,10.00,23.57,994.93,0.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,000,09-25-2019,10:00:00,62,0.0,20.5,0.00,28.5,1017.72,12.00,24.07,987.74,0.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,000,09-25-2019,10:00:00,80,0.0,23.0,1.80,26.8,1017.42,8.00,28.04,981.63,0.00
