WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,StationPressure,RelativeHumidity,WindSpeed,AirTemperature,LandVisibility,Rainfall24Hr,WindDirection,VaporPressure,DewPoint,MeanSeaLevelPressure,Rainfall
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,09-25-2019,16:00:00,980.49,46,0.0,33.5,12.00,0.00,000,23.87,20.3,1010.77,0.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,09-25-2019,16:00:00,850.25,77,0.0,19.7,8.00,0.00,000,17.56,15.5,1011.84,0.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,09-25-2019,16:00:00,970.24,51,5.6,30.9,10.00,0.00,010,22.61,19.5,1013.39,0.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,09-25-2019,16:00:00,968.09,47,0.0,30.0,15.00,0.00,000,19.86,17.4,1013.25,0.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,09-25-2019,16:00:00,975.83,51,0.0,32.3,12.00,0.00,000,24.85,21.0,1012.89,0.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,09-25-2019,16:00:00,968.62,62,0.0,30.0,8.00,0.00,000,26.21,21.9,1013.34,0.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,09-25-2019,16:00:00,986.80,54,5.6,32.4,10.00,0.00,100,26.12,21.8,1013.13,0.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,09-25-2019,16:00:00,991.33,61,3.7,32.3,7.00,0.00,080,29.26,23.7,1012.79,0.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,09-25-2019,16:00:00,987.34,48,0.0,34.3,10.00,0.00,000,25.93,21.7,1010.91,0.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,09-25-2019,16:00:00,978.50,53,0.0,31.4,9.00,0.50,000,24.53,20.8,1012.60,0.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,09-25-2019,16:00:00,986.92,66,9.3,31.0,10.00,0.50,040,29.48,23.8,1014.22,0.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,09-25-2019,16:00:00,979.53,60,0.0,31.0,10.00,0.00,000,26.73,22.2,1012.76,0.00
