WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,WindSpeed,MeanSeaLevelPressure,StationPressure,Rainfall,WindDirection,DewPoint,RelativeHumidity,VaporPressure,LandVisibility,AirTemperature
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.00,09-26-2019,22:00:00,0.0,1015.67,984.45,0.00,000,23.9,90,29.74,10.00,25.7
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,0.00,09-26-2019,22:00:00,14.8,1015.79,852.32,0.00,130,14.2,83,16.21,8.00,17.2
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.00,09-26-2019,22:00:00,0.0,1016.06,972.08,0.00,000,19.8,69,23.06,10.00,25.8
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.00,09-26-2019,22:00:00,0.0,1016.30,970.26,0.00,000,19.9,73,23.24,10.00,25.0
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.00,09-26-2019,22:00:00,0.0,1016.12,977.95,0.00,000,23.0,93,28.10,6.00,24.2
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.00,09-26-2019,22:00:00,0.0,1015.55,970.15,0.00,000,23.5,86,28.97,12.00,26.0
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.00,09-26-2019,22:00:00,0.0,1015.76,988.77,0.00,000,23.2,85,28.34,8.00,25.8
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.00,09-26-2019,22:00:00,1.9,1015.57,993.55,0.00,090,23.1,88,28.31,7.00,25.2
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,8.80,09-26-2019,22:00:00,0.0,1016.00,991.52,0.30,000,23.6,96,29.05,6.00,24.3
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.00,09-26-2019,22:00:00,0.0,1015.14,980.50,0.00,000,21.9,73,26.33,10.00,27.3
