WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,StationPressure,WindDirection,DewPoint,Rainfall24Hr,WindSpeed,RelativeHumidity,LandVisibility,Rainfall,MeanSeaLevelPressure,VaporPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,23.5,09-27-2019,04:00:00,985.28,350,22.8,12.30,3.7,96,6.00,12.30,1016.76,27.66
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,23.4,09-27-2019,04:00:00,971.81,000,20.6,0.00,0.0,85,10.00,0.00,1016.14,24.31
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,23.0,09-27-2019,04:00:00,969.86,000,22.1,3.20,0.0,95,7.00,3.20,1016.19,26.58
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,23.4,09-27-2019,04:00:00,977.92,000,23.2,0.00,0.0,99,5.00,0.00,1016.19,28.51
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,23.7,09-27-2019,04:00:00,970.37,000,23.0,0.50,0.0,96,10.00,0.50,1016.14,28.01
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,24.0,09-27-2019,04:00:00,988.76,000,22.5,0.00,0.0,91,5.00,0.00,1015.91,27.25
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,24.1,09-27-2019,04:00:00,992.41,060,22.8,0.00,1.9,92,5.00,0.00,1014.49,27.68
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,24.0,09-27-2019,04:00:00,990.83,000,23.3,8.80,0.0,96,5.00,0.00,1015.31,28.53
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,23.2,09-27-2019,04:00:00,980.35,350,21.7,3.50,7.4,91,7.00,3.50,1015.47,25.92
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,23.5,09-27-2019,04:00:00,987.92,000,22.8,0.00,0.0,96,10.00,0.00,1015.94,27.66
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,24.6,09-27-2019,04:00:00,981.52,000,22.4,0.00,0.0,87,10.00,0.00,1015.54,27.01
48331,NAN,น่าน,น่าน,18.77972,100.77778,24.1,09-27-2019,04:00:00,992.05,000,22.1,0.00,0.0,89,10.00,0.00,1015.24,26.67
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,23.0,09-27-2019,04:00:00,985.17,000,22.1,0.01,0.0,95,7.00,0.00,1015.64,26.58
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,23.5,09-27-2019,04:00:00,978.51,000,22.8,0.00,0.0,96,7.00,0.00,1014.59,27.66
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,22.0,09-27-2019,04:00:00,984.55,000,21.7,0.00,0.0,98,1.00,0.00,1014.93,25.93
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,25.4,09-27-2019,04:00:00,1006.39,000,22.4,0.00,0.0,84,8.00,0.00,1013.79,27.12
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,25.1,09-27-2019,04:00:00,994.79,080,22.1,0.00,3.7,84,4.00,0.00,1014.95,26.60
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,24.2,09-27-2019,04:00:00,994.48,000,21.6,0.00,0.0,86,5.00,0.00,1014.98,25.84
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,22.1,09-27-2019,04:00:00,993.78,000,20.6,0.00,0.0,91,6.00,0.00,1016.05,24.18
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,23.0,09-27-2019,04:00:00,995.02,000,20.7,0.00,0.0,87,10.00,0.00,1014.91,24.39
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,23.0,09-27-2019,04:00:00,998.28,000,19.9,0.00,0.0,83,8.00,0.00,1015.38,23.21
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,22.5,09-27-2019,04:00:00,997.77,000,21.0,0.00,0.0,91,7.00,0.00,1015.58,24.80
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,25.5,09-27-2019,04:00:00,987.49,000,20.1,0.00,0.0,72,8.00,0.00,1013.54,23.55
