WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,StationPressure,RelativeHumidity,MeanSeaLevelPressure,WindSpeed,Rainfall24Hr,LandVisibility,DewPoint,WindDirection,VaporPressure,AirTemperature
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,1.00,09-27-2019,16:00:00,982.00,86,1013.02,11.1,31.30,10.00,24.2,130,30.18,26.8
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,0.00,09-27-2019,16:00:00,850.14,83,1012.24,5.6,0.00,8.00,15.8,120,17.89,18.8
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.00,09-27-2019,16:00:00,970.11,65,1013.72,5.6,0.01,10.00,20.6,140,24.22,27.7
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.00,09-27-2019,16:00:00,968.09,71,1013.60,7.4,3.40,12.00,21.9,220,26.26,27.7
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.00,09-27-2019,16:00:00,976.39,71,1013.90,0.0,2.30,10.00,23.1,000,28.27,28.8
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.00,09-27-2019,16:00:00,968.82,73,1014.00,5.6,4.10,10.00,21.8,280,26.06,27.0
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.00,09-27-2019,16:00:00,987.63,68,1014.29,3.7,16.30,12.00,22.5,040,27.30,29.0
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.00,09-27-2019,16:00:00,991.41,73,1013.20,7.4,11.70,7.00,22.4,070,27.04,27.7
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.00,09-27-2019,16:00:00,988.50,77,1012.60,0.0,8.80,10.00,23.6,000,29.19,28.0
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.00,09-27-2019,16:00:00,979.15,65,1013.59,3.7,14.20,10.00,21.5,360,25.70,28.7
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.00,09-27-2019,16:00:00,986.26,72,1013.75,0.0,0.00,10.00,23.3,000,28.54,28.8
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.00,09-27-2019,16:00:00,980.31,77,1014.01,5.6,0.10,8.00,22.6,090,27.36,27.0
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.00,09-27-2019,16:00:00,994.22,72,1012.62,1.9,0.00,5.00,24.3,170,30.39,29.9
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.00,09-27-2019,16:00:00,990.84,65,1013.62,7.4,4.50,10.00,21.6,350,25.80,28.9
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.00,09-27-2019,16:00:00,983.83,66,1013.74,3.7,7.50,12.00,21.2,040,25.16,28.1
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.00,09-27-2019,16:00:00,978.28,78,1013.88,0.0,0.00,7.00,23.2,000,28.35,27.4
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.00,09-27-2019,16:00:00,982.19,60,1011.49,3.7,0.00,10.00,23.3,100,28.66,32.0
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.01,09-27-2019,16:00:00,1005.80,72,1013.12,0.0,0.01,9.00,22.6,000,27.42,28.2
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.00,09-27-2019,16:00:00,992.56,52,1012.15,11.1,0.00,6.00,21.9,030,26.28,33.2
48353,LOEI,เลย,เลย,17.45000,101.73333,0.00,09-27-2019,16:00:00,983.78,50,1012.05,5.6,0.00,8.00,20.5,060,24.05,32.3
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,0.00,09-27-2019,16:00:00,992.44,43,1012.32,7.4,0.00,7.00,18.5,040,21.30,32.8
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.00,09-27-2019,16:00:00,990.80,51,1012.30,3.7,0.00,7.00,20.2,070,23.66,31.5
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,0.00,09-27-2019,16:00:00,992.86,50,1012.10,9.3,0.00,12.00,20.3,330,23.87,32.2
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.00,09-27-2019,16:00:00,995.93,42,1012.42,7.4,0.00,10.00,18.3,100,21.06,33.1
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.00,09-27-2019,16:00:00,995.21,48,1012.41,3.7,0.00,10.00,19.8,090,23.09,32.2
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.00,09-27-2019,16:00:00,985.37,46,1010.81,11.1,0.00,8.00,19.0,060,21.96,32.0
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.00,09-27-2019,16:00:00,1007.29,78,1013.09,14.8,0.00,8.00,24.1,330,30.04,28.3
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,1.00,09-27-2019,16:00:00,1006.35,83,1012.57,7.4,1.00,6.00,24.3,270,30.42,27.5
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.00,09-27-2019,16:00:00,995.28,44,1011.38,0.0,0.00,12.00,20.3,000,23.85,34.5
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,6.60,09-27-2019,16:00:00,988.44,81,1010.81,3.7,6.60,10.00,23.8,250,29.50,27.3
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.00,09-27-2019,16:00:00,999.15,77,1013.57,0.0,4.80,6.00,23.8,000,29.49,28.3
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.00,09-27-2019,16:00:00,996.74,71,1013.12,0.0,0.00,8.00,22.9,000,28.00,28.8
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,3.70,09-27-2019,16:00:00,1006.74,66,1011.94,5.6,3.70,10.00,23.5,240,28.86,30.4
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.00,09-27-2019,16:00:00,996.98,47,1009.88,0.0,0.00,12.00,21.9,000,26.19,35.0
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.00,09-27-2019,16:00:00,1002.91,86,1012.27,5.6,5.70,8.00,24.7,300,31.14,27.3
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,0.00,09-27-2019,16:00:00,990.41,47,1011.77,7.4,0.00,9.00,20.3,030,23.74,33.0
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.00,09-27-2019,16:00:00,994.15,58,1011.37,11.1,0.00,10.00,23.9,110,29.66,33.2
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,0.00,09-27-2019,16:00:00,995.57,50,1011.18,7.4,0.00,13.00,20.9,060,24.69,32.5
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.00,09-27-2019,16:00:00,992.39,56,1010.96,0.0,0.00,10.00,23.4,000,28.72,33.3
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.00,09-27-2019,16:00:00,961.00,68,1012.27,0.0,0.00,10.00,20.6,000,24.29,27.0
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,0.00,09-27-2019,16:00:00,1007.17,60,1011.07,9.3,0.00,3.00,24.4,050,30.53,33.2
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,0.80,09-27-2019,16:00:00,918.01,85,1013.10,9.3,0.80,5.50,20.6,070,24.31,23.4
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.00,09-27-2019,16:00:00,996.23,50,1011.99,0.0,0.00,10.00,20.9,000,24.71,32.8
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.00,09-27-2019,16:00:00,1007.28,53,1011.24,7.4,0.00,7.00,23.2,050,28.35,34.1
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.00,09-27-2019,16:00:00,1001.74,45,1012.24,0.0,0.00,10.00,20.0,000,23.33,33.5
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.00,09-27-2019,16:00:00,1009.32,48,1011.21,5.6,0.00,14.00,20.9,050,24.67,33.5
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.00,09-27-2019,16:00:00,991.14,45,1011.74,9.3,0.00,8.00,18.9,060,21.80,32.2
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,0.00,09-27-2019,16:00:00,993.98,48,1011.44,9.3,0.00,10.00,19.4,060,22.56,31.9
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,0.00,09-27-2019,16:00:00,995.36,44,1011.26,9.3,0.00,10.00,19.2,080,22.27,33.2
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,0.00,09-27-2019,16:00:00,997.27,56,1011.12,11.1,0.00,10.00,22.3,020,26.91,32.1
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.00,09-27-2019,16:00:00,997.12,58,1011.74,7.4,0.00,10.00,23.3,320,28.65,32.7
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,0.00,09-27-2019,16:00:00,997.69,62,1012.20,9.3,0.00,10.00,23.7,020,29.31,31.9
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.00,09-27-2019,16:00:00,1008.13,48,1011.09,0.0,0.00,10.00,21.9,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",26.21,34.3
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.00,09-27-2019,16:00:00,1003.04,42,1010.83,9.3,0.00,10.00,19.5,050,22.68,34.3
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.00,09-27-2019,16:00:00,1009.71,54,1010.80,11.1,0.00,9.00,23.6,030,29.13,34.2
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.00,09-27-2019,16:00:00,997.65,66,1012.17,5.6,0.00,9.00,24.9,060,31.52,32.0
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,0.00,09-27-2019,16:00:00,877.26,74,1011.36,3.7,0.00,8.00,18.2,090,20.91,23.0
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.00,09-27-2019,16:00:00,1005.61,47,1011.40,5.6,0.00,9.00,20.2,060,23.66,33.1
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,0.00,09-27-2019,16:00:00,1009.88,58,1010.67,9.3,1.80,8.00,25.3,050,32.26,34.7
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,0.00,09-27-2019,16:00:00,1010.51,64,1010.95,22.2,0.00,10.00,24.7,140,31.11,32.5
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.00,09-27-2019,16:00:00,999.44,55,1010.52,0.0,0.00,6.00,23.9,000,29.71,34.2
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.00,09-27-2019,16:00:00,1010.28,48,1011.28,5.6,0.00,12.00,21.5,040,25.63,34.0
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,0.00,09-27-2019,16:00:00,1009.36,43,1011.15,13.0,0.00,10.00,19.7,020,23.01,33.9
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.00,09-27-2019,16:00:00,1011.19,55,1011.95,0.0,0.00,9.00,22.9,000,27.84,33.0
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,0.00,09-27-2019,16:00:00,1010.15,49,1010.84,7.4,0.00,8.00,21.4,110,25.51,33.8
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.00,09-27-2019,16:00:00,1010.18,51,1010.87,5.6,0.00,10.00,22.8,350,27.73,34.5
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.00,09-27-2019,16:00:00,990.66,57,1011.58,9.3,0.00,9.00,22.3,070,26.89,31.8
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,0.00,09-27-2019,16:00:00,994.94,61,1011.48,3.7,0.00,9.00,23.1,040,28.23,31.5
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,0.00,09-27-2019,16:00:00,995.92,58,1012.18,3.7,0.00,14.00,22.3,350,26.97,31.7
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.00,09-27-2019,16:00:00,989.77,55,1011.29,9.3,0.00,8.00,22.9,060,27.84,33.0
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,0.00,09-27-2019,16:00:00,968.44,52,1011.33,14.8,0.00,10.00,19.7,060,22.95,30.8
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.00,09-27-2019,16:00:00,990.98,64,1011.37,5.6,0.00,10.00,23.1,010,28.26,30.8
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,0.00,09-27-2019,16:00:00,992.88,67,1013.62,14.8,0.00,9.00,23.2,030,28.37,30.0
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,0.00,09-27-2019,16:00:00,1010.51,72,1010.94,1.9,13.00,10.00,22.5,350,27.32,28.0
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.00,09-27-2019,16:00:00,1009.22,64,1010.61,0.0,0.00,11.00,25.8,000,33.17,33.6
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.00,09-27-2019,16:00:00,1006.46,70,1011.36,7.4,0.00,10.00,23.9,030,29.66,30.1
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.00,09-27-2019,16:00:00,1007.69,47,1010.92,9.3,0.00,8.00,21.2,080,25.19,34.2
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.00,09-27-2019,16:00:00,1010.12,53,1011.20,0.0,2.50,10.00,22.6,000,27.34,33.6
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,0.00,09-27-2019,16:00:00,1010.86,64,1011.15,9.3,0.01,10.00,23.9,280,29.63,31.5
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,0.01,09-27-2019,16:00:00,1010.50,61,1011.18,5.6,0.01,9.00,24.3,270,30.36,32.7
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,0.00,09-27-2019,16:00:00,1010.89,73,1011.38,3.7,0.00,10.00,24.9,270,31.48,30.3
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,0.00,09-27-2019,16:00:00,1010.23,70,1011.63,20.4,0.00,10.00,24.5,250,30.74,30.5
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,0.00,09-27-2019,16:00:00,1009.50,78,1011.16,27.8,0.00,7.00,25.8,150,33.17,30.0
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.00,09-27-2019,16:00:00,1004.96,59,1012.85,0.0,0.00,10.00,24.1,000,29.95,33.2
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,4.70,09-27-2019,16:00:00,1010.68,90,1010.96,3.7,4.70,10.00,25.5,150,32.61,27.2
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,13.80,09-27-2019,16:00:00,1007.95,92,1011.12,5.6,13.80,10.00,23.5,260,29.00,25.0
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,13.80,09-27-2019,16:00:00,1004.76,92,1011.77,5.6,25.00,10.00,24.0,210,29.91,25.5
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.00,09-27-2019,16:00:00,1005.90,74,1011.44,7.4,0.20,10.00,26.2,200,34.00,31.5
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,13.40,09-27-2019,16:00:00,1002.70,96,1012.08,13.0,13.40,9.00,25.5,270,32.59,26.2
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,4.50,09-27-2019,16:00:00,1010.73,91,1012.01,3.7,4.50,10.00,23.5,320,28.92,25.1
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,0.00,09-27-2019,16:00:00,1010.43,67,1010.85,3.7,3.10,11.00,25.8,160,33.22,32.8
