WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,WindSpeed,Rainfall,DewPoint,MeanSeaLevelPressure,Rainfall24Hr,VaporPressure,LandVisibility,StationPressure,AirTemperature,RelativeHumidity
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,000,09-27-2019,22:00:00,0.0,0.00,22.6,1016.15,31.30,27.42,10.00,984.72,23.8,93
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,130,09-27-2019,22:00:00,14.8,0.00,16.2,1015.55,0.00,18.35,8.00,851.77,16.5,98
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,000,09-27-2019,22:00:00,0.0,0.00,20.7,1016.47,0.01,24.47,10.00,972.09,23.2,86
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,000,09-27-2019,22:00:00,0.0,0.00,21.3,1016.67,3.40,25.36,8.00,970.32,23.0,90
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,000,09-27-2019,22:00:00,0.0,0.00,22.9,1016.77,2.30,27.91,6.00,978.46,23.2,98
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,000,09-27-2019,22:00:00,0.0,0.00,22.0,1016.61,4.10,26.42,8.00,970.79,23.5,91
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,000,09-27-2019,22:00:00,0.0,0.00,22.7,1016.99,16.30,27.59,8.00,989.81,23.9,93
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,000,09-27-2019,22:00:00,0.0,0.00,23.5,1015.71,11.70,28.89,10.00,993.63,24.5,94
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,000,09-27-2019,22:00:00,0.0,0.00,24.1,1015.68,0.00,30.05,8.00,991.27,25.0,95
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,000,09-27-2019,22:00:00,0.0,0.00,22.1,1016.35,14.20,26.60,10.00,981.38,24.8,85
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,000,09-27-2019,22:00:00,0.0,0.00,23.6,1015.65,0.00,29.16,10.00,987.75,24.8,93
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,000,09-27-2019,22:00:00,0.0,0.00,22.7,1016.03,1.80,27.51,10.00,981.94,24.0,92
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,160,09-27-2019,22:00:00,3.7,0.00,23.4,1015.18,0.00,28.74,4.00,996.44,25.0,91
48331,NAN,น่าน,น่าน,18.77972,100.77778,000,09-27-2019,22:00:00,0.0,0.00,22.5,1016.00,4.50,27.17,10.00,992.80,24.1,91
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,000,09-27-2019,22:00:00,0.0,0.00,20.9,1016.32,7.50,24.72,8.00,985.79,22.6,90
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,000,09-27-2019,22:00:00,0.0,0.00,21.6,1016.13,1.20,25.76,6.00,979.91,22.8,93
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,000,09-27-2019,22:00:00,0.0,0.00,20.5,1015.16,0.00,24.06,6.00,984.95,23.7,82
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,000,09-27-2019,22:00:00,0.0,0.00,23.4,1014.81,0.60,28.74,8.00,1007.40,25.0,91
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,000,09-27-2019,22:00:00,0.0,0.00,24.0,1014.77,0.00,29.87,5.00,994.83,28.5,77
48353,LOEI,เลย,เลย,17.45000,101.73333,280,09-27-2019,22:00:00,3.7,0.00,21.2,1014.27,0.00,25.19,7.00,985.26,25.0,80
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,000,09-27-2019,22:00:00,0.0,0.00,22.2,1014.86,0.00,26.80,5.00,994.49,26.1,79
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,000,09-27-2019,22:00:00,0.0,0.00,21.9,1015.53,0.00,26.28,6.00,993.52,25.5,81
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,120,09-27-2019,22:00:00,3.7,0.00,20.4,1015.19,0.00,23.96,10.00,995.53,26.5,69
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,080,09-27-2019,22:00:00,3.7,0.00,17.8,1015.84,0.00,20.41,10.00,998.96,27.0,57
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,000,09-27-2019,22:00:00,0.0,0.00,20.3,1015.84,0.00,23.80,10.00,998.18,25.2,74
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,000,09-27-2019,22:00:00,0.0,0.00,20.2,1014.09,0.00,23.63,8.00,988.02,25.4,73
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,000,09-27-2019,22:00:00,0.0,0.00,24.7,1014.84,0.00,31.11,8.00,1008.98,26.0,93
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,000,09-27-2019,22:00:00,0.0,0.00,24.0,1015.21,1.00,29.91,6.00,1008.94,25.5,92
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,000,09-27-2019,22:00:00,0.0,0.00,22.3,1014.85,0.00,26.95,10.00,998.31,27.5,73
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,000,09-27-2019,22:00:00,0.0,0.00,23.5,1013.72,6.60,29.00,10.00,991.11,25.0,92
48376,TAK,ตาก,ตาก,16.87833,99.14333,000,09-27-2019,22:00:00,0.0,0.00,23.6,1015.92,4.80,29.11,6.00,1001.34,25.5,89
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,000,09-27-2019,22:00:00,0.0,0.00,22.9,1015.52,0.00,27.86,8.00,998.87,24.5,91
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,030,09-27-2019,22:00:00,3.7,0.00,23.9,1015.04,6.00,29.68,10.00,1009.75,26.1,88
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,000,09-27-2019,22:00:00,0.0,2.20,24.4,1013.01,2.20,30.59,10.00,999.70,26.3,89
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,280,09-27-2019,22:00:00,3.7,0.00,23.7,1014.71,5.70,29.36,6.00,1005.26,25.2,92
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,030,09-27-2019,22:00:00,3.7,0.00,20.9,1014.51,0.00,24.64,7.00,992.73,27.8,66
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,000,09-27-2019,22:00:00,0.0,0.00,23.7,1013.98,0.00,29.25,7.00,996.32,26.3,86
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,040,09-27-2019,22:00:00,5.6,0.00,20.4,1014.60,0.00,23.96,10.00,998.62,26.5,69
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,000,09-27-2019,22:00:00,0.0,0.00,22.7,1013.88,0.00,27.62,8.00,994.75,25.1,87
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,000,09-27-2019,22:00:00,0.0,0.00,20.8,1015.86,0.00,24.56,7.00,963.70,22.8,89
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,000,09-27-2019,22:00:00,0.0,0.00,24.1,1014.13,0.00,30.10,3.00,1010.15,26.9,85
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,000,09-27-2019,22:00:00,0.0,0.00,19.4,1016.39,0.80,22.52,3.00,920.01,20.2,95
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,000,09-27-2019,22:00:00,0.0,0.00,21.8,1014.66,0.00,26.05,6.00,998.54,26.7,74
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,000,09-27-2019,22:00:00,0.0,0.00,24.9,1014.77,0.00,31.44,6.00,1010.72,27.6,85
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,000,09-27-2019,22:00:00,0.0,0.00,20.7,1015.32,0.00,24.37,7.00,1004.52,26.0,73
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,310,09-27-2019,22:00:00,3.7,0.00,23.9,1015.01,0.00,29.60,9.00,1013.07,27.5,81
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,000,09-27-2019,22:00:00,0.0,0.00,21.6,1014.67,0.00,25.79,8.00,993.61,26.4,75
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,020,09-27-2019,22:00:00,5.6,0.00,23.2,1014.19,0.00,28.44,10.00,996.34,26.0,85
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,000,09-27-2019,22:00:00,0.0,0.00,22.5,1014.04,0.00,27.29,10.00,997.79,27.4,75
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,040,09-27-2019,22:00:00,5.6,0.00,18.8,1013.97,0.00,21.67,10.00,999.85,27.2,60
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,350,09-27-2019,22:00:00,3.7,0.00,19.4,1014.61,0.00,22.57,10.00,999.67,27.0,63
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,050,09-27-2019,22:00:00,5.6,0.00,23.8,1014.13,0.00,29.46,10.00,999.41,28.0,78
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",09-27-2019,22:00:00,0.0,0.00,24.6,1013.80,0.00,30.84,10.00,1010.77,28.0,82
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,000,09-27-2019,22:00:00,0.0,0.00,23.4,1013.97,0.00,28.74,8.00,1005.95,26.6,83
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,040,09-27-2019,22:00:00,3.7,0.00,23.8,1013.51,0.00,29.50,8.00,1012.39,27.3,81
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,100,09-27-2019,22:00:00,3.7,0.00,26.2,1012.94,0.00,33.99,8.00,998.26,29.0,85
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,080,09-27-2019,22:00:00,5.6,0.00,17.3,1015.75,0.00,19.74,8.00,879.63,19.6,87
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,000,09-27-2019,22:00:00,0.0,0.00,22.5,1014.44,0.00,27.29,8.00,1008.48,25.5,84
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,050,09-27-2019,22:00:00,3.7,0.00,24.7,1014.31,1.80,31.13,8.00,1013.51,29.0,78
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,000,09-27-2019,22:00:00,0.0,0.00,25.5,1013.11,0.00,32.67,10.00,1012.66,28.5,84
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,000,09-27-2019,22:00:00,0.0,0.00,23.7,1014.11,0.00,29.33,4.00,1002.70,26.2,86
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,000,09-27-2019,22:00:00,0.0,0.00,22.8,1013.83,0.00,27.71,10.00,1012.82,28.5,71
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,080,09-27-2019,22:00:00,3.7,0.00,21.3,1013.87,0.00,25.30,8.00,1012.04,29.5,61
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,000,09-27-2019,22:00:00,0.0,0.00,23.3,1013.55,0.00,28.61,6.00,1012.78,27.4,78
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,170,09-27-2019,22:00:00,3.7,0.00,24.7,1013.50,0.00,31.09,9.00,1012.80,28.7,79
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,090,09-27-2019,22:00:00,3.7,0.00,25.6,1013.32,0.00,32.75,7.00,1012.62,29.1,81
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,000,09-27-2019,22:00:00,0.0,0.00,22.7,1014.42,0.00,27.63,8.00,993.13,27.3,76
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,000,09-27-2019,22:00:00,0.0,0.00,23.8,1014.02,0.00,29.50,7.00,997.21,27.3,81
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,000,09-27-2019,22:00:00,0.0,0.00,24.1,1014.99,0.00,30.03,6.00,998.38,26.0,89
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,000,09-27-2019,22:00:00,0.0,0.00,22.6,1014.04,0.00,27.36,6.00,992.03,27.0,77
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,070,09-27-2019,22:00:00,11.1,0.00,20.2,1014.24,0.00,23.71,9.00,970.54,25.9,71
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,000,09-27-2019,22:00:00,0.0,0.00,23.6,1014.59,0.00,29.19,9.00,993.77,25.4,90
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,000,09-27-2019,22:00:00,0.0,0.00,24.4,1015.75,0.00,30.54,6.00,994.58,24.4,100
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,000,09-27-2019,22:00:00,0.0,0.00,24.7,1013.17,0.00,31.11,10.00,1012.74,28.0,82
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,000,09-27-2019,22:00:00,0.0,0.00,25.1,1013.24,0.00,31.89,6.00,1011.81,27.4,87
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,000,09-27-2019,22:00:00,0.0,0.00,24.8,1013.61,15.00,31.25,7.00,1008.62,25.5,96
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,000,09-27-2019,22:00:00,0.0,0.00,22.7,1013.55,0.00,27.56,8.00,1010.26,29.0,69
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,000,09-27-2019,22:00:00,0.0,0.00,26.2,1013.61,2.50,33.99,10.00,1012.50,27.6,92
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,000,09-27-2019,22:00:00,0.0,0.00,25.9,1013.72,0.01,33.41,10.00,1013.42,29.0,83
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,000,09-27-2019,22:00:00,0.0,0.00,25.2,1013.89,0.00,32.10,10.00,1013.40,28.5,83
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,050,09-27-2019,22:00:00,9.3,0.00,24.7,1013.79,0.01,31.06,10.00,1012.38,28.4,80
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,000,09-27-2019,22:00:00,0.0,0.00,24.8,1015.18,0.00,31.22,10.00,1007.09,26.2,92
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,000,09-27-2019,22:00:00,0.0,0.00,25.6,1013.36,4.70,32.84,6.00,1013.08,27.6,89
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,000,09-27-2019,22:00:00,0.0,0.00,25.0,1013.21,14.30,31.65,10.00,1010.05,26.0,94
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,000,09-27-2019,22:00:00,0.0,0.00,25.3,1013.58,13.80,32.20,10.00,1006.57,26.0,96
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,000,09-27-2019,22:00:00,0.0,0.00,24.6,1013.97,18.00,31.00,10.00,1008.31,25.8,93
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,000,09-27-2019,22:00:00,0.0,0.00,25.6,1014.17,4.50,32.76,10.00,1012.89,26.0,98
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,000,09-27-2019,22:00:00,0.0,0.00,26.1,1013.20,3.10,33.86,11.00,1012.76,{'@attributes': {'Unit': 'celcius'}},86
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,000,09-27-2019,22:00:00,0.0,0.00,24.1,1014.34,23.10,30.05,8.00,1001.92,25.0,95
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,280,09-27-2019,22:00:00,3.7,0.00,25.3,1013.67,6.80,32.25,7.00,1012.95,27.3,89
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,360,09-27-2019,22:00:00,7.4,0.00,24.0,1013.85,3.10,29.79,6.00,1011.38,25.0,94
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,000,09-27-2019,22:00:00,0.0,0.00,24.6,1013.35,0.10,30.84,8.00,1012.83,26.0,92
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,050,09-27-2019,22:00:00,1.9,0.00,23.9,1013.51,1.40,29.70,8.00,1008.29,25.1,93
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,000,09-27-2019,22:00:00,0.0,0.00,25.4,1013.35,0.00,32.35,7.00,1012.94,28.2,85
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,000,09-27-2019,22:00:00,0.0,0.00,25.4,1013.31,0.00,32.45,8.00,1010.53,27.4,89
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,360,09-27-2019,22:00:00,3.7,0.00,23.7,1013.77,5.50,29.38,10.00,1012.97,25.5,90
48501,TRAD,ตราด,ตราด,11.76667,102.88333,080,09-27-2019,22:00:00,5.6,0.00,24.9,1012.82,0.00,31.41,6.00,1012.36,26.3,92
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,000,09-27-2019,22:00:00,0.0,0.00,23.5,1013.58,0.70,28.92,8.00,1012.89,25.1,91
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,000,09-27-2019,22:00:00,0.0,0.00,23.7,1013.79,4.60,29.36,7.00,1012.24,25.2,92
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,360,09-27-2019,22:00:00,3.7,0.00,23.1,1012.87,0.40,28.18,10.00,1011.95,26.0,84
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,350,09-27-2019,22:00:00,5.6,0.00,25.3,1013.68,1.00,32.21,10.00,1012.99,27.0,90
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,330,09-27-2019,22:00:00,1.9,0.00,24.6,1013.78,0.00,30.86,10.00,1012.98,26.3,90
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,000,09-27-2019,22:00:00,0.0,0.00,26.0,1013.52,0.00,33.62,10.00,1012.88,27.0,94
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,000,09-27-2019,22:00:00,0.0,0.00,25.9,1013.14,0.00,33.42,10.00,1012.73,26.9,94
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,000,09-27-2019,22:00:00,0.0,0.00,24.2,1015.59,0.01,30.15,5.00,1011.32,25.2,94
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,000,09-27-2019,22:00:00,0.0,0.00,24.1,1013.11,3.20,30.09,10.00,1011.48,25.6,92
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,000,09-27-2019,22:00:00,0.0,0.00,24.6,1013.09,0.00,31.00,8.00,1009.59,25.8,93
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,000,09-27-2019,22:00:00,0.0,0.00,24.9,1013.79,0.00,31.49,10.00,1012.43,27.2,87
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,000,09-27-2019,22:00:00,0.0,0.00,24.1,1012.46,25.90,30.03,10.00,1011.56,24.7,97
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,000,09-27-2019,22:00:00,0.0,0.00,23.4,1012.88,0.00,28.74,10.00,1009.28,25.0,91
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,000,09-27-2019,22:00:00,0.0,0.00,25.1,1012.79,4.60,31.77,10.00,1012.35,27.2,88
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,000,09-27-2019,22:00:00,0.0,0.00,24.4,1012.11,0.01,30.57,10.00,1011.11,26.0,91
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,000,09-27-2019,22:00:00,0.0,0.00,23.9,1012.89,0.00,29.72,10.00,1012.07,26.7,85
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,040,09-27-2019,22:00:00,5.6,0.00,23.9,1013.06,0.00,29.63,10.00,1011.24,27.8,79
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,060,09-27-2019,22:00:00,5.6,0.01,24.8,1013.43,0.30,31.31,10.00,1012.67,28.1,82
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,000,09-27-2019,22:00:00,0.0,0.00,24.7,1013.90,0.00,31.05,10.00,1009.87,26.4,90
48570,SATUN,สตูล,สตูล,6.65000,100.08333,000,09-27-2019,22:00:00,0.0,0.00,24.6,1014.15,0.00,30.84,10.00,1013.46,26.0,92
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,090,09-27-2019,22:00:00,5.6,0.00,24.2,1013.30,0.00,30.23,10.00,1012.18,27.4,83
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,000,09-27-2019,22:00:00,0.0,0.00,24.6,1013.80,1.60,31.00,10.00,1010.86,26.8,88
