WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,WindSpeed,WindDirection,RelativeHumidity,DewPoint,VaporPressure,MeanSeaLevelPressure,AirTemperature,LandVisibility,StationPressure,Rainfall24Hr
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.00,09-28-2019,04:00:00,0.0,000,94,22.1,26.66,1015.01,23.2,5.00,983.56,19.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,0.00,09-28-2019,04:00:00,9.3,110,97,15.8,17.92,1013.03,16.3,8.00,849.55,0.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.00,09-28-2019,04:00:00,0.0,000,94,20.2,23.67,1016.14,21.3,.40,971.49,0.01
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.00,09-28-2019,04:00:00,0.0,000,95,19.7,22.95,1016.25,20.5,4.00,969.53,0.20
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.00,09-28-2019,04:00:00,0.0,000,99,20.2,23.72,1016.21,20.4,4.00,977.56,2.30
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.00,09-28-2019,04:00:00,0.0,000,95,21.7,26.01,1015.75,22.5,8.00,969.81,3.60
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.00,09-28-2019,04:00:00,0.0,000,95,21.2,25.21,1016.25,22.0,6.00,988.91,16.30
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.00,09-28-2019,04:00:00,0.0,000,98,22.7,27.57,1014.60,23.0,8.00,992.44,11.70
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.00,09-28-2019,04:00:00,0.0,000,97,23.0,28.17,1014.49,23.5,6.00,989.99,0.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.00,09-28-2019,04:00:00,0.0,000,86,21.4,25.51,1015.07,24.0,10.00,980.05,10.70
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.00,09-28-2019,04:00:00,0.0,000,96,22.8,27.66,1015.26,23.5,10.00,987.25,0.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.00,09-28-2019,04:00:00,0.0,000,94,22.7,27.50,1015.42,23.7,10.00,981.31,1.80
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.00,09-28-2019,04:00:00,1.9,180,96,22.2,26.83,1014.53,23.0,4.00,995.67,0.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.00,09-28-2019,04:00:00,0.0,000,96,21.5,25.61,1015.38,22.1,10.00,992.04,4.50
