WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,DewPoint,StationPressure,WindSpeed,LandVisibility,VaporPressure,Rainfall24Hr,AirTemperature,Rainfall,WindDirection,RelativeHumidity,MeanSeaLevelPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,09-28-2019,10:00:00,22.8,985.21,0.0,10.00,27.77,1.80,26.5,0.00,000,80,1016.36
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,09-28-2019,10:00:00,16.4,852.27,9.3,8.00,18.64,0.00,17.9,0.00,200,91,1015.31
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,09-28-2019,10:00:00,21.7,973.17,5.6,12.00,25.91,0.00,27.5,0.00,010,71,1016.95
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,09-28-2019,10:00:00,22.1,971.19,7.4,8.00,26.63,0.00,26.0,0.00,360,79,1017.11
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,09-28-2019,10:00:00,23.2,979.12,0.0,10.00,28.48,0.10,25.0,0.00,000,90,1017.22
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,09-28-2019,10:00:00,22.4,971.93,5.6,7.00,27.05,0.00,25.8,0.00,250,81,1017.45
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,09-28-2019,10:00:00,21.6,990.43,3.7,9.00,25.87,0.10,26.0,0.00,160,77,1017.44
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,09-28-2019,10:00:00,23.3,993.99,1.9,5.00,28.55,0.01,27.8,0.00,060,76,1015.83
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,09-28-2019,10:00:00,23.1,991.82,0.0,10.00,28.26,0.00,27.5,0.00,000,77,1016.04
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,09-28-2019,10:00:00,21.7,982.12,0.0,8.00,25.87,2.20,26.3,0.00,000,76,1016.94
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,09-28-2019,10:00:00,22.6,989.20,0.0,10.00,27.44,0.00,28.5,0.00,000,71,1016.80
