WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,WindSpeed,Rainfall24Hr,MeanSeaLevelPressure,VaporPressure,WindDirection,LandVisibility,AirTemperature,DewPoint,RelativeHumidity,StationPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.00,09-28-2019,13:00:00,0.0,1.00,1013.03,30.61,000,12.00,31.0,24.4,68,982.43
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,0.00,09-28-2019,13:00:00,9.3,0.00,1014.75,19.28,180,8.00,18.1,16.9,93,851.90
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.00,09-28-2019,13:00:00,9.3,0.00,1013.70,24.15,070,10.00,30.9,20.5,54,970.54
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.00,09-28-2019,13:00:00,3.7,0.00,1013.62,24.48,080,9.00,30.5,20.8,56,968.51
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.00,09-28-2019,13:00:00,0.0,0.00,1013.02,27.44,000,10.00,28.5,22.6,71,975.51
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.00,09-28-2019,13:00:00,0.0,0.00,1014.73,26.21,000,10.00,30.0,21.9,62,969.95
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.00,09-28-2019,13:00:00,3.7,0.00,1014.24,27.68,040,10.00,31.5,22.8,60,987.80
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.00,09-28-2019,13:00:00,1.9,0.00,1013.56,30.14,050,7.00,30.2,24.2,70,991.94
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.00,09-28-2019,13:00:00,0.0,0.00,1012.50,29.07,000,10.00,31.5,23.6,63,988.67
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.00,09-28-2019,13:00:00,3.7,0.00,1013.83,23.47,010,10.00,31.1,20.1,52,979.66
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.00,09-28-2019,13:00:00,0.0,0.00,1013.62,28.33,000,10.00,32.4,23.1,58,986.46
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.00,09-28-2019,13:00:00,5.6,1.70,1014.01,26.04,050,10.00,30.2,21.8,61,980.66
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.00,09-28-2019,13:00:00,3.7,0.00,1013.14,27.38,300,5.00,32.2,22.6,57,994.87
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.00,09-28-2019,13:00:00,5.6,0.00,1013.73,26.15,360,10.00,31.7,21.8,56,991.15
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.00,09-28-2019,13:00:00,3.7,0.00,1013.67,25.55,210,12.00,30.8,21.4,58,984.03
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.00,09-28-2019,13:00:00,0.0,1.20,1013.86,27.93,000,8.00,30.2,22.9,65,978.58
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.00,09-28-2019,13:00:00,3.7,0.00,1012.96,27.85,050,8.00,30.3,22.9,65,983.46
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.00,09-28-2019,13:00:00,0.0,0.60,1012.80,23.74,000,8.00,33.0,20.3,47,1005.60
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.00,09-28-2019,13:00:00,9.3,0.00,1013.09,24.52,050,6.00,32.7,20.8,50,993.46
48353,LOEI,เลย,เลย,17.45000,101.73333,0.00,09-28-2019,13:00:00,5.6,0.00,1012.87,23.74,130,5.00,33.0,20.3,47,984.64
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,0.00,09-28-2019,13:00:00,5.6,0.00,1013.90,19.12,040,8.00,32.7,16.8,39,993.98
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.00,09-28-2019,13:00:00,7.4,0.00,1013.79,24.07,060,7.00,31.0,20.5,54,992.22
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,0.00,09-28-2019,13:00:00,3.7,0.00,1013.02,21.02,280,8.00,31.3,18.3,46,993.70
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.00,09-28-2019,13:00:00,1.9,0.00,1012.81,21.40,130,7.00,33.0,18.6,43,996.30
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.00,09-28-2019,13:00:00,5.6,0.00,1013.51,23.66,080,7.00,31.5,20.2,51,996.26
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.00,09-28-2019,13:00:00,3.7,0.00,1012.39,24.57,010,7.00,32.0,20.8,52,986.91
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.00,09-28-2019,13:00:00,0.0,0.00,1014.52,32.99,000,8.00,32.0,25.7,69,1008.79
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.00,09-28-2019,13:00:00,0.0,1.00,1013.73,30.07,000,8.00,32.7,24.1,61,1007.61
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.00,09-28-2019,13:00:00,0.0,0.00,1014.35,24.67,000,12.00,33.5,20.9,48,998.14
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,0.00,09-28-2019,13:00:00,11.1,6.60,1010.87,25.91,010,10.00,32.0,21.7,54,988.83
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.00,09-28-2019,13:00:00,5.6,0.00,1014.25,29.32,120,6.00,31.2,23.7,65,999.96
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.00,09-28-2019,13:00:00,0.0,0.00,1013.37,28.42,000,8.00,30.6,23.2,65,997.08
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.00,09-28-2019,13:00:00,5.6,6.00,1013.49,28.12,240,10.00,33.0,23.0,56,1008.34
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.00,09-28-2019,13:00:00,0.0,2.20,1011.87,25.93,000,10.00,34.3,21.7,48,998.93
