WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,MinimumTemperature,Rainfall,RelativeHumidity,WindSpeed,LandVisibility,VaporPressure,StationPressure,MeanSeaLevelPressure,WindDirection,Rainfall24Hr,AirTemperature
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,21.8,09-29-2019,07:00:00,22.3,0.00,93,0.0,2.00,26.09,984.74,1016.25,000,0.00,23.0
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,15.3,09-29-2019,07:00:00,16.9,0.00,90,9.3,8.00,17.35,851.81,1015.31,180,0.00,17.0
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,20.0,09-29-2019,07:00:00,20.7,0.00,93,0.0,8.00,23.44,972.10,1016.77,000,0.00,21.3
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,19.7,09-29-2019,07:00:00,18.6,0.00,95,0.0,4.00,22.95,970.13,1016.87,000,0.00,20.5
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,19.8,09-29-2019,07:00:00,19.5,0.00,99,0.0,8.00,23.13,978.95,1017.71,000,0.00,20.0
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,21.1,09-29-2019,07:00:00,21.0,0.00,96,0.0,6.00,24.98,971.33,1017.46,000,0.00,21.7
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,21.4,09-29-2019,07:00:00,21.8,0.00,96,0.0,3.00,25.45,989.78,1017.14,000,0.00,22.0
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,22.4,09-29-2019,07:00:00,22.5,0.00,98,0.0,.20,27.07,993.20,1015.40,000,6.40,22.7
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,23.0,09-29-2019,07:00:00,22.0,0.00,94,0.0,5.00,28.01,991.79,1016.30,000,6.10,24.0
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,21.6,09-29-2019,07:00:00,23.0,0.00,90,0.0,8.00,25.84,980.71,1015.84,000,0.00,23.3
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,21.8,09-29-2019,07:00:00,22.2,0.00,94,0.0,7.00,26.17,987.94,1016.03,000,0.00,22.9
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,23.3,09-29-2019,07:00:00,23.7,0.00,96,0.0,7.00,28.53,981.79,1015.88,000,0.00,24.0
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,23.0,09-29-2019,07:00:00,23.5,0.00,94,0.0,1.00,28.01,996.72,1015.53,000,0.01,24.0
48331,NAN,น่าน,น่าน,18.77972,100.77778,21.8,09-29-2019,07:00:00,22.2,0.00,96,0.0,10.00,26.09,993.12,1016.46,000,0.00,22.4
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,21.2,09-29-2019,07:00:00,22.0,0.00,95,0.0,6.00,25.21,986.02,1016.62,000,0.00,22.0
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,21.4,09-29-2019,07:00:00,21.7,0.00,95,0.0,6.00,25.53,979.87,1016.17,000,0.00,22.2
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,19.9,09-29-2019,07:00:00,19.7,0.00,98,0.0,.80,23.20,985.42,1016.02,000,0.00,20.2
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,22.3,09-29-2019,07:00:00,24.4,0.00,87,0.0,8.00,26.84,1007.57,1015.00,000,0.00,24.5
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,21.5,09-29-2019,07:00:00,23.8,0.00,83,3.7,5.00,25.60,996.22,1016.46,070,0.00,24.5
48353,LOEI,เลย,เลย,17.45000,101.73333,19.4,09-29-2019,07:00:00,20.8,0.00,91,0.0,2.00,22.54,986.78,1016.24,000,0.00,21.0
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,22.8,09-29-2019,07:00:00,23.2,0.00,94,1.9,6.00,27.67,995.27,1015.82,260,0.00,23.8
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,21.1,09-29-2019,07:00:00,21.5,0.00,94,0.0,4.00,25.05,993.42,1015.67,000,0.00,22.2
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,21.4,09-29-2019,07:00:00,22.3,0.00,87,0.0,6.00,25.51,995.35,1015.20,000,0.00,23.7
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,20.7,09-29-2019,07:00:00,21.8,0.00,85,0.0,5.00,24.39,998.68,1015.77,000,0.00,23.3
