WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,WindDirection,StationPressure,DewPoint,MeanSeaLevelPressure,LandVisibility,Rainfall24Hr,VaporPressure,Rainfall,AirTemperature,RelativeHumidity
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.0,09-29-2019,10:00:00,000,984.98,22.1,1016.15,10.00,0.00,26.64,0.00,26.3,78
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,13.0,09-29-2019,10:00:00,200,852.28,15.8,1015.68,8.00,0.00,17.90,0.00,17.3,91
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,1.9,09-29-2019,10:00:00,070,972.59,21.0,1016.33,10.00,0.00,24.81,0.00,27.6,67
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,5.6,09-29-2019,10:00:00,120,970.68,21.2,1016.36,8.00,0.00,25.22,0.00,27.4,69
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.0,09-29-2019,10:00:00,000,979.70,23.1,1017.50,10.00,0.00,28.26,0.00,27.5,77
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.0,09-29-2019,10:00:00,000,971.93,22.1,1017.11,8.00,0.00,26.54,0.00,28.0,70
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,5.6,09-29-2019,10:00:00,010,990.08,22.4,1016.97,9.00,0.00,27.11,0.00,27.3,75
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,1.9,09-29-2019,10:00:00,240,993.78,23.6,1015.56,6.00,6.40,29.05,0.00,28.5,75
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.0,09-29-2019,10:00:00,000,992.22,22.9,1016.41,8.00,6.10,27.85,0.00,28.0,74
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,3.7,09-29-2019,10:00:00,360,981.65,21.1,1016.12,10.00,0.00,25.03,0.00,29.2,62
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.0,09-29-2019,10:00:00,000,988.66,23.0,1016.16,10.00,0.00,28.12,0.00,29.3,69
