WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,VaporPressure,DewPoint,WindDirection,RelativeHumidity,AirTemperature,WindSpeed,LandVisibility,Rainfall24Hr,MeanSeaLevelPressure,StationPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.00,09-29-2019,16:00:00,23.58,20.1,000,51,31.6,0.0,15.00,0.00,1009.43,979.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,0.00,09-29-2019,16:00:00,20.76,18.1,180,92,19.4,18.5,8.00,0.00,1012.22,850.42
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.00,09-29-2019,16:00:00,22.49,19.4,160,47,32.3,5.6,10.00,0.00,1009.57,966.78
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.00,09-29-2019,16:00:00,21.35,18.5,000,47,31.2,0.0,15.00,0.00,1009.36,964.55
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.00,09-29-2019,16:00:00,24.67,20.9,000,48,33.5,0.0,12.00,0.00,1010.13,973.32
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.00,09-29-2019,16:00:00,25.91,21.7,000,54,32.0,0.0,12.00,0.00,1010.69,966.37
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.00,09-29-2019,16:00:00,28.76,23.4,000,55,33.6,0.0,10.00,0.00,1010.32,984.16
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.00,09-29-2019,16:00:00,30.95,24.6,080,60,33.4,3.7,8.00,6.40,1009.94,988.61
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.00,09-29-2019,16:00:00,29.87,24.0,000,56,34.0,0.0,10.00,0.90,1009.85,986.29
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.00,09-29-2019,16:00:00,24.90,21.0,050,50,32.9,3.7,9.00,0.00,1009.65,975.81
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.00,09-29-2019,16:00:00,27.01,22.4,000,51,34.0,0.0,10.00,0.00,1010.05,983.13
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.00,09-29-2019,16:00:00,25.41,21.4,000,52,32.6,0.0,10.00,0.00,1009.94,976.99
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.00,09-29-2019,16:00:00,24.69,20.9,060,44,34.8,3.7,6.00,0.00,1009.53,991.47
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.00,09-29-2019,16:00:00,26.17,21.8,000,52,33.0,0.0,10.00,0.00,1010.23,987.82
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.00,09-29-2019,16:00:00,27.19,22.5,000,57,32.1,0.0,12.00,0.00,1009.96,980.55
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.00,09-29-2019,16:00:00,25.91,21.7,000,54,32.0,0.0,8.00,0.00,1009.84,974.91
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.00,09-29-2019,16:00:00,30.40,24.3,060,60,33.0,3.7,8.00,0.00,1009.21,980.08
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.00,09-29-2019,16:00:00,24.15,20.5,000,43,34.8,0.0,9.00,0.00,1009.69,1002.55
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.00,09-29-2019,16:00:00,25.63,21.5,010,48,34.0,5.6,6.00,0.00,1009.23,989.75
48353,LOEI,เลย,เลย,17.45000,101.73333,0.00,09-29-2019,16:00:00,22.02,19.0,280,43,33.5,5.6,6.00,0.00,1009.70,981.61
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,0.00,09-29-2019,16:00:00,23.07,19.8,330,45,33.5,7.4,7.00,0.00,1010.23,990.44
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.00,09-29-2019,16:00:00,23.61,20.2,000,49,32.2,0.0,7.00,0.00,1010.66,989.24
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,0.00,09-29-2019,16:00:00,21.20,18.4,020,44,32.3,3.7,9.00,0.00,1009.71,990.52
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.00,09-29-2019,16:00:00,20.81,18.1,000,40,33.4,0.0,8.00,0.00,1010.24,993.80
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.00,09-29-2019,16:00:00,22.02,19.0,310,43,33.5,5.6,8.00,0.00,1010.49,993.40
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.00,09-29-2019,16:00:00,22.92,19.7,310,47,32.4,11.1,7.00,0.00,1008.31,982.97
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.00,09-29-2019,16:00:00,31.57,24.9,350,57,34.8,5.6,8.00,0.00,1010.15,1004.49
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.00,09-29-2019,16:00:00,31.75,25.0,000,61,33.5,0.0,8.00,0.00,1010.20,1004.12
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.00,09-29-2019,16:00:00,21.86,18.9,000,38,35.3,0.0,12.00,0.00,1009.87,993.83
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,0.00,09-29-2019,16:00:00,27.01,22.4,000,51,34.0,0.0,10.00,0.00,1007.64,985.82
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.00,09-29-2019,16:00:00,29.87,24.0,000,56,34.0,0.0,6.00,0.00,1010.47,996.36
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.00,09-29-2019,16:00:00,28.00,23.0,120,56,32.8,5.6,7.00,0.00,1009.82,993.70
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.00,09-29-2019,16:00:00,27.01,22.4,310,51,34.0,5.6,10.00,0.00,1010.19,1005.06
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.00,09-29-2019,16:00:00,24.39,20.7,000,42,35.5,0.0,12.00,0.00,1007.92,995.07
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.00,09-29-2019,16:00:00,29.29,23.7,000,55,34.0,0.0,4.00,0.00,1009.62,1000.48
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,0.00,09-29-2019,16:00:00,26.17,21.8,030,52,33.0,5.6,7.00,0.00,1009.87,988.55
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.00,09-29-2019,16:00:00,28.25,23.1,040,58,32.5,9.3,10.00,0.00,1009.79,992.56
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,0.00,09-29-2019,16:00:00,25.08,21.1,000,50,33.0,0.0,10.00,0.00,1010.26,994.69
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.00,09-29-2019,16:00:00,30.08,24.1,070,63,32.0,3.7,8.00,0.00,1009.27,990.66
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.00,09-29-2019,16:00:00,22.43,19.3,300,45,33.0,7.4,10.00,0.00,1009.75,959.58
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,0.00,09-29-2019,16:00:00,28.88,23.5,300,53,34.5,3.7,5.00,0.00,1009.50,1005.63
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,0.00,09-29-2019,16:00:00,24.46,20.7,000,68,27.1,0.0,6.00,0.00,1009.98,916.29
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.00,09-29-2019,16:00:00,26.15,21.8,000,53,32.7,0.0,10.00,0.00,1010.14,994.40
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.00,09-29-2019,16:00:00,32.51,25.4,000,64,33.3,0.0,6.00,0.00,1009.53,1005.57
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.00,09-29-2019,16:00:00,24.20,20.6,030,48,33.1,3.7,8.00,0.00,1010.81,1000.31
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.00,09-29-2019,16:00:00,27.01,22.4,000,51,34.0,0.0,10.00,0.00,1010.37,1008.48
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.00,09-29-2019,16:00:00,23.87,20.3,020,46,33.5,3.7,8.00,0.00,1009.71,989.24
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,0.00,09-29-2019,16:00:00,23.66,20.2,020,51,31.5,11.1,9.00,0.00,1010.25,992.79
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,0.00,09-29-2019,16:00:00,21.62,18.8,050,45,32.1,5.6,10.00,0.00,1009.76,993.82
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,0.00,09-29-2019,16:00:00,26.81,22.2,350,54,32.9,9.3,10.00,0.00,1009.75,995.95
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.00,09-29-2019,16:00:00,28.68,23.3,000,57,33.0,0.0,10.00,0.00,1009.89,995.31
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,0.00,09-29-2019,16:00:00,28.40,23.2,000,56,33.0,0.0,10.00,0.00,1010.73,996.29
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.00,09-29-2019,16:00:00,30.16,24.2,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",57,34.0,0.0,7.00,0.00,1009.59,1006.63
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.00,09-29-2019,16:00:00,30.50,24.4,250,56,34.3,3.7,10.00,0.00,1009.61,1001.83
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.00,09-29-2019,16:00:00,29.00,23.5,310,55,34.0,3.7,8.00,0.00,1009.80,1008.72
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.00,09-29-2019,16:00:00,23.55,20.1,000,52,31.0,0.0,8.00,0.00,1010.41,995.87
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,0.00,09-29-2019,16:00:00,23.67,20.2,010,81,23.6,3.7,8.00,0.00,1010.06,876.38
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.00,09-29-2019,16:00:00,28.18,23.1,000,52,34.3,0.0,8.00,0.00,1010.02,1004.26
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,0.00,09-29-2019,16:00:00,28.22,23.1,050,48,36.0,5.6,8.00,0.00,1009.80,1009.02
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,0.00,09-29-2019,16:00:00,25.98,21.7,120,49,33.9,3.7,10.00,0.00,1009.13,1008.69
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.00,09-29-2019,16:00:00,29.46,23.8,000,54,34.5,0.0,7.00,0.00,1009.51,998.45
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.00,09-29-2019,16:00:00,26.77,22.2,000,49,34.3,0.0,10.00,0.00,1010.27,1009.28
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,0.00,09-29-2019,16:00:00,26.41,22.0,300,49,34.4,3.7,8.00,0.00,1009.86,1008.07
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.00,09-29-2019,16:00:00,28.24,23.1,000,56,33.2,0.0,9.00,0.00,1009.73,1008.98
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,0.00,09-29-2019,16:00:00,23.81,20.3,050,45,33.9,13.0,8.00,0.00,1010.12,1009.43
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.00,09-29-2019,16:00:00,28.55,23.3,000,49,35.6,0.0,7.00,0.00,1009.29,1008.61
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.00,09-29-2019,16:00:00,26.09,21.8,060,55,32.1,3.7,8.00,0.00,1010.07,989.21
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,0.00,09-29-2019,16:00:00,25.92,21.7,020,58,31.0,5.6,10.00,0.00,1010.09,993.54
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,0.00,09-29-2019,16:00:00,26.07,21.8,360,55,31.8,3.7,10.00,0.00,1010.63,994.40
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.00,09-29-2019,16:00:00,26.01,21.7,000,51,33.2,0.0,6.00,0.00,1010.30,988.82
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,0.00,09-29-2019,16:00:00,22.78,19.6,070,51,31.0,3.7,7.00,0.00,1009.96,967.15
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.00,09-29-2019,16:00:00,25.66,21.5,020,53,32.3,9.3,12.00,0.00,1010.30,990.03
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,0.00,09-29-2019,16:00:00,29.42,23.8,010,68,30.4,9.3,7.00,0.00,1012.07,991.38
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,0.00,09-29-2019,16:00:00,29.87,24.0,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",61,32.6,0.0,9.00,0.00,1009.82,1009.39
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.00,09-29-2019,16:00:00,31.44,24.9,000,57,34.6,0.0,11.00,0.00,1009.33,1007.95
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.00,09-29-2019,16:00:00,31.46,24.9,000,61,33.5,0.0,10.00,0.00,1009.69,1004.85
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.00,09-29-2019,16:00:00,28.14,23.0,080,53,34.0,9.3,7.00,0.00,1009.86,1006.63
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.00,09-29-2019,16:00:00,28.88,23.5,000,55,33.8,0.0,10.00,0.00,1010.14,1009.06
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,0.00,09-29-2019,16:00:00,28.88,23.5,210,53,34.5,9.3,10.00,0.00,1009.29,1009.00
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,0.00,09-29-2019,16:00:00,25.80,21.6,190,46,34.8,7.4,10.00,0.00,1009.17,1008.50
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,0.00,09-29-2019,16:00:00,25.80,21.6,250,46,34.8,3.7,10.00,0.00,1009.38,1008.90
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,0.00,09-29-2019,16:00:00,25.93,21.7,020,48,34.3,11.1,10.00,0.00,1009.45,1008.07
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,0.00,09-29-2019,16:00:00,31.79,25.1,190,63,33.1,3.7,7.00,0.00,1009.71,1008.06
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.00,09-29-2019,16:00:00,27.61,22.7,000,49,35.0,0.0,12.00,0.00,1011.54,1003.71
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,0.00,09-29-2019,16:00:00,27.44,22.6,300,48,35.2,13.0,12.00,0.00,1009.37,1009.09
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.00,09-29-2019,16:00:00,31.27,24.8,000,65,32.3,0.0,12.00,0.00,1009.46,1006.38
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.00,09-29-2019,16:00:00,30.98,24.6,280,67,31.6,7.4,8.00,0.00,1009.69,1002.84
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.00,09-29-2019,16:00:00,25.77,21.6,060,47,34.5,9.3,8.00,0.00,1009.77,1004.29
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,0.00,09-29-2019,16:00:00,33.47,25.9,290,68,32.5,11.1,2.00,0.00,1010.43,1001.25
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,0.00,09-29-2019,16:00:00,27.51,22.7,360,53,33.4,14.8,7.00,0.00,1010.99,1009.75
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,0.00,09-29-2019,16:00:00,30.24,24.2,000,57,33.9,0.0,11.00,0.00,1009.58,1009.15
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.00,09-29-2019,16:00:00,29.48,23.8,100,66,31.0,3.7,9.00,0.00,1010.11,997.98
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.00,09-29-2019,16:00:00,30.73,24.5,060,68,31.2,7.4,6.00,0.00,1010.03,1009.32
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,0.00,09-29-2019,16:00:00,32.10,25.2,230,68,32.0,11.1,6.00,0.00,1010.51,1008.11
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.00,09-29-2019,16:00:00,33.81,26.1,000,75,31.0,0.0,12.00,0.00,1010.06,1009.54
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.00,09-29-2019,16:00:00,31.97,25.2,150,74,30.4,1.9,11.00,0.00,1009.80,1004.69
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,0.00,09-29-2019,16:00:00,31.21,24.8,220,59,33.8,7.4,8.00,0.00,1009.17,1008.77
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.00,09-29-2019,16:00:00,32.16,25.3,000,64,33.0,0.0,8.00,12.00,1009.74,1007.02
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.00,09-29-2019,16:00:00,27.77,22.8,000,73,28.1,0.0,6.00,1.40,1011.45,1010.66
48501,TRAD,ตราด,ตราด,11.76667,102.88333,0.00,09-29-2019,16:00:00,34.49,26.4,330,73,32.0,5.6,10.00,0.00,1009.47,1009.01
