WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,VaporPressure,RelativeHumidity,WindSpeed,Rainfall,DewPoint,StationPressure,MeanSeaLevelPressure,Rainfall24Hr,LandVisibility,WindDirection
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,24.2,09-30-2019,01:00:00,27.09,90,0.0,0.00,22.4,981.63,1012.92,0.00,8.00,000
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,17.8,09-30-2019,01:00:00,18.70,92,9.3,0.00,16.5,850.79,1013.61,0.00,8.00,200
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,22.1,09-30-2019,01:00:00,23.48,88,0.0,0.00,20.1,968.05,1012.42,0.00,10.00,000
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,21.7,09-30-2019,01:00:00,23.81,92,0.0,0.00,20.3,966.22,1012.58,0.00,6.00,000
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,22.0,09-30-2019,01:00:00,25.21,95,0.0,0.00,21.2,976.63,1015.03,0.00,4.00,000
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,21.7,09-30-2019,01:00:00,24.28,94,0.0,0.00,20.6,967.19,1013.13,0.00,7.00,000
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,22.9,09-30-2019,01:00:00,25.92,93,0.0,0.00,21.7,985.93,1013.10,0.00,5.00,000
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,24.3,09-30-2019,01:00:00,28.79,95,0.0,0.00,23.4,990.15,1012.17,0.00,10.00,000
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,24.0,09-30-2019,01:00:00,28.53,96,0.0,0.00,23.3,988.41,1012.84,0.00,6.00,000
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,25.4,09-30-2019,01:00:00,27.12,84,0.0,0.00,22.4,977.80,1012.57,0.00,9.00,000
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,24.5,09-30-2019,01:00:00,27.60,90,0.0,0.00,22.7,984.70,1012.54,0.00,10.00,000
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,25.2,09-30-2019,01:00:00,28.83,90,0.0,0.00,23.4,978.79,1012.64,0.00,8.00,000
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,24.9,09-30-2019,01:00:00,27.79,88,0.0,0.00,22.8,992.98,1011.67,0.00,3.00,000
48331,NAN,น่าน,น่าน,18.77972,100.77778,24.7,09-30-2019,01:00:00,28.47,92,0.0,0.00,23.2,989.16,1012.22,0.00,10.00,000
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,22.6,09-30-2019,01:00:00,25.93,95,0.0,0.00,21.7,982.08,1012.49,0.00,5.00,000
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,23.4,09-30-2019,01:00:00,26.50,92,0.0,0.00,22.0,976.49,1012.51,0.00,7.00,000
