WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,StationPressure,Rainfall24Hr,Rainfall,MinimumTemperature,LandVisibility,RelativeHumidity,DewPoint,MeanSeaLevelPressure,WindDirection,AirTemperature,WindSpeed
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,26.83,09-30-2019,07:00:00,981.20,0.00,0.00,22.5,3.00,96,22.2,1012.59,000,23.0,0.0
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,19.20,09-30-2019,07:00:00,850.96,0.00,0.00,16.8,8.00,92,16.9,1013.57,200,18.2,9.3
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,23.08,09-30-2019,07:00:00,968.54,0.00,0.00,20.1,6.00,93,19.8,1013.10,000,20.9,0.0
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,22.16,09-30-2019,07:00:00,966.58,0.00,0.00,18.8,4.00,94,19.1,1013.22,000,20.1,0.0
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,22.99,09-30-2019,07:00:00,975.97,0.00,0.00,19.4,8.00,99,19.7,1014.63,000,19.9,0.0
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,23.69,09-30-2019,07:00:00,967.62,0.00,0.00,20.5,7.00,95,20.2,1013.69,000,21.0,0.0
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,25.07,09-30-2019,07:00:00,986.21,0.00,0.00,21.6,2.00,97,21.1,1013.51,000,21.6,0.0
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,27.75,09-30-2019,07:00:00,989.95,0.00,0.00,23.3,5.00,96,22.8,1012.03,000,23.4,0.0
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,28.53,09-30-2019,07:00:00,988.40,0.00,0.00,23.0,6.00,96,23.3,1012.82,000,24.0,0.0
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,26.09,09-30-2019,07:00:00,977.53,0.00,0.00,23.1,8.00,90,21.8,1012.51,000,23.6,0.0
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,27.41,09-30-2019,07:00:00,985.43,0.00,0.00,22.0,70.00,96,22.6,1013.42,000,23.2,0.0
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,27.75,09-30-2019,07:00:00,978.58,0.00,0.00,23.2,6.00,96,22.8,1012.63,000,23.4,0.0
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,29.05,09-30-2019,07:00:00,993.43,0.00,0.00,23.8,3.00,96,23.6,1012.16,000,24.3,0.0
48331,NAN,น่าน,น่าน,18.77972,100.77778,25.93,09-30-2019,07:00:00,989.61,0.00,0.00,22.0,10.00,95,21.7,1012.85,000,22.6,0.0
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,24.51,09-30-2019,07:00:00,982.57,0.00,0.00,21.4,7.00,94,20.8,1013.10,000,21.7,0.0
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,25.21,09-30-2019,07:00:00,976.60,0.00,0.00,21.6,8.00,95,21.2,1012.79,000,22.0,0.0
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,25.54,09-30-2019,07:00:00,981.84,0.00,0.00,21.0,2.00,99,21.4,1012.18,000,21.6,0.0
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,26.01,09-30-2019,07:00:00,1004.09,0.00,0.00,23.9,7.00,87,21.7,1011.50,000,24.0,0.0
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,27.38,09-30-2019,07:00:00,992.18,0.00,0.00,24.3,5.00,84,22.6,1012.27,070,25.4,5.6
48353,LOEI,เลย,เลย,17.45000,101.73333,24.03,09-30-2019,07:00:00,983.39,0.00,0.00,21.5,2.00,91,20.5,1012.64,320,22.0,3.7
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,27.42,09-30-2019,07:00:00,991.97,0.00,0.00,22.9,5.00,91,22.6,1012.43,260,24.1,3.7
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,24.27,09-30-2019,07:00:00,990.28,0.00,0.00,21.2,4.00,92,20.6,1012.47,000,22.0,0.0
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,25.19,09-30-2019,07:00:00,992.04,0.00,0.00,22.4,6.00,87,21.2,1011.83,000,23.5,0.0
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,24.39,09-30-2019,07:00:00,995.46,0.00,0.00,21.3,7.00,87,20.7,1012.51,000,23.0,0.0
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,25.21,09-30-2019,07:00:00,995.41,0.00,0.00,19.1,4.00,95,21.2,1013.21,000,22.0,0.0
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,26.99,09-30-2019,07:00:00,985.02,0.00,0.00,22.5,5.00,96,22.3,1011.22,000,23.1,0.0
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,32.26,09-30-2019,07:00:00,1004.96,0.00,0.00,24.7,2.00,98,25.3,1010.79,050,25.6,7.4
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,29.87,09-30-2019,07:00:00,1005.05,0.00,0.00,24.5,4.00,95,24.0,1011.31,000,24.9,0.0
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,26.25,09-30-2019,07:00:00,995.90,0.00,0.00,23.3,7.00,90,21.9,1012.61,000,23.7,0.0
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,27.94,09-30-2019,07:00:00,988.14,0.00,0.00,23.4,7.00,91,22.9,1010.73,000,24.4,0.0
48376,TAK,ตาก,ตาก,16.87833,99.14333,29.33,09-30-2019,07:00:00,997.47,0.00,0.00,24.2,5.00,95,23.7,1012.04,000,24.6,0.0
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,28.89,09-30-2019,07:00:00,995.32,0.00,0.00,23.5,7.00,94,23.5,1011.92,000,24.5,0.0
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,30.07,09-30-2019,07:00:00,1006.12,0.00,0.00,24.6,7.00,93,24.1,1011.40,050,25.3,3.7
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,27.25,09-30-2019,07:00:00,997.32,0.00,0.00,23.3,10.00,91,22.5,1010.69,000,24.0,0.0
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,30.05,09-30-2019,07:00:00,1001.65,0.00,0.00,24.5,4.00,95,24.1,1011.07,230,25.0,3.7
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,29.00,09-30-2019,07:00:00,990.31,0.00,0.00,23.5,5.00,92,23.5,1012.25,000,25.0,0.0
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,26.33,09-30-2019,07:00:00,994.27,0.00,0.00,21.8,2.00,94,21.9,1012.10,000,23.0,0.0
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,24.39,09-30-2019,07:00:00,995.58,0.00,0.00,22.1,12.00,87,20.7,1011.70,000,23.0,0.0
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,28.77,09-30-2019,07:00:00,992.16,0.00,0.00,22.4,4.00,98,23.4,1011.33,000,23.7,0.0
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,21.14,09-30-2019,07:00:00,963.83,0.00,0.00,19.0,8.00,90,18.4,1016.50,000,20.0,0.0
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,32.07,09-30-2019,07:00:00,1007.02,0.00,0.00,25.5,.80,93,25.2,1011.00,000,26.5,0.0
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,21.90,09-30-2019,07:00:00,916.71,0.00,0.00,18.5,1.50,96,19.0,1012.94,000,19.6,0.0
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,25.76,09-30-2019,07:00:00,995.54,0.00,0.00,21.8,7.00,93,21.6,1011.83,000,22.8,0.0
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,31.33,09-30-2019,07:00:00,1006.56,0.00,0.00,24.9,3.00,97,24.8,1010.63,000,25.4,0.0
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,26.58,09-30-2019,07:00:00,1001.67,0.00,0.00,22.7,8.00,90,22.1,1012.51,000,23.9,0.0
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,31.93,09-30-2019,07:00:00,1009.66,0.00,0.00,25.8,9.00,95,25.1,1011.61,000,26.0,0.0
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,27.26,09-30-2019,07:00:00,990.73,0.00,0.00,23.6,7.00,90,22.5,1011.87,000,24.3,0.0
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,26.25,09-30-2019,07:00:00,993.80,0.00,0.00,21.5,6.00,95,21.9,1011.79,000,22.8,0.0
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,26.17,09-30-2019,07:00:00,994.97,0.00,0.00,22.9,9.00,90,21.8,1011.39,000,23.5,0.0
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,26.25,09-30-2019,07:00:00,997.28,0.00,0.00,23.0,7.00,90,21.9,1011.54,000,23.7,0.0
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,28.69,09-30-2019,07:00:00,996.81,0.00,0.00,22.6,9.00,97,23.4,1011.86,020,23.8,3.7
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,27.87,09-30-2019,07:00:00,997.52,0.00,0.00,23.7,6.00,89,22.9,1012.37,030,24.8,11.1
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,31.49,09-30-2019,07:00:00,1007.50,0.01,0.00,24.7,3.00,93,24.9,1010.54,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",26.2,0.0
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,29.00,09-30-2019,07:00:00,1003.61,0.00,0.00,24.6,8.00,92,23.5,1011.65,000,25.0,0.0
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,30.07,09-30-2019,07:00:00,1009.91,0.00,0.00,24.0,8.00,93,24.1,1011.03,050,25.3,3.7
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,28.11,09-30-2019,07:00:00,997.65,0.00,0.00,22.4,8.00,91,23.0,1012.54,000,24.5,0.0
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,20.44,09-30-2019,07:00:00,877.23,0.00,0.00,16.3,8.00,93,17.9,1013.27,030,19.0,1.9
