WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,DewPoint,StationPressure,WindSpeed,LandVisibility,MaximumTemperature,WindDirection,Rainfall,AirTemperature,Rainfall24Hr,RelativeHumidity,MeanSeaLevelPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,30.49,09-30-2019,19:00:00,24.4,976.93,0.0,10.00,33.3,000,0.00,29.1,0.00,76,1007.55
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,20.02,09-30-2019,19:00:00,17.5,847.18,7.4,8.00,25.0,270,0.00,21.1,0.00,80,1007.37
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,25.01,09-30-2019,19:00:00,21.1,964.11,0.0,10.00,32.7,000,0.00,28.6,0.00,64,1007.32
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,29.03,09-30-2019,19:00:00,23.5,962.46,0.0,12.00,34.2,000,0.00,28.2,0.00,76,1007.63
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,30.97,09-30-2019,19:00:00,24.6,971.53,0.0,7.00,34.0,000,0.00,27.5,0.00,84,1009.02
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,28.18,09-30-2019,19:00:00,23.1,963.45,0.0,8.00,32.0,000,0.00,26.0,0.00,84,1008.54
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,32.91,09-30-2019,19:00:00,25.6,981.95,0.0,8.00,34.8,000,0.00,29.6,0.00,79,1008.41
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,29.89,09-30-2019,19:00:00,24.0,986.54,0.0,7.00,35.7,000,0.00,30.5,0.00,68,1008.03
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,32.47,09-30-2019,19:00:00,25.4,985.22,0.0,10.00,34.8,000,0.00,28.4,0.00,84,1009.21
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,27.79,09-30-2019,19:00:00,22.8,973.52,0.0,10.00,35.0,000,0.00,30.7,0.00,63,1007.53
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,30.80,09-30-2019,19:00:00,24.5,980.66,0.0,10.00,35.0,000,0.00,29.4,0.00,75,1007.93
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,28.09,09-30-2019,19:00:00,23.0,974.41,0.0,10.00,34.7,000,0.00,30.0,0.00,66,1007.56
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,29.46,09-30-2019,19:00:00,23.8,989.31,0.0,5.00,35.0,000,0.00,29.0,0.00,74,1007.67
48331,NAN,น่าน,น่าน,18.77972,100.77778,32.80,09-30-2019,19:00:00,25.6,985.44,0.0,10.00,32.5,000,0.00,30.8,0.00,74,1007.95
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,29.08,09-30-2019,19:00:00,23.6,978.52,0.0,10.00,34.5,000,0.00,29.8,0.00,69,1008.09
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,31.13,09-30-2019,19:00:00,24.7,973.02,0.0,7.00,33.0,000,0.00,29.0,0.00,78,1008.23
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,27.69,09-30-2019,19:00:00,22.8,977.96,0.0,6.00,35.0,000,0.00,26.6,0.00,80,1007.67
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,30.08,09-30-2019,19:00:00,24.1,1000.02,0.0,8.00,37.0,000,0.00,32.0,0.00,63,1007.21
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,29.89,09-30-2019,19:00:00,24.0,988.46,0.0,5.00,34.7,000,0.00,30.5,0.00,68,1008.14
48353,LOEI,เลย,เลย,17.45000,101.73333,28.37,09-30-2019,19:00:00,23.2,979.64,0.0,6.00,35.0,000,0.00,29.0,0.00,71,1008.09
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,28.01,09-30-2019,19:00:00,23.0,988.00,3.7,8.00,34.0,100,0.00,30.1,0.00,66,1007.97
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,30.15,09-30-2019,19:00:00,24.2,987.62,0.0,6.00,33.7,000,0.00,27.5,0.00,82,1009.35
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,27.77,09-30-2019,19:00:00,22.8,988.84,0.0,8.00,34.1,000,0.00,29.4,0.00,68,1008.18
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,24.49,09-30-2019,19:00:00,20.8,992.44,0.0,8.00,34.2,000,0.00,28.3,0.00,64,1009.14
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,24.37,09-30-2019,19:00:00,20.7,991.92,0.0,7.00,33.3,000,0.00,26.0,0.00,73,1009.41
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,30.49,09-30-2019,19:00:00,24.4,982.38,3.7,9.00,35.2,100,0.00,29.1,0.00,76,1007.98
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,33.75,09-30-2019,19:00:00,26.1,1002.16,0.0,8.00,35.7,000,0.00,30.0,0.00,80,1007.90
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,33.58,09-30-2019,19:00:00,26.0,1001.82,0.0,7.00,35.0,000,0.00,29.5,0.00,81,1007.96
