WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,WindDirection,LandVisibility,WindSpeed,Rainfall,StationPressure,DewPoint,Rainfall24Hr,VaporPressure,AirTemperature,RelativeHumidity
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,1010.37,09-30-2019,22:00:00,000,10.00,0.0,0.00,979.40,23.5,0.00,28.90,26.4,84
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,1009.18,09-30-2019,22:00:00,180,8.00,1.9,0.00,848.16,15.8,0.00,17.94,20.0,77
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,1009.74,09-30-2019,22:00:00,270,10.00,1.9,0.00,965.93,20.8,0.00,24.61,25.1,77
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,1010.24,09-30-2019,22:00:00,000,12.00,0.0,0.00,964.41,22.3,0.00,26.84,24.5,87
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,1011.32,09-30-2019,22:00:00,000,6.00,0.0,0.00,973.19,21.5,0.00,25.60,23.0,91
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,1010.41,09-30-2019,22:00:00,000,8.00,0.0,0.00,964.95,22.5,0.00,27.25,24.0,91
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,1010.95,09-30-2019,22:00:00,000,7.00,0.0,0.00,984.11,24.3,0.00,30.38,25.9,91
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,1010.49,09-30-2019,22:00:00,000,5.00,0.0,0.00,988.66,23.6,0.00,29.17,26.4,85
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,1011.34,09-30-2019,22:00:00,000,8.00,0.0,0.00,987.12,25.0,0.00,31.65,26.0,94
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,1010.10,09-30-2019,22:00:00,000,10.00,0.0,0.00,975.65,23.3,0.00,28.53,27.5,78
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,1011.11,09-30-2019,22:00:00,000,10.00,0.0,0.00,983.49,22.8,0.00,27.77,26.5,80
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,1010.00,09-30-2019,22:00:00,000,10.00,0.0,0.00,976.49,22.3,0.00,26.95,27.5,73
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,1010.18,09-30-2019,22:00:00,180,4.00,1.9,0.00,991.59,22.0,0.00,26.37,26.0,78
48331,NAN,น่าน,น่าน,18.77972,100.77778,1010.34,09-30-2019,22:00:00,000,10.00,0.0,0.00,987.42,23.0,0.00,28.01,26.2,82
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,1010.50,09-30-2019,22:00:00,000,10.00,0.0,0.00,980.42,23.3,0.00,28.67,25.4,88
