WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,RelativeHumidity,LandVisibility,VaporPressure,WindDirection,Rainfall,StationPressure,MaximumTemperature,Rainfall24Hr,AirTemperature,WindSpeed,DewPoint
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,1007.74,10-01-2019,19:00:00,80,12.00,30.59,000,0.00,977.03,33.0,0.00,28.3,0.0,24.4
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,1007.87,10-01-2019,19:00:00,87,8.00,20.13,000,0.00,847.01,26.2,0.00,19.9,0.0,17.6
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,1007.66,10-01-2019,19:00:00,74,12.00,27.85,000,0.00,964.35,32.5,0.00,28.0,0.0,22.9
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,1008.09,10-01-2019,19:00:00,83,12.00,28.92,000,0.00,962.68,31.5,0.00,26.7,0.0,23.5
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,1008.35,10-01-2019,19:00:00,87,8.00,31.30,000,0.00,970.83,33.3,0.00,27.1,0.0,24.8
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,1008.42,10-01-2019,19:00:00,84,8.00,30.02,000,0.00,963.48,29.3,0.00,27.0,0.0,24.1
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,1008.11,10-01-2019,19:00:00,78,10.00,32.13,000,0.00,981.65,35.0,0.00,29.5,0.0,25.2
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,1007.78,10-01-2019,19:00:00,79,11.00,32.01,000,0.00,986.21,35.6,0.00,29.3,0.0,25.2
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,1008.86,10-01-2019,19:00:00,78,10.00,30.15,000,0.00,984.89,35.0,0.00,28.5,0.0,24.2
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,1008.40,10-01-2019,19:00:00,65,10.00,26.16,210,0.00,974.19,35.2,0.00,29.1,16.7,21.8
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,1008.01,10-01-2019,19:00:00,82,10.00,31.82,000,0.30,980.66,35.0,0.30,28.5,0.0,25.1
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,1008.10,10-01-2019,19:00:00,69,10.00,28.50,270,0.00,974.87,34.8,0.00,29.5,7.4,23.2
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,1007.72,10-01-2019,19:00:00,79,4.00,30.12,000,0.00,989.31,35.0,0.00,28.2,0.0,24.2
48331,NAN,น่าน,น่าน,18.77972,100.77778,1007.60,10-01-2019,19:00:00,76,10.00,31.89,000,0.00,985.02,35.2,0.00,29.8,0.0,25.1
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,1007.68,10-01-2019,19:00:00,76,10.00,30.29,000,0.00,978.04,34.5,0.00,29.0,0.0,24.3
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,1008.22,10-01-2019,19:00:00,92,8.00,35.87,000,0.00,972.95,33.0,0.00,28.5,0.0,27.1
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,1007.20,10-01-2019,19:00:00,76,6.00,28.84,000,0.00,977.65,36.1,0.00,28.1,0.0,23.4
