WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,MeanSeaLevelPressure,Rainfall,StationPressure,LandVisibility,VaporPressure,WindDirection,Rainfall24Hr,AirTemperature,WindSpeed,RelativeHumidity
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,24.5,10-01-2019,22:00:00,1010.52,0.00,979.56,10.00,30.81,000,0.00,26.7,0.0,88
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,17.5,10-01-2019,22:00:00,1009.76,0.00,848.40,8.00,20.03,300,0.00,19.5,7.4,88
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,22.3,10-01-2019,22:00:00,1010.06,0.00,966.54,10.00,26.85,000,0.00,27.3,0.0,74
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,23.5,10-01-2019,22:00:00,1010.61,0.00,964.83,12.00,29.00,000,0.00,25.0,0.0,92
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,22.9,10-01-2019,22:00:00,1011.60,0.00,973.53,6.00,27.83,000,0.00,23.6,0.0,96
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,24.3,10-01-2019,22:00:00,1011.09,0.00,965.81,8.00,30.44,000,0.00,25.5,0.0,93
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,23.9,10-01-2019,22:00:00,1011.38,0.00,984.50,8.00,29.74,000,0.00,25.7,0.0,90
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,25.0,10-01-2019,22:00:00,1010.39,0.00,988.60,10.00,31.74,090,0.00,26.9,5.6,90
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,24.6,10-01-2019,22:00:00,1011.31,0.00,987.08,8.00,30.84,000,0.00,26.0,0.0,92
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,22.1,10-01-2019,22:00:00,1011.41,12.20,976.47,10.00,26.58,210,12.20,23.6,5.6,91
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,24.1,10-01-2019,22:00:00,1012.54,0.00,984.93,10.00,30.02,000,0.30,27.0,0.0,84
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,22.6,10-01-2019,22:00:00,1011.40,0.00,977.52,10.00,27.35,000,0.00,24.5,0.0,89
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,23.7,10-01-2019,22:00:00,1010.17,0.00,991.59,4.00,29.25,000,0.00,26.3,0.0,86
48331,NAN,น่าน,น่าน,18.77972,100.77778,24.2,10-01-2019,22:00:00,1010.72,0.00,987.87,10.00,30.20,000,0.00,27.1,0.0,84
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,24.4,10-01-2019,22:00:00,1010.77,0.00,980.79,10.00,30.51,000,0.00,26.4,0.0,89
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,22.8,10-01-2019,22:00:00,1011.17,0.80,975.27,6.00,27.76,000,0.80,24.0,0.0,93
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,23.1,10-01-2019,22:00:00,1010.05,0.00,980.12,4.00,28.22,000,0.00,25.0,0.0,89
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,26.0,10-01-2019,22:00:00,1010.23,0.00,1002.96,8.00,33.66,000,0.00,29.4,0.0,82
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,23.6,10-01-2019,22:00:00,1009.19,0.00,989.42,5.00,29.13,160,0.00,29.4,5.6,71
48353,LOEI,เลย,เลย,17.45000,101.73333,23.5,10-01-2019,22:00:00,1010.53,0.00,981.79,4.00,28.92,000,0.00,26.7,0.0,83
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,23.5,10-01-2019,22:00:00,1010.45,0.00,990.31,8.00,29.03,000,0.00,28.2,0.0,76
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,23.3,10-01-2019,22:00:00,1011.10,0.00,989.19,5.00,28.59,000,0.00,25.5,0.0,88
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,23.9,10-01-2019,22:00:00,1010.55,0.00,991.04,7.00,29.60,000,0.00,27.5,0.0,81
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,24.1,10-01-2019,22:00:00,1010.99,0.00,994.18,7.00,30.02,000,0.00,27.0,0.0,84
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,22.9,10-01-2019,22:00:00,1011.21,0.00,993.61,7.00,27.95,000,0.00,24.7,0.0,90
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,24.1,10-01-2019,22:00:00,1009.61,0.00,983.78,6.00,30.02,000,0.00,27.0,0.0,84
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,26.9,10-01-2019,22:00:00,1009.49,0.00,1003.73,8.00,35.54,000,0.00,28.9,0.0,89
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,26.2,10-01-2019,22:00:00,1009.32,0.00,1003.14,7.00,33.94,000,0.00,28.0,0.0,90
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,23.1,10-01-2019,22:00:00,1009.16,0.00,992.72,8.00,28.26,000,0.00,27.5,0.0,77
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,23.1,10-01-2019,22:00:00,1009.97,0.00,987.52,10.00,28.18,130,0.00,26.0,5.6,84
48376,TAK,ตาก,ตาก,16.87833,99.14333,22.7,10-01-2019,22:00:00,1010.75,0.00,996.42,8.00,27.59,260,0.00,29.3,9.3,68
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,23.5,10-01-2019,22:00:00,1010.29,0.00,993.85,8.00,29.02,000,0.00,26.9,0.0,82
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,25.5,10-01-2019,22:00:00,1010.40,0.00,1005.17,6.00,32.72,000,0.00,28.1,0.0,86
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,23.9,10-01-2019,22:00:00,1009.32,0.00,996.17,10.00,29.63,000,0.00,28.8,0.0,75
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,25.1,10-01-2019,22:00:00,1010.54,0.00,1001.18,6.00,31.91,000,2.40,26.7,0.0,91
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,23.7,10-01-2019,22:00:00,1010.05,0.00,988.46,7.00,29.30,120,0.00,29.2,3.7,72
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,24.5,10-01-2019,22:00:00,1010.68,0.00,993.16,12.00,30.81,000,0.00,27.7,0.0,83
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,23.1,10-01-2019,22:00:00,1009.86,0.00,994.01,10.00,28.26,000,0.00,27.5,0.0,77
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,24.1,10-01-2019,22:00:00,1009.66,0.00,990.73,7.00,30.02,000,0.00,27.0,0.0,84
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,23.0,10-01-2019,22:00:00,1012.39,0.00,960.70,7.00,28.11,000,16.70,24.5,0.0,91
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,26.7,10-01-2019,22:00:00,1010.04,0.00,1006.10,3.00,35.00,000,0.00,29.2,0.0,86
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,20.5,10-01-2019,22:00:00,1012.42,0.00,916.97,4.00,24.03,000,0.00,22.0,0.0,91
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,25.3,10-01-2019,22:00:00,1010.51,0.00,994.47,8.00,32.21,000,0.00,27.0,0.0,90
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,26.3,10-01-2019,22:00:00,1010.49,0.00,1006.46,8.00,34.15,000,0.00,28.8,0.0,86
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,25.4,10-01-2019,22:00:00,1011.36,0.00,1000.66,5.00,32.36,000,0.30,27.5,0.0,88
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,26.0,10-01-2019,22:00:00,1011.35,0.00,1009.42,6.00,33.70,000,0.40,28.3,0.0,88
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,22.8,10-01-2019,22:00:00,1010.76,0.00,989.88,8.00,27.75,200,0.00,27.8,11.1,74
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,24.9,10-01-2019,22:00:00,1010.31,0.00,992.60,10.00,31.58,200,0.00,27.1,3.7,88
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,25.0,10-01-2019,22:00:00,1010.18,0.00,994.04,10.00,31.70,000,0.00,28.3,0.0,82
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,25.1,10-01-2019,22:00:00,1011.00,0.00,996.96,3.00,31.95,000,0.00,28.0,0.0,85
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,24.1,10-01-2019,22:00:00,1011.29,0.00,996.37,7.00,30.05,000,0.00,26.3,0.0,88
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,26.8,10-01-2019,22:00:00,1010.82,0.00,996.12,7.00,35.23,000,0.00,27.5,0.0,96
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,26.1,10-01-2019,22:00:00,1010.11,0.00,1007.10,7.00,33.86,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",0.00,28.8,0.0,86
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,25.4,10-01-2019,22:00:00,1010.42,0.00,1002.49,8.00,32.42,000,0.00,28.8,0.0,82
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,25.7,10-01-2019,22:00:00,1011.00,0.00,1009.90,7.00,32.96,180,0.00,28.5,7.4,85
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,26.2,10-01-2019,22:00:00,1011.14,0.00,996.46,8.00,33.99,000,0.00,28.3,0.0,88
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,19.5,10-01-2019,22:00:00,1013.21,0.00,877.52,2.00,22.62,190,0.01,19.8,5.6,98
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,25.4,10-01-2019,22:00:00,1010.78,0.00,1004.90,7.00,32.52,000,0.00,28.0,0.0,86
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,25.6,10-01-2019,22:00:00,1011.00,0.00,1010.20,8.00,32.91,190,0.00,28.9,11.1,83
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,25.4,10-01-2019,22:00:00,1010.89,0.00,1010.45,8.00,32.50,210,60.20,29.4,14.8,79
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,23.9,10-01-2019,22:00:00,1012.11,0.00,1000.73,6.00,29.62,000,0.00,26.5,0.0,86
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,26.1,10-01-2019,22:00:00,1011.13,0.00,1010.13,6.00,33.83,190,0.00,29.9,3.7,80
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,24.9,10-01-2019,22:00:00,1011.09,0.00,1009.28,7.00,31.49,130,0.00,28.9,3.7,79
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,25.8,10-01-2019,22:00:00,1011.28,0.00,1010.52,5.00,33.24,000,0.00,28.5,0.0,85
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,25.4,10-01-2019,22:00:00,1011.31,0.00,1010.61,9.00,32.46,190,0.01,29.1,11.1,81
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,24.8,10-01-2019,22:00:00,1011.08,0.00,1010.38,7.00,31.29,000,0.00,28.8,0.0,79
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,21.7,10-01-2019,22:00:00,1011.34,0.00,990.11,7.00,25.98,000,0.01,27.1,0.0,72
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,25.5,10-01-2019,22:00:00,1010.87,0.00,994.17,7.00,32.55,000,0.00,28.3,0.0,85
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,25.0,10-01-2019,22:00:00,1010.99,0.00,994.48,8.00,31.63,000,0.00,26.7,0.0,90
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,24.1,10-01-2019,22:00:00,1011.21,0.01,989.14,6.00,29.99,000,50.50,25.4,0.0,92
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,23.0,10-01-2019,22:00:00,1011.65,0.00,967.88,3.00,28.03,190,0.00,24.6,3.7,91
