WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,WindSpeed,AirTemperature,RelativeHumidity,VaporPressure,Rainfall,MeanSeaLevelPressure,LandVisibility,WindDirection,StationPressure,DewPoint
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.00,10-02-2019,10:00:00,0.0,28.3,79,30.31,0.00,1012.66,12.00,000,981.80,24.3
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,0.00,10-02-2019,10:00:00,7.4,21.3,84,21.18,0.00,1009.94,8.00,300,849.44,18.4
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.00,10-02-2019,10:00:00,9.3,30.6,63,27.60,0.00,1011.42,12.00,140,968.31,22.7
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.00,10-02-2019,10:00:00,0.0,29.5,68,27.96,0.00,1011.80,15.00,000,966.63,22.9
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.00,10-02-2019,10:00:00,0.0,28.5,74,28.78,0.00,1012.26,10.00,000,974.78,23.4
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.00,10-02-2019,10:00:00,5.6,28.8,77,30.46,0.00,1011.86,10.00,080,967.03,24.3
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.00,10-02-2019,10:00:00,3.7,28.6,73,28.43,0.00,1012.73,9.00,180,986.08,23.2
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.00,10-02-2019,10:00:00,3.7,30.2,69,29.58,0.00,1011.75,8.00,240,990.17,23.9
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.00,10-02-2019,10:00:00,0.0,29.0,74,29.74,0.00,1013.10,8.00,000,989.07,23.9
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,12.20,10-02-2019,10:00:00,0.0,28.7,71,28.08,0.00,1012.70,10.00,000,978.30,23.0
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.30,10-02-2019,10:00:00,0.0,30.0,68,28.91,0.00,1011.98,10.00,000,984.65,23.5
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.00,10-02-2019,10:00:00,0.0,27.5,78,28.80,0.00,1012.45,10.00,000,978.86,23.4
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.00,10-02-2019,10:00:00,1.9,30.2,74,31.56,0.00,1011.62,2.00,360,993.25,24.9
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.00,10-02-2019,10:00:00,7.4,29.8,73,30.47,0.00,1012.20,10.00,080,989.52,24.4
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.00,10-02-2019,10:00:00,0.0,28.8,70,27.73,0.00,1011.93,12.00,000,982.14,22.8
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.80,10-02-2019,10:00:00,0.0,30.4,72,31.39,0.00,1011.88,8.00,000,976.69,24.9
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.00,10-02-2019,10:00:00,5.6,30.6,71,31.23,0.00,1011.15,6.00,050,981.73,24.8
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.00,10-02-2019,10:00:00,0.0,31.0,72,32.34,0.00,1011.39,8.00,000,1004.15,25.4
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.00,10-02-2019,10:00:00,3.7,31.5,69,31.93,0.00,1011.76,7.00,340,992.07,25.1
