WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,Rainfall24Hr,WindDirection,DewPoint,LandVisibility,Rainfall,VaporPressure,WindSpeed,RelativeHumidity,StationPressure,MeanSeaLevelPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,32.2,10-02-2019,13:00:00,0.00,320,23.1,15.00,0.00,28.22,1.9,59,979.45,1009.84
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,23.5,10-02-2019,13:00:00,0.00,300,17.9,8.00,0.00,20.50,14.8,71,847.99,1006.96
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,32.8,10-02-2019,13:00:00,0.00,140,23.3,10.00,0.00,28.56,9.3,57,965.65,1008.33
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,32.2,10-02-2019,13:00:00,0.00,000,20.7,15.00,0.00,24.40,0.0,51,964.20,1008.85
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,32.8,10-02-2019,13:00:00,0.00,000,24.6,10.00,0.00,30.86,0.0,62,972.19,1009.05
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,32.5,10-02-2019,13:00:00,0.00,250,23.9,10.00,0.00,29.66,5.6,61,964.15,1008.30
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,33.0,10-02-2019,13:00:00,0.00,180,25.3,10.00,0.00,32.16,5.6,64,983.34,1009.53
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,33.8,10-02-2019,13:00:00,0.00,270,22.6,13.00,0.00,27.46,9.3,52,988.07,1009.35
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,32.5,10-02-2019,13:00:00,0.00,000,23.1,10.00,0.00,28.25,0.0,58,986.81,1010.51
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,32.1,10-02-2019,13:00:00,12.20,150,22.8,10.00,0.00,27.74,3.7,58,975.65,1009.57
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,34.2,10-02-2019,13:00:00,0.30,000,22.6,10.00,0.00,27.41,0.0,51,982.38,1009.27
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,32.1,10-02-2019,13:00:00,0.00,000,23.3,10.00,0.00,28.58,0.0,60,976.36,1009.35
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,34.0,10-02-2019,13:00:00,0.00,250,24.2,6.00,0.00,30.16,5.6,57,990.67,1008.76
48331,NAN,น่าน,น่าน,18.77972,100.77778,33.5,10-02-2019,13:00:00,0.00,000,24.2,10.00,0.00,30.28,0.0,59,986.59,1008.93
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,33.5,10-02-2019,13:00:00,0.00,000,22.3,12.00,0.00,26.87,0.0,52,979.43,1008.67
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,32.5,10-02-2019,13:00:00,0.80,000,24.4,8.00,0.00,30.53,0.0,62,974.15,1009.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,34.5,10-02-2019,13:00:00,0.00,050,22.5,8.00,0.00,27.17,5.6,50,978.88,1007.84
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,34.5,10-02-2019,13:00:00,0.00,000,24.6,8.00,0.00,30.93,0.0,57,1001.96,1009.10
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,34.6,10-02-2019,13:00:00,0.00,030,19.9,7.00,0.00,23.23,3.7,42,989.39,1008.82
48353,LOEI,เลย,เลย,17.45000,101.73333,35.6,10-02-2019,13:00:00,0.00,120,21.0,5.00,0.00,24.86,5.6,43,980.69,1008.56
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,34.0,10-02-2019,13:00:00,0.00,300,22.7,9.00,0.00,27.58,5.6,52,989.34,1009.08
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,33.9,10-02-2019,13:00:00,0.00,000,23.9,7.00,0.00,29.66,0.0,56,988.07,1009.34
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,33.8,10-02-2019,13:00:00,0.00,140,23.3,8.00,0.00,28.59,3.7,54,989.79,1008.87
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,33.0,10-02-2019,13:00:00,0.00,080,22.9,9.00,0.00,27.84,5.6,55,993.03,1009.48
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,33.4,10-02-2019,13:00:00,0.00,120,23.0,9.00,0.00,28.07,3.7,55,992.44,1009.52
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,32.8,10-02-2019,13:00:00,0.00,000,21.3,7.00,0.00,25.25,0.0,51,982.18,1007.47
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,34.5,10-02-2019,13:00:00,0.00,240,25.4,8.00,0.00,32.42,11.1,59,1004.06,1009.72
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,34.0,10-02-2019,13:00:00,0.00,240,25.6,8.00,0.00,32.84,11.1,62,1003.03,1009.09
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,35.0,10-02-2019,13:00:00,0.00,000,22.7,8.00,0.00,27.61,0.0,49,992.89,1008.93
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,32.0,10-02-2019,13:00:00,0.00,360,23.3,10.00,0.00,28.66,3.7,60,986.16,1008.14
48376,TAK,ตาก,ตาก,16.87833,99.14333,35.2,10-02-2019,13:00:00,0.00,160,24.3,10.00,0.00,30.35,3.7,53,995.60,1009.64
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,34.9,10-02-2019,13:00:00,0.00,000,21.0,8.00,0.00,24.88,0.0,45,992.90,1008.89
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,33.4,10-02-2019,13:00:00,0.00,130,25.6,8.00,0.00,32.73,3.7,64,1004.53,1009.66
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,35.0,10-02-2019,13:00:00,0.00,000,25.0,8.00,0.00,31.71,0.0,56,994.79,1007.65
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,34.3,10-02-2019,13:00:00,2.40,360,24.7,8.00,0.00,31.09,9.3,57,1000.16,1009.28
