WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,DewPoint,StationPressure,AirTemperature,VaporPressure,LandVisibility,WindDirection,Rainfall24Hr,RelativeHumidity,Rainfall,MeanSeaLevelPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.0,10-03-2019,10:00:00,23.7,981.07,29.1,29.38,12.00,000,0.00,73,0.00,1011.82
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,7.4,10-03-2019,10:00:00,19.4,849.30,21.6,22.51,8.00,280,0.00,87,0.00,1009.60
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,1.9,10-03-2019,10:00:00,23.5,968.17,30.3,28.94,12.00,020,0.40,67,0.00,1011.32
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,3.7,10-03-2019,10:00:00,23.7,966.16,30.1,29.39,15.00,060,0.00,69,0.00,1011.21
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.0,10-03-2019,10:00:00,24.4,974.73,29.0,30.57,10.00,000,0.00,76,0.00,1012.15
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.0,10-03-2019,10:00:00,22.9,960.04,29.5,27.96,9.00,000,0.00,68,0.00,1004.44
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.0,10-03-2019,10:00:00,24.8,986.22,28.8,31.29,8.00,000,0.00,79,0.00,1012.86
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,1.9,10-03-2019,10:00:00,23.8,989.82,31.3,29.52,10.00,120,0.00,65,0.00,1011.32
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.0,10-03-2019,10:00:00,23.9,988.13,28.5,29.60,10.00,000,0.00,76,0.00,1012.18
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,3.7,10-03-2019,10:00:00,22.7,977.58,30.0,27.55,12.00,310,0.00,65,0.00,1011.81
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.0,10-03-2019,10:00:00,24.6,984.53,30.3,30.91,10.00,000,13.00,72,0.00,1011.83
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.0,10-03-2019,10:00:00,23.2,978.36,29.5,28.50,10.00,000,0.00,69,0.00,1011.71
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,3.7,10-03-2019,10:00:00,26.1,993.01,31.0,33.81,3.00,250,0.00,75,0.00,1011.32
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.0,10-03-2019,10:00:00,24.6,989.40,31.0,30.90,10.00,000,0.00,69,0.00,1011.99
